parameter,value5_x,value5_y,value5_x,value5_y,value6,value7,value8
boosting_type,gbdt,gbdt,gbdt,gbdt,gbdt,gbdt,gbdt
class_weight,,,,,,,
colsample_bytree,0.7,0.5,0.7,0.7,0.7,0.7,0.7
importance_type,split,split,split,split,split,split,split
learning_rate,0.001,0.005,0.001,0.0008,0.0009,0.0009,0.0009
max_depth,-1,-1,-1,-1,-1,-1,10
min_child_samples,20,20,20,20,20,20,20
min_child_weight,0.001,0.001,0.001,0.001,0.001,0.001,0.001
min_split_gain,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n_estimators,200,300,200,300,300,300,300
n_jobs,-1,-1,-1,-1,-1,-1,-1
num_leaves,5,6,5,6,5,7,7
objective,binary,binary,binary,binary,binary,binary,binary
random_state,42,42,42,42,42,42,42
reg_alpha,0.0,0.0,0.0,0.0,0.0,0.0,0.0
reg_lambda,0.0,0.0,0.0,0.0,0.0,0.0,0.0
silent,warn,warn,warn,warn,warn,warn,warn
subsample,0.5,0.5,0.5,0.3,0.2,0.3,0.3
subsample_for_bin,200000,200000,200000,200000,200000,200000,200000
subsample_freq,0,0,0,0,0,0,0
metric,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss
scale_pos_weight,2,1.5,2,1.5,1.5,1.5,1.5
best_score,0.8095238095238095,0.6907142857142857,0.8095238095238095,0.8404761904761905,0.8452380952380952,0.8452380952380952,0.8452380952380952
best_index,628.0,466.0,628.0,843.0,813.0,182.0,182.0
acc_train,0.7093023255813954,0.8953488372093024,0.7093023255813954,0.7558139534883721,0.7616279069767442,0.7674418604651163,0.7674418604651163
acc_val,0.627906976744186,0.6744186046511628,0.627906976744186,0.6976744186046512,0.6744186046511628,0.6976744186046512,0.6976744186046512
acc_test,0.5,0.5555555555555556,0.5,0.5370370370370371,0.5185185185185185,0.5370370370370371,0.5370370370370371
precision,0.8,0.6666666666666666,0.8,0.8571428571428571,0.75,0.8571428571428571,0.8571428571428571
recall,0.13333333333333333,0.4,0.13333333333333333,0.2,0.2,0.2,0.2
f1score,0.2285714285714286,0.5,0.2285714285714286,0.32432432432432434,0.31578947368421056,0.32432432432432434,0.32432432432432434
roc,0.5458333333333333,0.575,0.5458333333333333,0.5791666666666666,0.5583333333333332,0.5791666666666666,0.5791666666666666
tn,23.0,18.0,23.0,23.0,22.0,23.0,23.0
fp,1.0,6.0,1.0,1.0,2.0,1.0,1.0
fn,26.0,18.0,26.0,24.0,24.0,24.0,24.0
tp,4.0,12.0,4.0,6.0,6.0,6.0,6.0
acc_test1,0.6111111111111112,0.5555555555555556,0.6111111111111112,0.6111111111111112,0.5555555555555556,0.6111111111111112,0.6111111111111112
precision1,1.0,0.5714285714285714,1.0,1.0,0.6666666666666666,1.0,1.0
recall1,0.2222222222222222,0.4444444444444444,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.2222222222222222
f1score1,0.3636363636363636,0.5,0.3636363636363636,0.3636363636363636,0.3333333333333333,0.3636363636363636,0.3636363636363636
roc1,0.6111111111111112,0.5555555555555556,0.6111111111111112,0.6111111111111112,0.5555555555555556,0.6111111111111112,0.6111111111111112
tn1,9.0,6.0,9.0,9.0,8.0,9.0,9.0
fp1,0.0,3.0,0.0,0.0,1.0,0.0,0.0
fn1,7.0,5.0,7.0,7.0,7.0,7.0,7.0
tp1,2.0,4.0,2.0,2.0,2.0,2.0,2.0
acc_test2,0.3333333333333333,0.5,0.3333333333333333,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.4444444444444444
precision2,1.0,0.8333333333333334,1.0,1.0,1.0,1.0,1.0
recall2,0.07692307692307693,0.38461538461538464,0.07692307692307693,0.23076923076923078,0.23076923076923078,0.23076923076923078,0.23076923076923078
f1score2,0.14285714285714288,0.5263157894736842,0.14285714285714288,0.375,0.375,0.375,0.375
roc2,0.5384615384615384,0.5923076923076923,0.5384615384615384,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.6153846153846154
tn2,5.0,4.0,5.0,5.0,5.0,5.0,5.0
fp2,0.0,1.0,0.0,0.0,0.0,0.0,0.0
fn2,12.0,8.0,12.0,10.0,10.0,10.0,10.0
tp2,1.0,5.0,1.0,3.0,3.0,3.0,3.0
acc_test3,0.5555555555555556,0.6111111111111112,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556
precision3,0.5,0.6,0.5,0.5,0.5,0.5,0.5
recall3,0.125,0.375,0.125,0.125,0.125,0.125,0.125
f1score3,0.2,0.4615384615384615,0.2,0.2,0.2,0.2,0.2
roc3,0.5125,0.5875,0.5125,0.5125,0.5125,0.5125,0.5125
tn3,9.0,8.0,9.0,9.0,9.0,9.0,9.0
fp3,1.0,2.0,1.0,1.0,1.0,1.0,1.0
fn3,7.0,5.0,7.0,7.0,7.0,7.0,7.0
tp3,1.0,3.0,1.0,1.0,1.0,1.0,1.0
