parameter,value5
boosting_type,gbdt
class_weight,
colsample_bytree,0.5
importance_type,split
learning_rate,0.004
max_depth,-1
min_child_samples,20
min_child_weight,0.001
min_split_gain,0.0
n_estimators,200
n_jobs,-1
num_leaves,5
objective,binary
random_state,42
reg_alpha,0.0
reg_lambda,0.0
silent,warn
subsample,0.5
subsample_for_bin,200000
subsample_freq,0
metric,binary_logloss
scale_pos_weight,2
best_score,0.8414285714285714
best_index,341.0
acc_train,0.8255813953488372
acc_val,0.7674418604651163
acc_test,0.7407407407407407
precision,0.6666666666666666
recall,0.25
f1score,0.36363636363636365
roc,0.5986842105263158
tn,36.0
fp,2.0
fn,12.0
tp,4.0
acc_test1,0.6666666666666666
precision1,0.5
recall1,0.16666666666666666
f1score1,0.25
roc1,0.5416666666666666
tn1,11.0
fp1,1.0
fn1,5.0
tp1,1.0
acc_test2,0.7777777777777778
precision2,1.0
recall2,0.42857142857142855
f1score2,0.6
roc2,0.7142857142857143
tn2,11.0
fp2,0.0
fn2,4.0
tp2,3.0
acc_test3,0.7777777777777778
precision3,0.0
recall3,0.0
f1score3,0.0
roc3,0.4666666666666667
tn3,14.0
fp3,1.0
fn3,3.0
tp3,0.0
