parameter,value1,value2,value3
boosting_type,dart,gbdt,dart
class_weight,,,
colsample_bytree,0.6000568421245674,0.1677891427453575,0.6000568421245674
importance_type,split,split,split
learning_rate,0.0006885907876058295,0.0019162589666810593,0.0006885907876058295
max_depth,38,23,38
min_child_samples,37,32,37
min_child_weight,0.001,0.001,0.001
min_split_gain,0.0,0.0,0.0
n_estimators,1467,1894,1467
n_jobs,-1,-1,-1
num_leaves,7,10,7
objective,binary,binary,binary
random_state,,,
reg_alpha,1.8,0.0,1.2000000000000002
reg_lambda,0.0,1.8,0.0
silent,warn,warn,warn
subsample,0.4488857071819565,0.2639494323813032,0.4488857071819565
subsample_for_bin,225635,358803,225635
subsample_freq,0,0,0
verbose,0,0,0
boost_from_average,True,True,True
force_col_wise,true,true,true
max_bin,138,249,138
metric,binary_logloss,binary_logloss,binary_logloss
scale_pos_weight,0.9000000000000001,0.9000000000000001,0.9000000000000001
cv,5,5,5
scoring,f1,f1,f1
num_col,110,110,110
iterations,10,10,10
best_score,0.5353439153439153,0.545903369999588,0.5445213806504129
best_index,3.0,5.0,3.0
acc_train,0.7604166666666666,0.8854166666666666,0.7604166666666666
acc_val,0.6458333333333334,0.6666666666666666,0.6666666666666666
acc_test,0.6,0.5833333333333334,0.6
precision,0.8666666666666667,0.7272727272727273,0.8666666666666667
recall,0.37142857142857144,0.45714285714285713,0.37142857142857144
f1score,0.52,0.5614035087719298,0.52
roc,0.6457142857142858,0.6085714285714285,0.6457142857142858
tn,23.0,19.0,23.0
fp,2.0,6.0,2.0
fn,22.0,19.0,22.0
tp,13.0,16.0,13.0
acc_test1,0.6,0.7,0.6
precision1,1.0,1.0,1.0
recall1,0.3333333333333333,0.5,0.3333333333333333
f1score1,0.5,0.6666666666666666,0.5
roc1,0.6666666666666666,0.75,0.6666666666666666
tn1,8.0,8.0,8.0
fp1,0.0,0.0,0.0
fn1,8.0,6.0,8.0
tp1,4.0,6.0,4.0
acc_test2,0.75,0.55,0.75
precision2,0.8571428571428571,0.5555555555555556,0.8571428571428571
recall2,0.6,0.5,0.6
f1score2,0.7058823529411764,0.5263157894736842,0.7058823529411764
roc2,0.7500000000000001,0.5499999999999999,0.7500000000000001
tn2,9.0,6.0,9.0
fp2,1.0,4.0,1.0
fn2,4.0,5.0,4.0
tp2,6.0,5.0,6.0
acc_test3,0.45,0.5,0.45
precision3,0.75,0.7142857142857143,0.75
recall3,0.23076923076923078,0.38461538461538464,0.23076923076923078
f1score3,0.3529411764705882,0.5,0.3529411764705882
roc3,0.543956043956044,0.5494505494505495,0.543956043956044
tn3,6.0,5.0,6.0
fp3,1.0,2.0,1.0
fn3,10.0,8.0,10.0
tp3,3.0,5.0,3.0
