parameter,value1,value2,value3,value4
boosting_type,gbdt,gbdt,gbdt,gbdt
class_weight,,,,
colsample_bytree,0.4,0.45,0.45,0.45
importance_type,split,split,split,split
learning_rate,0.08,0.1,0.1,0.1
max_depth,,4,4,4
min_child_samples,20,20,20,20
min_child_weight,0.001,0.001,0.001,0.001
min_split_gain,0.0,0.0,0.0,0.0
n_estimators,,2,2,2
n_jobs,-1,-1,-1,-1
num_leaves,6,6,6,6
objective,binary,binary,binary,binary
random_state,42,42,42,42
reg_alpha,0.0,0.0,0.0,0.0
reg_lambda,0.0,0.0,0.0,0.0
silent,warn,warn,warn,warn
subsample,,0.001,0.001,0.001
subsample_for_bin,200000,200000,200000,200000
subsample_freq,0,0,0,0
max_delta_step,0.9,0.7,0.7,0.7
metric,binary_logloss,binary_logloss,binary_logloss,binary_logloss
num_iterations,200,150,150,150
scale_pos_weight,10,3,3,3
best_score,0.832121212121212,0.8454545454545455,0.8454545454545455,0.8454545454545455
best_index,6972.0,190773.0,303498.0,303498.0
acc_train,1.0,1.0,1.0,1.0
acc_val,0.813953488372093,0.7906976744186046,0.7906976744186046,0.7906976744186046
acc_test,0.8148148148148148,0.8703703703703703,0.8703703703703703,0.8703703703703703
precision,0.6521739130434783,0.75,0.75,0.75
recall,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.8823529411764706
f1score,0.75,0.8108108108108107,0.8108108108108107,0.8108108108108107
roc,0.8330683624801272,0.8736089030206677,0.8736089030206677,0.8736089030206677
tn,29.0,32.0,32.0,32.0
fp,8.0,5.0,5.0,5.0
fn,2.0,2.0,2.0,2.0
tp,15.0,15.0,15.0,15.0
