parameter,value1,value2,value3,value4,value5,value6
boosting_type,gbdt,gbdt,gbdt,gbdt,gbdt,gbdt
class_weight,,,,,,
colsample_bytree,0.8,0.5,0.7,0.7,0.7,0.6
importance_type,split,split,split,split,split,split
learning_rate,0.002,0.0015,0.002,0.002,0.0015,0.002
max_depth,-1,-1,-1,-1,-1,-1
min_child_samples,20,20,20,20,20,20
min_child_weight,0.001,0.001,0.001,0.001,0.001,0.001
min_split_gain,0.0,0.0,0.0,0.0,0.0,0.0
n_estimators,1000,1000,1000,1000,1200,800
n_jobs,-1,-1,-1,-1,-1,-1
num_leaves,7,7,7,7,7,7
objective,binary,binary,binary,binary,binary,binary
random_state,42,42,42,42,42,42
reg_alpha,0.0,0.0,0.0,0.0,0.0,0.0
reg_lambda,0.0,0.0,0.0,0.0,0.0,0.0
silent,warn,warn,warn,warn,warn,warn
subsample,1,1,1,1,1,1
subsample_for_bin,200000,200000,200000,200000,200000,200000
subsample_freq,0,0,0,0,0,0
metric,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss
scale_pos_weight,1.5,1.5,1.5,1.5,1.5,1.5
cv,,,,,,
scoring,,,,,,
num_col,72.0,65.0,60.0,60.0,55.0,67.0
best_score,0.7177777777777777,0.7233333333333334,0.729047619047619,0.729047619047619,0.7292063492063492,0.7066666666666668
best_index,847.0,82.0,622.0,469.0,397.0,271.0
acc_train,0.9322033898305084,0.9209039548022598,0.9322033898305084,0.9322033898305084,0.9209039548022598,0.903954802259887
acc_val,0.5777777777777777,0.6,0.5555555555555556,0.5555555555555556,0.5777777777777777,0.5777777777777777
acc_test,0.5892857142857143,0.6607142857142857,0.6071428571428571,0.6071428571428571,0.5892857142857143,0.6428571428571429
precision,0.7368421052631579,0.8421052631578947,0.7777777777777778,0.7777777777777778,0.7368421052631579,0.8
recall,0.4375,0.5,0.4375,0.4375,0.4375,0.5
f1score,0.5490196078431372,0.6274509803921569,0.56,0.56,0.5490196078431372,0.6153846153846154
roc,0.6145833333333333,0.6875,0.6354166666666667,0.6354166666666667,0.6145833333333333,0.6666666666666666
tn,19.0,21.0,20.0,20.0,19.0,20.0
fp,5.0,3.0,4.0,4.0,5.0,4.0
fn,18.0,16.0,18.0,18.0,18.0,16.0
tp,14.0,16.0,14.0,14.0,14.0,16.0
acc_test1,0.4444444444444444,0.6111111111111112,0.5,0.5,0.5,0.5555555555555556
precision1,0.6,0.8333333333333334,0.75,0.75,0.75,0.8
recall1,0.2727272727272727,0.45454545454545453,0.2727272727272727,0.2727272727272727,0.2727272727272727,0.36363636363636365
f1score1,0.37499999999999994,0.5882352941176471,0.39999999999999997,0.39999999999999997,0.39999999999999997,0.5000000000000001
roc1,0.4935064935064935,0.6558441558441559,0.564935064935065,0.564935064935065,0.564935064935065,0.6103896103896105
tn1,5.0,6.0,6.0,6.0,6.0,6.0
fp1,2.0,1.0,1.0,1.0,1.0,1.0
fn1,8.0,6.0,8.0,8.0,8.0,7.0
tp1,3.0,5.0,3.0,3.0,3.0,4.0
acc_test2,0.7222222222222222,0.7222222222222222,0.7222222222222222,0.7222222222222222,0.7222222222222222,0.7777777777777778
precision2,1.0,1.0,1.0,1.0,1.0,1.0
recall2,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.6363636363636364
f1score2,0.7058823529411764,0.7058823529411764,0.7058823529411764,0.7058823529411764,0.7058823529411764,0.7777777777777778
roc2,0.7727272727272727,0.7727272727272727,0.7727272727272727,0.7727272727272727,0.7727272727272727,0.8181818181818181
tn2,7.0,7.0,7.0,7.0,7.0,7.0
fp2,0.0,0.0,0.0,0.0,0.0,0.0
fn2,5.0,5.0,5.0,5.0,5.0,4.0
tp2,6.0,6.0,6.0,6.0,6.0,7.0
acc_test3,0.6,0.65,0.6,0.6,0.55,0.6
precision3,0.625,0.7142857142857143,0.625,0.625,0.5555555555555556,0.625
recall3,0.5,0.5,0.5,0.5,0.5,0.5
f1score3,0.5555555555555556,0.588235294117647,0.5555555555555556,0.5555555555555556,0.5263157894736842,0.5555555555555556
roc3,0.5999999999999999,0.6500000000000001,0.5999999999999999,0.5999999999999999,0.5499999999999999,0.5999999999999999
tn3,7.0,8.0,7.0,7.0,6.0,7.0
fp3,3.0,2.0,3.0,3.0,4.0,3.0
fn3,5.0,5.0,5.0,5.0,5.0,5.0
tp3,5.0,5.0,5.0,5.0,5.0,5.0
