parameter,value2,value3,value4
acc_test,0.6333333333333333,0.6333333333333333,0.65
acc_test1,0.65,0.65,0.7
acc_test2,0.65,0.65,0.65
acc_test3,0.6,0.6,0.6
acc_train,0.8125,0.8072916666666666,0.8125
acc_val,0.5208333333333334,0.5416666666666666,0.5208333333333334
best_index,5.0,48.0,35.0
best_score,0.7965367965367965,0.8739495798319328,0.7564102564102564
boost_from_average,True,True,True
boosting_type,gbdt,gbdt,gbdt
class_weight,,,
colsample_bytree,0.1677891427453575,0.10997809273054136,0.18094439414078495
cv,3,3,3
f1score,0.3529411764705882,0.3529411764705882,0.39999999999999997
f1score1,0.4615384615384615,0.4615384615384615,0.5714285714285715
f1score2,0.3636363636363636,0.3636363636363636,0.3636363636363636
f1score3,0.2,0.2,0.2
fn,20.0,20.0,19.0
fn1,7.0,7.0,6.0
fn2,7.0,7.0,7.0
fn3,6.0,6.0,6.0
force_col_wise,true,true,true
fp,2.0,2.0,2.0
fp1,0.0,0.0,0.0
fp2,0.0,0.0,0.0
fp3,2.0,2.0,2.0
importance_type,split,split,split
iterations,30,50,50
learning_rate,0.0019162589666810593,0.0034916470219830686,0.0027726075275041405
max_bin,435,148,754
max_depth,23,41,2
metric,binary_logloss,binary_logloss,binary_logloss
min_child_samples,32,38,36
min_child_weight,6,6,1
min_split_gain,0.0,0.0,0.0
n_estimators,2643,2544,1930
n_jobs,-1,-1,-1
num_col,98,98,98
num_leaves,10,13,7
objective,binary,binary,binary
precision,0.75,0.75,0.7777777777777778
precision1,1.0,1.0,1.0
precision2,1.0,1.0,1.0
precision3,0.3333333333333333,0.3333333333333333,0.3333333333333333
random_state,,,
recall,0.23076923076923078,0.23076923076923078,0.2692307692307692
recall1,0.3,0.3,0.4
recall2,0.2222222222222222,0.2222222222222222,0.2222222222222222
recall3,0.14285714285714285,0.14285714285714285,0.14285714285714285
reg_alpha,1.9000000000000001,1.2000000000000002,1.7000000000000002
reg_lambda,3.8000000000000003,0.6000000000000001,1.5
roc,0.5859728506787331,0.5859728506787331,0.6052036199095022
roc1,0.65,0.65,0.7
roc2,0.6111111111111112,0.6111111111111112,0.6111111111111112
roc3,0.49450549450549447,0.49450549450549447,0.49450549450549447
scale_pos_weight,0.6000000000000002,0.45000000000000007,0.6000000000000002
scoring,precision,precision,precision
silent,warn,warn,warn
subsample,0.6487712293279236,0.8303385287563508,0.6886830213960669
subsample_for_bin,477471,376112,313785
subsample_freq,0,0,0
tn,32.0,32.0,32.0
tn1,10.0,10.0,10.0
tn2,11.0,11.0,11.0
tn3,11.0,11.0,11.0
tp,6.0,6.0,7.0
tp1,3.0,3.0,4.0
tp2,2.0,2.0,2.0
tp3,1.0,1.0,1.0
verbose,1,0,0
