parameter,value1
boosting_type,gbdt
class_weight,
colsample_bytree,0.9332036588535947
importance_type,split
learning_rate,0.0011847240811834723
max_depth,18
min_child_samples,16
min_child_weight,0.001
min_split_gain,0.0
n_estimators,2190
n_jobs,-1
num_leaves,10
objective,binary
random_state,
reg_alpha,0.7000000000000001
reg_lambda,2.5
silent,warn
subsample,0.6684947525293031
subsample_for_bin,373099
subsample_freq,0
metric,binary_logloss
verbose,1
boost_from_average,False
force_col_wise,true
max_bin,473
scale_pos_weight,0.30000000000000004
cv,5
scoring,precision
num_col,110
iterations,10
best_score,0.7499999999999999
best_index,0.0
acc_train,0.738255033557047
acc_val,0.631578947368421
acc_test,0.5319148936170213
precision,0.75
recall,0.125
f1score,0.21428571428571427
roc,0.5407608695652174
tn,22.0
fp,1.0
fn,21.0
tp,3.0
acc_test1,0.4666666666666667
precision1,1.0
recall1,0.1111111111111111
f1score1,0.19999999999999998
roc1,0.5555555555555556
tn1,6.0
fp1,0.0
fn1,8.0
tp1,1.0
acc_test2,0.4666666666666667
precision2,0.0
recall2,0.0
f1score2,0.0
roc2,0.5
tn2,7.0
fp2,0.0
fn2,8.0
tp2,0.0
acc_test3,0.6470588235294118
precision3,0.6666666666666666
recall3,0.2857142857142857
f1score3,0.4
roc3,0.5928571428571427
tn3,9.0
fp3,1.0
fn3,5.0
tp3,2.0
