parameter,value2
boosting_type,gbdt
class_weight,
colsample_bytree,0.1677891427453575
importance_type,split
learning_rate,0.0019162589666810593
max_depth,23
min_child_samples,32
min_child_weight,6
min_split_gain,0.0
n_estimators,2643
n_jobs,-1
num_leaves,10
objective,binary
random_state,
reg_alpha,1.9000000000000001
reg_lambda,3.8000000000000003
silent,warn
subsample,0.6487712293279236
subsample_for_bin,477471
subsample_freq,0
metric,binary_logloss
verbose,1
boost_from_average,True
force_col_wise,true
max_bin,435
scale_pos_weight,0.6000000000000002
cv,3
scoring,precision
num_col,98
iterations,30
best_score,0.7965367965367965
best_index,5.0
acc_train,0.8125
acc_val,0.5208333333333334
acc_test,0.6333333333333333
precision,0.75
recall,0.23076923076923078
f1score,0.3529411764705882
roc,0.5859728506787331
tn,32.0
fp,2.0
fn,20.0
tp,6.0
acc_test1,0.65
precision1,1.0
recall1,0.3
f1score1,0.4615384615384615
roc1,0.65
tn1,10.0
fp1,0.0
fn1,7.0
tp1,3.0
acc_test2,0.65
precision2,1.0
recall2,0.2222222222222222
f1score2,0.3636363636363636
roc2,0.6111111111111112
tn2,11.0
fp2,0.0
fn2,7.0
tp2,2.0
acc_test3,0.6
precision3,0.3333333333333333
recall3,0.14285714285714285
f1score3,0.2
roc3,0.49450549450549447
tn3,11.0
fp3,2.0
fn3,6.0
tp3,1.0
