parameter,value1,value2
boosting_type,gbdt,gbdt
class_weight,,
colsample_bytree,0.18094439414078495,0.39518084918252067
importance_type,split,split
learning_rate,0.0027726075275041405,0.0002793992904944405
max_depth,2,23
min_child_samples,36,18
min_child_weight,1,0.001
min_split_gain,0.0,0.0
n_estimators,1930,3793
n_jobs,-1,-1
num_leaves,7,9
objective,binary,binary
random_state,,
reg_alpha,1.7000000000000002,1.2000000000000002
reg_lambda,1.5,0.0
silent,warn,warn
subsample,0.6886830213960669,0.2658020151054141
subsample_for_bin,313785,365506
subsample_freq,0,0
verbose,0,0
boost_from_average,True,True
force_col_wise,true,true
max_bin,754,194
metric,binary_logloss,binary_logloss
scale_pos_weight,0.6000000000000002,0.5500000000000002
cv,3,3
scoring,precision,precision
num_col,98,98
iterations,50,50
best_score,0.7564102564102564,0.7888888888888889
best_index,35.0,23.0
acc_train,0.8125,0.7916666666666666
acc_val,0.5208333333333334,0.5625
acc_test,0.65,0.6333333333333333
precision,0.7777777777777778,0.8333333333333334
recall,0.2692307692307692,0.19230769230769232
f1score,0.39999999999999997,0.3125
roc,0.6052036199095022,0.5814479638009049
tn,32.0,33.0
fp,2.0,1.0
fn,19.0,21.0
tp,7.0,5.0
acc_test1,0.7,0.6
precision1,1.0,1.0
recall1,0.4,0.2
f1score1,0.5714285714285715,0.33333333333333337
roc1,0.7,0.6
tn1,10.0,10.0
fp1,0.0,0.0
fn1,6.0,8.0
tp1,4.0,2.0
acc_test2,0.65,0.65
precision2,1.0,1.0
recall2,0.2222222222222222,0.2222222222222222
f1score2,0.3636363636363636,0.3636363636363636
roc2,0.6111111111111112,0.6111111111111112
tn2,11.0,11.0
fp2,0.0,0.0
fn2,7.0,7.0
tp2,2.0,2.0
acc_test3,0.6,0.65
precision3,0.3333333333333333,0.5
recall3,0.14285714285714285,0.14285714285714285
f1score3,0.2,0.22222222222222224
roc3,0.49450549450549447,0.532967032967033
tn3,11.0,12.0
fp3,2.0,1.0
fn3,6.0,6.0
tp3,1.0,1.0
