parameter,value1,value2,value3,value4
boosting_type,gbdt,gbdt,gbdt,gbdt
class_weight,,,,
colsample_bytree,0.5,0.6,0.4,0.4
importance_type,split,split,split,split
learning_rate,0.001,0.001,0.0005,0.0005
max_depth,-1,-1,-1,-1
min_child_samples,20,20,20,20
min_child_weight,0.001,0.001,0.001,0.001
min_split_gain,0.0,0.0,0.0,0.0
n_estimators,1300,1100,1300,1100
n_jobs,-1,-1,-1,-1
num_leaves,6,6,5,5
objective,binary,binary,binary,binary
random_state,42,42,42,42
reg_alpha,0.0,0.0,0.0,0.0
reg_lambda,0.0,0.0,0.0,0.0
silent,warn,warn,warn,warn
subsample,1,1,0.5,0.5
subsample_for_bin,200000,200000,200000,200000
subsample_freq,0,0,0,0
metric,binary_logloss,binary_logloss,binary_logloss,binary_logloss
scale_pos_weight,1.0,1.0,1.0,1.0
cv,,,,
scoring,precision,precision,precision,precision
num_col,110,95,95,110
best_score,0.6183838383838384,0.6133333333333333,0.6726190476190477,0.700952380952381
best_index,18.0,180.0,36.0,0.0
acc_train,0.9194630872483222,0.8926174496644296,0.8187919463087249,0.7919463087248322
acc_val,0.631578947368421,0.6578947368421053,0.6578947368421053,0.631578947368421
acc_test,0.6595744680851063,0.6170212765957447,0.5957446808510638,0.574468085106383
precision,0.7222222222222222,0.6875,0.8571428571428571,0.8333333333333334
recall,0.5416666666666666,0.4583333333333333,0.25,0.20833333333333334
f1score,0.619047619047619,0.5499999999999999,0.3870967741935483,0.33333333333333337
roc,0.6621376811594203,0.6204710144927537,0.6032608695652174,0.582427536231884
tn,18.0,18.0,22.0,22.0
fp,5.0,5.0,1.0,1.0
fn,11.0,13.0,18.0,19.0
tp,13.0,11.0,6.0,5.0
acc_test1,0.7333333333333333,0.6666666666666666,0.6,0.6
precision1,0.8571428571428571,0.8333333333333334,1.0,1.0
recall1,0.6666666666666666,0.5555555555555556,0.3333333333333333,0.3333333333333333
f1score1,0.75,0.6666666666666667,0.5,0.5
roc1,0.75,0.6944444444444444,0.6666666666666666,0.6666666666666666
tn1,5.0,5.0,6.0,6.0
fp1,1.0,1.0,0.0,0.0
fn1,3.0,4.0,6.0,6.0
tp1,6.0,5.0,3.0,3.0
acc_test2,0.6666666666666666,0.6,0.5333333333333333,0.4666666666666667
precision2,1.0,1.0,1.0,0.0
recall2,0.375,0.25,0.125,0.0
f1score2,0.5454545454545454,0.4,0.2222222222222222,0.0
roc2,0.6875,0.625,0.5625,0.5
tn2,7.0,7.0,7.0,7.0
fp2,0.0,0.0,0.0,0.0
fn2,5.0,6.0,7.0,8.0
tp2,3.0,2.0,1.0,0.0
acc_test3,0.5882352941176471,0.5882352941176471,0.6470588235294118,0.6470588235294118
precision3,0.5,0.5,0.6666666666666666,0.6666666666666666
recall3,0.5714285714285714,0.5714285714285714,0.2857142857142857,0.2857142857142857
f1score3,0.5333333333333333,0.5333333333333333,0.4,0.4
roc3,0.5857142857142857,0.5857142857142857,0.5928571428571427,0.5928571428571427
tn3,6.0,6.0,9.0,9.0
fp3,4.0,4.0,1.0,1.0
fn3,3.0,3.0,5.0,5.0
tp3,4.0,4.0,2.0,2.0
