parameter,value1,value2,value3,value4,value5,value6,value7,value8,value9,value10,value11
boosting_type,gbdt,gbdt,dart,gbdt,gbdt,gbdt,gbdt,gbdt,dart,gbdt,gbdt
class_weight,,,,,,,,,,,
colsample_bytree,0.18094439414078495,0.39518084918252067,0.9767946537745248,0.9967429731086732,0.872293668820899,0.872293668820899,0.872293668820899,0.39518084918252067,0.659409102425073,0.39518084918252067,0.4216970923554182
importance_type,split,split,split,split,split,split,split,split,split,split,split
learning_rate,0.0027726075275041405,0.0002793992904944405,0.00023958182369010042,0.0011737281175587721,0.00040783886902393755,0.00040783886902393755,0.00040783886902393755,0.0002793992904944405,0.0015819931008885727,0.0002793992904944405,0.0003099044227142107
max_depth,2,23,9,5,0,0,0,23,44,23,28
min_child_samples,36,18,37,40,26,26,26,18,23,18,18
min_child_weight,1,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
min_split_gain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n_estimators,1930,3793,3236,4435,1456,1456,1456,3793,3745,3793,3302
n_jobs,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
num_leaves,7,9,4,7,12,12,12,9,3,9,8
objective,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary
random_state,,,,,,,,,,,
reg_alpha,1.7000000000000002,1.2000000000000002,1.6,1.9000000000000001,0.4,0.4,0.4,1.2000000000000002,0.30000000000000004,1.2000000000000002,1.2000000000000002
reg_lambda,1.5,0.0,0.2,0.0,0.2,0.2,0.2,0.0,0.8,0.0,0.1
silent,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn
subsample,0.6886830213960669,0.2658020151054141,0.1392088899048455,0.005,0.40764193647046626,0.40764193647046626,0.40764193647046626,0.2658020151054141,0.9218805927350733,0.2658020151054141,0.5382405738737224
subsample_for_bin,313785,365506,188939,241784,398451,398451,398451,365506,475417,365506,866459
subsample_freq,0,0,0,0,0,0,0,0,0,0,0
verbose,0,0,0,0,0,0,0,0,0,0,0
boost_from_average,True,True,True,True,True,True,True,True,True,True,True
force_col_wise,true,true,true,true,true,true,true,true,true,true,true
max_bin,754,194,781,142,290,290,290,194,750,194,179
metric,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss
scale_pos_weight,0.6000000000000002,0.5500000000000002,1.9000000000000008,0.40000000000000013,0.8000000000000002,0.8000000000000002,0.8000000000000002,0.5500000000000002,0.40000000000000013,0.5500000000000002,0.5000000000000001
cv,3,3,3,3,3,3,3,3,3,3,3
scoring,precision,precision,accuracy,precision,precision,precision,precision,precision,precision,precision,precision
num_col,98,98,98,98,98,98,98,98,98,98,98
iterations,50,50,50,50,50,60,40,40,60,30,30
