parameter,iter_1,iter_2,iter_3,iter_4,iter_5,iter_6,iter_7,iter_8,iter_9,iter_10,iter_11
cv,3,5,5,5,5,5,5,5,5,5,5
iterations,50,50,50,50,50,50,50,50,50,50,50
num_col,98,98,98,98,98,98,98,98,98,98,98
scoring,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision
boost_from_average,False,True,True,True,True,False,True,False,True,True,True
boosting_type,dart,gbdt,gbdt,gbdt,gbdt,dart,gbdt,dart,dart,gbdt,gbdt
class_weight,,,,,,,,,,,
colsample_bytree,0.5679571375279016,0.512852306884629,0.9436133913063689,0.5964235424893654,0.5818035893192751,0.6166263990250072,0.53024816992544,1.0,0.5,0.512852306884629,1.0
force_col_wise,true,true,true,true,true,true,true,true,true,true,true
importance_type,split,split,split,split,split,split,split,split,split,split,split
learning_rate,0.00041642125595951827,0.00043807043193729565,0.0001,0.0005875397211585179,0.0003952711851453308,0.002410433554901664,0.00014061083784903914,0.0019639864521195996,0.001011871827372474,0.00043807043193729565,0.0001
max_bin,591,769,801,281,513,217,643,290,163,769,151
max_depth,5,38,37,1,27,0,34,0,6,38,0
metric,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss
min_child_samples,40,22,37,10,25,40,12,35,21,22,27
min_child_weight,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
min_split_gain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n_estimators,4627,1614,3857,4791,2054,1888,2292,3200,6000,1614,3708
n_jobs,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
num_leaves,5,15,3,11,13,6,13,3,10,15,3
objective,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary
random_state,42,42,42,42,42,42,42,42,42,42,42
reg_alpha,4.0,2.9766207118988857,1.5639642482459908,1.0192319559227805,1.494520013272222,0.4600392116996677,2.0205112541502683,1.3180226969753175,4.0,2.9766207118988857,0.0
reg_lambda,2.3243446501831793,3.9648127222466334,2.4326472569566264,3.1773948660668876,3.8726966959629308,0.16300376661658977,3.996758658519687,2.1186537369547747,4.078517702168579,3.9648127222466334,2.3782871613159435
scale_pos_weight,0.7441340533558991,0.673929480026588,0.6795653344034371,0.6864971682204299,0.6684512344586391,0.4092596468203073,0.5717899341024899,0.41467476830741257,0.4923956508854666,0.673929480026588,0.5710323403591163
silent,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn
subsample,0.9838460739717767,0.8627868726260591,0.012305624481152846,0.9526629857032313,0.6487712293279236,0.5785172824855115,0.46046042855805797,0.9488990713014784,0.7201851086479902,0.8627868726260591,0.7920349944429871
subsample_for_bin,140456,280474,493185,447108,477471,386114,284518,149179,478172,280474,102154
subsample_freq,0,0,0,0,0,0,0,0,0,0,0
verbose,0,0,0,0,0,0,0,0,0,0,0
best_score,0.7120963327859879,0.6877777777777778,0.7320588235294118,0.6965934065934066,0.7028571428571428,0.8555555555555555,0.85,0.8699999999999999,0.8388888888888889,0.6877777777777778,0.7683982683982684
best_index,27.0,31.0,25.0,15.0,5.0,36.0,22.0,39.0,35.0,31.0,31.0
acc_train,0.6915422885572139,0.7213930348258707,0.6467661691542289,0.6766169154228856,0.7164179104477612,0.6268656716417911,0.6766169154228856,0.6318407960199005,0.6616915422885572,0.7213930348258707,0.6467661691542289
acc_val,0.5098039215686274,0.47058823529411764,0.6078431372549019,0.49019607843137253,0.5098039215686274,0.5294117647058824,0.5098039215686274,0.5294117647058824,0.45098039215686275,0.47058823529411764,0.6078431372549019
acc_test,0.546875,0.59375,0.625,0.59375,0.625,0.578125,0.5625,0.5625,0.5625,0.59375,0.625
train_precision,0.7647058823529411,0.92,0.8461538461538461,0.8113207547169812,0.9019607843137255,0.9259259259259259,1.0,0.9285714285714286,0.8947368421052632,0.92,0.8461538461538461
train_tn,87.0,99.0,97.0,93.0,98.0,101.0,103.0,101.0,99.0,99.0,97.0
train_fp,16.0,4.0,6.0,10.0,5.0,2.0,0.0,2.0,4.0,4.0,6.0
train_fn,46.0,52.0,65.0,55.0,52.0,73.0,65.0,72.0,64.0,52.0,65.0
train_tp,52.0,46.0,33.0,43.0,46.0,25.0,33.0,26.0,34.0,46.0,33.0
val_precision,0.5,0.4166666666666667,0.7272727272727273,0.45454545454545453,0.5,0.5555555555555556,0.5,0.5714285714285714,0.36363636363636365,0.4166666666666667,0.7272727272727273
val_tn,17.0,19.0,23.0,20.0,19.0,22.0,24.0,23.0,19.0,19.0,23.0
val_fp,9.0,7.0,3.0,6.0,7.0,4.0,2.0,3.0,7.0,7.0,3.0
val_fn,16.0,20.0,17.0,20.0,18.0,20.0,23.0,21.0,21.0,20.0,17.0
val_tp,9.0,5.0,8.0,5.0,7.0,5.0,2.0,4.0,4.0,5.0,8.0
test_precision,0.5,0.6,0.7272727272727273,0.6363636363636364,0.6470588235294118,0.6666666666666666,0.5555555555555556,0.5714285714285714,0.5555555555555556,0.6,0.7272727272727273
recall,0.3448275862068966,0.3103448275862069,0.27586206896551724,0.2413793103448276,0.3793103448275862,0.13793103448275862,0.1724137931034483,0.13793103448275862,0.1724137931034483,0.3103448275862069,0.27586206896551724
f1score,0.40816326530612246,0.4090909090909091,0.4,0.35,0.4782608695652174,0.2285714285714286,0.26315789473684215,0.2222222222222222,0.26315789473684215,0.4090909090909091,0.4
roc,0.5295566502463055,0.5694581280788177,0.5950738916256157,0.5635467980295567,0.6039408866995074,0.5403940886699508,0.529064039408867,0.5261083743842364,0.529064039408867,0.5694581280788177,0.5950738916256157
test_tn,25.0,29.0,32.0,31.0,29.0,33.0,31.0,32.0,31.0,29.0,32.0
test_fp,10.0,6.0,3.0,4.0,6.0,2.0,4.0,3.0,4.0,6.0,3.0
test_fn,19.0,20.0,21.0,22.0,18.0,25.0,24.0,25.0,24.0,20.0,21.0
test_tp,10.0,9.0,8.0,7.0,11.0,4.0,5.0,4.0,5.0,9.0,8.0
acc_test1,0.5714285714285714,0.5714285714285714,0.6190476190476191,0.5238095238095238,0.6190476190476191,0.5238095238095238,0.5238095238095238,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.6190476190476191
precision1,0.6666666666666666,0.75,1.0,0.6666666666666666,0.8,1.0,1.0,1.0,1.0,0.75,1.0
recall1,0.36363636363636365,0.2727272727272727,0.2727272727272727,0.18181818181818182,0.36363636363636365,0.09090909090909091,0.09090909090909091,0.18181818181818182,0.18181818181818182,0.2727272727272727,0.2727272727272727
f1score1,0.4705882352941177,0.39999999999999997,0.42857142857142855,0.28571428571428575,0.5000000000000001,0.16666666666666669,0.16666666666666669,0.3076923076923077,0.3076923076923077,0.39999999999999997,0.42857142857142855
roc1,0.5818181818181819,0.5863636363636364,0.6363636363636364,0.5409090909090909,0.631818181818182,0.5454545454545454,0.5454545454545454,0.5909090909090909,0.5909090909090909,0.5863636363636364,0.6363636363636364
tn1,8.0,9.0,10.0,9.0,9.0,10.0,10.0,10.0,10.0,9.0,10.0
fp1,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
fn1,7.0,8.0,8.0,9.0,7.0,10.0,10.0,9.0,9.0,8.0,8.0
tp1,4.0,3.0,3.0,2.0,4.0,1.0,1.0,2.0,2.0,3.0,3.0
acc_test2,0.6666666666666666,0.7142857142857143,0.6190476190476191,0.6190476190476191,0.7142857142857143,0.5714285714285714,0.6190476190476191,0.5238095238095238,0.5714285714285714,0.7142857142857143,0.6190476190476191
precision2,0.6666666666666666,0.75,0.6666666666666666,0.6666666666666666,0.75,0.6,0.6666666666666666,0.5,0.6,0.75,0.6666666666666666
recall2,0.6,0.6,0.4,0.4,0.6,0.3,0.4,0.2,0.3,0.6,0.4
f1score2,0.631578947368421,0.6666666666666665,0.5,0.5,0.6666666666666665,0.4,0.5,0.28571428571428575,0.4,0.6666666666666665,0.5
roc2,0.6636363636363637,0.7090909090909091,0.609090909090909,0.609090909090909,0.7090909090909091,0.559090909090909,0.609090909090909,0.509090909090909,0.559090909090909,0.7090909090909091,0.609090909090909
tn2,8.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
fp2,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
fn2,4.0,4.0,6.0,6.0,4.0,7.0,6.0,8.0,7.0,4.0,6.0
tp2,6.0,6.0,4.0,4.0,6.0,3.0,4.0,2.0,3.0,6.0,4.0
acc_test3,0.4090909090909091,0.5,0.6363636363636364,0.6363636363636364,0.5454545454545454,0.6363636363636364,0.5454545454545454,0.5909090909090909,0.5454545454545454,0.5,0.6363636363636364
precision3,0.0,0.0,0.5,0.5,0.25,0.0,0.0,0.0,0.0,0.0,0.5
recall3,0.0,0.0,0.125,0.125,0.125,0.0,0.0,0.0,0.0,0.0,0.125
f1score3,0.0,0.0,0.2,0.2,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.2
roc3,0.3214285714285714,0.39285714285714285,0.5267857142857143,0.5267857142857143,0.45535714285714285,0.5,0.4285714285714286,0.4642857142857143,0.4285714285714286,0.39285714285714285,0.5267857142857143
tn3,9.0,11.0,13.0,13.0,11.0,14.0,12.0,13.0,12.0,11.0,13.0
fp3,5.0,3.0,1.0,1.0,3.0,0.0,2.0,1.0,2.0,3.0,1.0
fn3,8.0,8.0,7.0,7.0,7.0,8.0,8.0,8.0,8.0,8.0,7.0
tp3,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
