parameter,value1
boosting_type,gbdt
class_weight,
colsample_bytree,0.5
importance_type,split
learning_rate,0.001
max_depth,-1
min_child_samples,20
min_child_weight,0.001
min_split_gain,0.0
n_estimators,1100
n_jobs,-1
num_leaves,6
objective,binary
random_state,42
reg_alpha,0.0
reg_lambda,0.0
silent,warn
subsample,0.2
subsample_for_bin,200000
subsample_freq,0
metric,binary_logloss
scale_pos_weight,1.0
cv,
scoring,precision
num_col,110
best_score,0.0
best_index,0.0
acc_train,0.8095238095238095
acc_val,0.7272727272727273
acc_test,0.6428571428571429
precision,0.75
recall,0.6666666666666666
f1score,0.7058823529411765
roc,0.6333333333333333
tn,3.0
fp,2.0
fn,3.0
tp,6.0
acc_test1,1.0
precision1,1.0
recall1,1.0
f1score1,1.0
roc1,1.0
tn1,1.0
fp1,0.0
fn1,0.0
tp1,3.0
acc_test2,0.75
precision2,1.0
recall2,0.5
f1score2,0.6666666666666666
roc2,0.75
tn2,2.0
fp2,0.0
fn2,1.0
tp2,1.0
acc_test3,0.3333333333333333
precision3,0.5
recall3,0.5
f1score3,0.5
roc3,0.25
tn3,0.0
fp3,2.0
fn3,2.0
tp3,2.0
