parameter,value1,value2,value3
boosting_type,gbdt,gbdt,gbdt
class_weight,,,
colsample_bytree,0.9332036588535947,0.872293668820899,0.9332036588535947
importance_type,split,split,split
learning_rate,0.0011847240811834723,0.00040783886902393755,0.0011847240811834723
max_depth,18,0,18
min_child_samples,16,26,16
min_child_weight,0.001,0.001,0.001
min_split_gain,0.0,0.0,0.0
n_estimators,2190,1105,2190
n_jobs,-1,-1,-1
num_leaves,10,12,10
objective,binary,binary,binary
random_state,,,
reg_alpha,0.30000000000000004,0.2,0.30000000000000004
reg_lambda,1.2000000000000002,0.4,1.2000000000000002
silent,warn,warn,warn
subsample,0.6684947525293031,0.40764193647046626,0.6684947525293031
subsample_for_bin,373099,398451,373099
subsample_freq,0,0,0
metric,binary_logloss,binary_logloss,binary_logloss
verbose,1,1,1
boost_from_average,False,True,False
force_col_wise,true,true,true
max_bin,473,290,473
scale_pos_weight,0.30000000000000004,0.8000000000000003,0.30000000000000004
cv,5,5,5
scoring,precision,precision,precision
num_col,110,86,110
iterations,10,10,10
best_score,0.74,0.8444444444444444,0.74
best_index,0.0,8.0,0.0
acc_train,0.7759562841530054,0.6994535519125683,0.7759562841530054
acc_val,0.7391304347826086,0.6739130434782609,0.7391304347826086
acc_test,0.5344827586206896,0.5,0.5344827586206896
precision,1.0,1.0,1.0
recall,0.15625,0.09375,0.15625
f1score,0.2702702702702703,0.17142857142857143,0.2702702702702703
roc,0.578125,0.546875,0.578125
tn,26.0,26.0,26.0
fp,0.0,0.0,0.0
fn,27.0,29.0,27.0
tp,5.0,3.0,5.0
acc_test1,0.3157894736842105,0.2631578947368421,0.3157894736842105
precision1,1.0,1.0,1.0
recall1,0.13333333333333333,0.06666666666666667,0.13333333333333333
f1score1,0.23529411764705882,0.125,0.23529411764705882
roc1,0.5666666666666667,0.5333333333333333,0.5666666666666667
tn1,4.0,4.0,4.0
fp1,0.0,0.0,0.0
fn1,13.0,14.0,13.0
tp1,2.0,1.0,2.0
acc_test2,0.631578947368421,0.5789473684210527,0.631578947368421
precision2,1.0,0.0,1.0
recall2,0.125,0.0,0.125
f1score2,0.2222222222222222,0.0,0.2222222222222222
roc2,0.5625,0.5,0.5625
tn2,11.0,11.0,11.0
fp2,0.0,0.0,0.0
fn2,7.0,8.0,7.0
tp2,1.0,0.0,1.0
acc_test3,0.65,0.65,0.65
precision3,1.0,1.0,1.0
recall3,0.2222222222222222,0.2222222222222222,0.2222222222222222
f1score3,0.3636363636363636,0.3636363636363636,0.3636363636363636
roc3,0.6111111111111112,0.6111111111111112,0.6111111111111112
tn3,11.0,11.0,11.0
fp3,0.0,0.0,0.0
fn3,7.0,7.0,7.0
tp3,2.0,2.0,2.0
