parameter,value1
boosting_type,gbdt
class_weight,
colsample_bytree,0.9332036588535947
importance_type,split
learning_rate,0.0011847240811834723
max_depth,18
min_child_samples,16
min_child_weight,0.001
min_split_gain,0.0
n_estimators,2190
n_jobs,-1
num_leaves,10
objective,binary
random_state,
reg_alpha,0.30000000000000004
reg_lambda,1.2000000000000002
silent,warn
subsample,0.6684947525293031
subsample_for_bin,373099
subsample_freq,0
metric,binary_logloss
verbose,1
boost_from_average,False
force_col_wise,true
max_bin,473
scale_pos_weight,0.30000000000000004
cv,5
scoring,precision
num_col,110
iterations,10
best_score,0.74
best_index,0.0
acc_train,0.7759562841530054
acc_val,0.7391304347826086
acc_test,0.5344827586206896
precision,1.0
recall,0.15625
f1score,0.2702702702702703
roc,0.578125
tn,26.0
fp,0.0
fn,27.0
tp,5.0
acc_test1,0.3157894736842105
precision1,1.0
recall1,0.13333333333333333
f1score1,0.23529411764705882
roc1,0.5666666666666667
tn1,4.0
fp1,0.0
fn1,13.0
tp1,2.0
acc_test2,0.631578947368421
precision2,1.0
recall2,0.125
f1score2,0.2222222222222222
roc2,0.5625
tn2,11.0
fp2,0.0
fn2,7.0
tp2,1.0
acc_test3,0.65
precision3,1.0
recall3,0.2222222222222222
f1score3,0.3636363636363636
roc3,0.6111111111111112
tn3,11.0
fp3,0.0
fn3,7.0
tp3,2.0
