parameter,value1,value2
boosting_type,dart,dart
class_weight,,
colsample_bytree,0.6000568421245674,0.528987135942054
importance_type,split,split
learning_rate,0.0006885907876058295,0.0028055967090060275
max_depth,38,21
min_child_samples,37,17
min_child_weight,0.001,0.001
min_split_gain,0.0,0.0
n_estimators,1590,2217
n_jobs,-1,-1
num_leaves,7,9
objective,binary,binary
random_state,,
reg_alpha,2.4000000000000004,1.0
reg_lambda,0.1,1.0
silent,warn,warn
subsample,0.4488857071819565,0.9860608005968848
subsample_for_bin,225635,116672
subsample_freq,0,0
metric,binary_logloss,binary_logloss
verbose,1,1
boost_from_average,True,True
force_col_wise,true,true
max_bin,186,745
scale_pos_weight,1.8000000000000005,0.7000000000000002
cv,5,5
scoring,precision,precision
num_col,110,11
iterations,10,10
best_score,0.5235294117647058,0.6033333333333333
best_index,3.0,4.0
acc_train,0.5232558139534884,0.7325581395348837
acc_val,0.5,0.5
acc_test,0.4444444444444444,0.5925925925925926
precision,0.4444444444444444,0.6
recall,1.0,0.25
f1score,0.6153846153846153,0.35294117647058826
roc,0.5,0.5583333333333335
tn,0.0,13.0
fp,15.0,2.0
fn,0.0,9.0
tp,12.0,3.0
acc_test1,0.3333333333333333,0.6666666666666666
precision1,0.3333333333333333,0.0
recall1,1.0,0.0
f1score1,0.5,0.0
roc1,0.5,0.5
tn1,0.0,6.0
fp1,6.0,0.0
fn1,0.0,3.0
tp1,3.0,0.0
acc_test2,0.4444444444444444,0.6666666666666666
precision2,0.4444444444444444,1.0
recall2,1.0,0.25
f1score2,0.6153846153846153,0.4
roc2,0.5,0.625
tn2,0.0,5.0
fp2,5.0,0.0
fn2,0.0,3.0
tp2,4.0,1.0
acc_test3,0.5555555555555556,0.4444444444444444
precision3,0.5555555555555556,0.5
recall3,1.0,0.4
f1score3,0.7142857142857143,0.4444444444444445
roc3,0.5,0.44999999999999996
tn3,0.0,2.0
fp3,4.0,2.0
fn3,0.0,3.0
tp3,5.0,2.0
