parameter,value1
boosting_type,dart
class_weight,
colsample_bytree,0.6000568421245674
importance_type,split
learning_rate,0.0006885907876058295
max_depth,38
min_child_samples,37
min_child_weight,0.001
min_split_gain,0.0
n_estimators,1590
n_jobs,-1
num_leaves,7
objective,binary
random_state,
reg_alpha,2.4000000000000004
reg_lambda,0.1
silent,warn
subsample,0.4488857071819565
subsample_for_bin,225635
subsample_freq,0
metric,binary_logloss
verbose,1
boost_from_average,True
force_col_wise,true
max_bin,186
scale_pos_weight,1.8000000000000005
cv,5
scoring,precision
num_col,110
iterations,10
best_score,0.5235294117647058
best_index,3.0
acc_train,0.5232558139534884
acc_val,0.5
acc_test,0.4444444444444444
precision,0.4444444444444444
recall,1.0
f1score,0.6153846153846153
roc,0.5
tn,0.0
fp,15.0
fn,0.0
tp,12.0
acc_test1,0.3333333333333333
precision1,0.3333333333333333
recall1,1.0
f1score1,0.5
roc1,0.5
tn1,0.0
fp1,6.0
fn1,0.0
tp1,3.0
acc_test2,0.4444444444444444
precision2,0.4444444444444444
recall2,1.0
f1score2,0.6153846153846153
roc2,0.5
tn2,0.0
fp2,5.0
fn2,0.0
tp2,4.0
acc_test3,0.5555555555555556
precision3,0.5555555555555556
recall3,1.0
f1score3,0.7142857142857143
roc3,0.5
tn3,0.0
fp3,4.0
fn3,0.0
tp3,5.0
