parameter,value1,value2,value3,value4,value5,value6,value7,value8,value9,value10,value11,value12,value13,value16,value17,value18,value19,value20
cv,3,3,3,3,3,3,5,5,3,4,3,3,3,5,5,3,5,3
iterations,50,20,20,20,20,20,20,50,50,50,50,10,30,15,15,20,10,50
num_col,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98
scoring,precision,precision,accuracy,f1,roc_auc,average_precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision
boost_from_average,True,True,False,False,False,False,True,True,True,False,False,True,True,True,False,False,False,True
boosting_type,gbdt,gbdt,gbdt,dart,gbdt,gbdt,gbdt,gbdt,gbdt,gbdt,gbdt,gbdt,gbdt,gbdt,gbdt,gbdt,gbdt,dart
class_weight,,,,,,,,,,,,,,,,,,
colsample_bytree,0.49898437007873314,0.49898437007873314,0.10933486275994007,1.0,0.10933486275994007,0.10933486275994007,0.872293668820899,0.872293668820899,0.49898437007873314,0.03252697169522869,0.005,0.49898437007873314,0.49898437007873314,0.872293668820899,0.9332036588535947,0.10933486275994007,0.9332036588535947,0.39928230305650136
force_col_wise,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
importance_type,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split
learning_rate,0.0003304939642148201,0.0003304939642148201,0.00020003937281998327,0.004,0.00020003937281998327,0.00020003937281998327,0.00040783886902393755,0.00040783886902393755,0.0003304939642148201,0.00011655083109083691,0.002949732693644467,0.0003304939642148201,0.0003304939642148201,0.00040783886902393755,0.0011847240811834723,0.00020003937281998327,0.0011847240811834723,0.0005182678377126362
max_bin,146,146,508,1000,508,508,290,290,146,524,100,146,146,290,473,508,473,780
max_depth,29,29,8,37,8,8,0,0,29,16,31,29,29,0,18,8,18,42
metric,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss
min_child_samples,19,19,25,5,25,25,26,26,19,7,18,19,19,26,16,25,16,27
min_child_weight,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
min_split_gain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n_estimators,2600,2600,2938,700,2938,2938,1105,1105,2600,2298,1328,2600,2600,1105,6724,9751,6724,700
n_jobs,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
num_leaves,7,7,11,15,11,11,12,12,7,13,10,7,7,12,10,11,10,11
objective,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary
random_state,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42
