parameter,value1
boosting_type,gbdt
class_weight,
colsample_bytree,0.5
importance_type,split
learning_rate,0.001
max_depth,-1
min_child_samples,20
min_child_weight,0.001
min_split_gain,0.0
n_estimators,1100
n_jobs,-1
num_leaves,4
objective,binary
random_state,42
reg_alpha,0.0
reg_lambda,0.0
silent,warn
subsample,0.2
subsample_for_bin,200000
subsample_freq,0
metric,binary_logloss
scale_pos_weight,1.0
cv,
scoring,precision
num_col,110
best_score,0.745
best_index,840.0
acc_train,0.8251748251748252
acc_val,0.5833333333333334
acc_test,0.5555555555555556
precision,0.6363636363636364
recall,0.30434782608695654
f1score,0.411764705882353
roc,0.5612648221343872
tn,18.0
fp,4.0
fn,16.0
tp,7.0
acc_test1,0.6
precision1,0.8
recall1,0.4444444444444444
f1score1,0.5714285714285714
roc1,0.6388888888888888
tn1,5.0
fp1,1.0
fn1,5.0
tp1,4.0
acc_test2,0.4
precision2,0.5
recall2,0.1111111111111111
f1score2,0.1818181818181818
roc2,0.47222222222222227
tn2,5.0
fp2,1.0
fn2,8.0
tp2,1.0
acc_test3,0.6666666666666666
precision3,0.5
recall3,0.4
f1score3,0.4444444444444445
roc3,0.6
tn3,8.0
fp3,2.0
fn3,3.0
tp3,2.0
