parameter,value1,value2
cv,3,3
iterations,50,20
num_col,98,98
scoring,precision,precision
boost_from_average,True,True
boosting_type,gbdt,gbdt
class_weight,,
colsample_bytree,0.49898437007873314,0.49898437007873314
force_col_wise,true,true
importance_type,split,split
learning_rate,0.0003304939642148201,0.0003304939642148201
max_bin,146,146
max_depth,29,29
metric,binary_logloss,binary_logloss
min_child_samples,19,19
min_child_weight,0.001,0.001
min_split_gain,0.0,0.0
n_estimators,2600,2600
n_jobs,-1,-1
num_leaves,7,7
objective,binary,binary
random_state,42,42
reg_alpha,2.7,2.7
reg_lambda,0.30000000000000004,0.30000000000000004
scale_pos_weight,0.7000000000000002,0.7000000000000002
silent,warn,warn
subsample,0.5597576125719046,0.5597576125719046
subsample_for_bin,439614,439614
subsample_freq,0,0
verbose,1,0
best_score,0.7777777777777777,0.7777777777777777
best_index,7.0,7.0
acc_train,0.7216494845360825,0.7216494845360825
acc_val,0.6122448979591837,0.6122448979591837
acc_test,0.6229508196721312,0.6229508196721312
precision,1.0,1.0
recall,0.041666666666666664,0.041666666666666664
f1score,0.07999999999999999,0.07999999999999999
roc,0.5208333333333334,0.5208333333333334
tn,37.0,37.0
fp,0.0,0.0
fn,23.0,23.0
tp,1.0,1.0
acc_test1,0.5,0.5
precision1,0.0,0.0
recall1,0.0,0.0
f1score1,0.0,0.0
roc1,0.5,0.5
tn1,10.0,10.0
fp1,0.0,0.0
fn1,10.0,10.0
tp1,0.0,0.0
acc_test2,0.65,0.65
precision2,1.0,1.0
recall2,0.125,0.125
f1score2,0.2222222222222222,0.2222222222222222
roc2,0.5625,0.5625
tn2,12.0,12.0
fp2,0.0,0.0
fn2,7.0,7.0
tp2,1.0,1.0
acc_test3,0.7142857142857143,0.7142857142857143
precision3,0.0,0.0
recall3,0.0,0.0
f1score3,0.0,0.0
roc3,0.5,0.5
tn3,15.0,15.0
fp3,0.0,0.0
fn3,6.0,6.0
tp3,0.0,0.0
