parameter,value1,value2
boosting_type,gbdt,gbdt
class_weight,,
colsample_bytree,0.49898437007873314,0.49898437007873314
importance_type,split,split
learning_rate,0.0003304939642148201,0.0003304939642148201
max_depth,29,29
min_child_samples,19,19
min_child_weight,0.001,0.001
min_split_gain,0.0,0.0
n_estimators,2600,2600
n_jobs,-1,-1
num_leaves,7,7
objective,binary,binary
random_state,,
reg_alpha,1.3,1.3
reg_lambda,0.1,0.1
silent,warn,warn
subsample,0.5597576125719046,0.5597576125719046
subsample_for_bin,439614,439614
subsample_freq,0,0
metric,binary_logloss,binary_logloss
verbose,1,1
boost_from_average,True,True
force_col_wise,true,true
max_bin,146,146
scale_pos_weight,0.7000000000000002,0.7000000000000002
cv,5,5
scoring,"make_scorer(precision_score, pos_label=1)","make_scorer(precision_score, pos_label=1)"
num_col,110,87
iterations,10,10
best_score,0.8,0.8333333333333333
best_index,7.0,7.0
acc_train,0.7832167832167832,0.7832167832167832
acc_val,0.6111111111111112,0.6111111111111112
acc_test,0.5777777777777777,0.5777777777777777
precision,1.0,1.0
recall,0.17391304347826086,0.17391304347826086
f1score,0.29629629629629634,0.29629629629629634
roc,0.5869565217391304,0.5869565217391304
tn,22.0,22.0
fp,0.0,0.0
fn,19.0,19.0
tp,4.0,4.0
acc_test1,0.5333333333333333,0.5333333333333333
precision1,1.0,1.0
recall1,0.2222222222222222,0.2222222222222222
f1score1,0.3636363636363636,0.3636363636363636
roc1,0.6111111111111112,0.6111111111111112
tn1,6.0,6.0
fp1,0.0,0.0
fn1,7.0,7.0
tp1,2.0,2.0
acc_test2,0.4,0.4
precision2,0.0,0.0
recall2,0.0,0.0
f1score2,0.0,0.0
roc2,0.5,0.5
tn2,6.0,6.0
fp2,0.0,0.0
fn2,9.0,9.0
tp2,0.0,0.0
acc_test3,0.8,0.8
precision3,1.0,1.0
recall3,0.4,0.4
f1score3,0.5714285714285715,0.5714285714285715
roc3,0.7,0.7
tn3,10.0,10.0
fp3,0.0,0.0
fn3,3.0,3.0
tp3,2.0,2.0
