parameter,iter_1,iter_2,iter_3,iter_4
cv,5,5,5,5
iterations,50,100,50,50
num_col,98,98,98,98
scoring,precision,precision,precision,precision
boost_from_average,True,True,True,True
boosting_type,gbdt,gbdt,gbdt,gbdt
class_weight,,,,
colsample_bytree,0.5818035893192751,0.5818035893192751,0.5,0.9747447529487726
force_col_wise,true,true,true,true
importance_type,split,split,split,split
learning_rate,0.0003952711851453308,0.0003952711851453308,0.0001,0.0019690498666304216
max_bin,513,513,100,875
max_depth,27,27,27,8
metric,binary_logloss,binary_logloss,binary_logloss,binary_logloss
min_child_samples,25,25,40,19
min_child_weight,0.001,0.001,0.001,0.001
min_split_gain,0.0,0.0,0.0,0.0
n_estimators,3232,3232,5000,700
n_jobs,-1,-1,-1,-1
num_leaves,13,13,20,3
objective,binary,binary,binary,binary
random_state,42,42,42,42
reg_alpha,1.9926933510296294,1.9926933510296294,0.17390763836972353,0.6676184782867892
reg_lambda,3.8726966959629308,3.8726966959629308,0.8051347806625548,2.7170452648600047
scale_pos_weight,0.6684512344586391,0.6684512344586391,0.6590578957741219,0.5877948354277915
silent,warn,warn,warn,warn
subsample,0.6487712293279236,0.6487712293279236,1.0,0.7118409633792616
subsample_for_bin,477471,477471,376836,152982
subsample_freq,0,0,0,0
verbose,0,0,0,0
best_score,0.6953968253968255,0.6953968253968255,0.7476190476190476,0.7314285714285713
best_index,5.0,5.0,24.0,37.0
acc_train,0.6731517509727627,0.6731517509727627,0.642023346303502,0.6381322957198443
acc_val,0.5789473684210527,0.5789473684210527,0.631578947368421,0.5789473684210527
acc_test,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.5454545454545454
train_precision,0.9024390243902439,0.9024390243902439,0.8571428571428571,0.9
train_tn,136.0,136.0,135.0,137.0
train_fp,4.0,4.0,5.0,3.0
train_fn,80.0,80.0,87.0,90.0
train_tp,37.0,37.0,30.0,27.0
val_precision,0.0,0.0,0.5,0.0
val_tn,11.0,11.0,11.0,11.0
val_fp,1.0,1.0,1.0,1.0
val_fn,7.0,7.0,6.0,7.0
val_tp,0.0,0.0,1.0,0.0
test_precision,0.0,0.0,0.0,0.0
recall,0.0,0.0,0.0,0.0
f1score,0.0,0.0,0.0,0.0
roc,0.5,0.5,0.5,0.5
test_tn,12.0,12.0,12.0,12.0
test_fp,0.0,0.0,0.0,0.0
test_fn,10.0,10.0,10.0,10.0
test_tp,0.0,0.0,0.0,0.0
