parameter,iter_1,iter_2,iter_3
boost_from_average,"[True, False]",,
boost_from_average,True,True,True
boosting_type,"['gbdt', 'dart']",,
boosting_type,gbdt,gbdt,gbdt
class_weight,,,
colsample_bytree,"(0.5, 1.0, 'uniform')",,
colsample_bytree,0.5818035893192751,0.5818035893192751,0.5
cv,5,5,5
cv,5,,
force_col_wise,['true'],,
force_col_wise,true,true,true
importance_type,split,split,split
importance_type,['split'],,
iterations,50,,
iterations,50,100,50
learning_rate,"(0.0001, 0.004, 'log-uniform')",,
learning_rate,0.0003952711851453308,0.0003952711851453308,0.0001
max_bin,513,513,100
max_bin,"(100, 1000)",,
max_depth,27,27,27
max_depth,"(0, 50)",,
metric,['binary_logloss'],,
metric,binary_logloss,binary_logloss,binary_logloss
min_child_samples,25,25,40
min_child_samples,"(5, 40)",,
min_child_weight,0.001,0.001,0.001
min_split_gain,0.0,0.0,0.0
n_estimators,"(700, 5000)",,
n_estimators,3232,3232,5000
n_jobs,-1,-1,-1
num_col,98,98,98
num_col,98,,
num_leaves,"(3, 20)",,
num_leaves,13,13,20
objective,['binary'],,
objective,binary,binary,binary
random_state,42,42,42
reg_alpha,"(0.0, 4.0, 'uniform')",,
reg_alpha,1.9926933510296294,1.9926933510296294,0.17390763836972353
reg_lambda,"(0.0, 4.0, 'uniform')",,
reg_lambda,3.8726966959629308,3.8726966959629308,0.8051347806625548
scale_pos_weight,"(0.2, 2.0, 'uniform')",,
scale_pos_weight,0.6684512344586391,0.6684512344586391,0.6590578957741219
scoring,precision,precision,precision
scoring,precision,,
silent,warn,warn,warn
subsample,"(0.005, 1.0, 'uniform')",,
subsample,0.6487712293279236,0.6487712293279236,1.0
subsample_for_bin,"(100000, 500000)",,
subsample_for_bin,477471,477471,376836
subsample_freq,0,0,0
verbose,0,0,0
best_score,0.6953968253968255,0.6953968253968255,0.7476190476190476
best_index,5.0,5.0,24.0
acc_train,0.6731517509727627,0.6731517509727627,0.642023346303502
acc_val,0.5789473684210527,0.5789473684210527,0.631578947368421
acc_test,0.5454545454545454,0.5454545454545454,0.5454545454545454
train_precision,0.9024390243902439,0.9024390243902439,0.8571428571428571
train_tn,136.0,136.0,135.0
train_fp,4.0,4.0,5.0
train_fn,80.0,80.0,87.0
train_tp,37.0,37.0,30.0
val_precision,0.0,0.0,0.5
val_tn,11.0,11.0,11.0
val_fp,1.0,1.0,1.0
val_fn,7.0,7.0,6.0
val_tp,0.0,0.0,1.0
test_precision,0.0,0.0,0.0
recall,0.0,0.0,0.0
f1score,0.0,0.0,0.0
roc,0.5,0.5,0.5
test_tn,12.0,12.0,12.0
test_fp,0.0,0.0,0.0
test_fn,10.0,10.0,10.0
test_tp,0.0,0.0,0.0
