parameter,iter_1,iter_2,iter_3,iter_4,iter_5,iter_6
cv,3,3,3,3,3,3
iterations,50,50,50,50,50,50
num_col,98,98,98,98,98,98
scoring,precision,accuracy,accuracy,precision,precision,precision
boost_from_average,True,False,False,True,True,True
boosting_type,gbdt,dart,dart,gbdt,gbdt,gbdt
class_weight,,,,,,
colsample_bytree,0.1677891427453575,0.08014731708608282,0.12744975652949347,0.4200439376818571,0.9785042901004879,0.1677891427453575
force_col_wise,true,true,true,true,true,true
importance_type,split,split,split,split,split,split
learning_rate,0.0003952711851453308,0.003389996987422777,0.002236717388394407,0.0001193098394813686,0.0001355448609735837,0.0003952711851453308
max_bin,513,114,639,830,482,513
max_depth,27,0,50,10,24,27
metric,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss
min_child_samples,25,33,26,17,8,25
min_child_weight,0.001,0.001,10.0,4.892956074748169,0.2679532991797361,0.001
min_split_gain,0.0,0.0,0.0,0.0,0.0,0.0
n_estimators,3232,2068,3791,3062,2859,3232
n_jobs,-1,-1,-1,-1,-1,-1
num_leaves,10,3,3,13,9,10
objective,binary,binary,binary,binary,binary,binary
random_state,42,42,42,42,42,42
reg_alpha,1.9926933510296294,0.9565491697000309,4.0,1.127731479505603,0.4192488137498569,1.9926933510296294
reg_lambda,3.8726966959629308,0.5993322373238186,1.85277271284379,1.3728752950281589,1.213757049288964,3.8726966959629308
scale_pos_weight,0.6684512344586391,0.7823532877150323,1.0250187302865206,1.7859732987649248,0.7528754786787695,0.6684512344586391
silent,warn,warn,warn,warn,warn,warn
subsample,0.6487712293279236,0.917321823302782,0.4099890705106552,0.029778241191094196,0.501438786807409,0.6487712293279236
subsample_for_bin,477471,450766,187016,147971,128857,477471
subsample_freq,0,0,0,0,0,0
verbose,0,0,0,0,0,0
best_score,0.8666666666666667,0.7272727272727272,0.7222222222222223,0.8083333333333332,0.8257575757575758,0.8666666666666667
best_index,5.0,16.0,18.0,27.0,17.0,5.0
acc_train,0.7323232323232324,0.7828282828282829,0.797979797979798,0.7676767676767676,0.7727272727272727,0.7323232323232324
acc_val,0.66,0.74,0.82,0.62,0.68,0.66
acc_test,0.6507936507936508,0.6825396825396826,0.6666666666666666,0.6666666666666666,0.6349206349206349,0.6507936507936508
precision,0.8571428571428571,0.7692307692307693,0.6875,0.75,0.75,0.8571428571428571
recall,0.2222222222222222,0.37037037037037035,0.4074074074074074,0.3333333333333333,0.2222222222222222,0.2222222222222222
f1score,0.35294117647058826,0.5,0.5116279069767441,0.46153846153846156,0.34285714285714286,0.35294117647058826
roc,0.5972222222222223,0.6435185185185184,0.6342592592592594,0.6249999999999999,0.5833333333333334,0.5972222222222223
tn,35.0,33.0,31.0,33.0,34.0,35.0
fp,1.0,3.0,5.0,3.0,2.0,1.0
fn,21.0,17.0,16.0,18.0,21.0,21.0
tp,6.0,10.0,11.0,9.0,6.0,6.0
acc_test1,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6190476190476191,0.5714285714285714,0.6666666666666666
precision1,0.6666666666666666,0.6,0.6,0.5,0.3333333333333333,0.6666666666666666
recall1,0.25,0.375,0.375,0.25,0.125,0.25
f1score1,0.36363636363636365,0.4615384615384615,0.4615384615384615,0.3333333333333333,0.18181818181818182,0.36363636363636365
roc1,0.5865384615384616,0.6105769230769231,0.6105769230769231,0.5480769230769231,0.4855769230769231,0.5865384615384616
tn1,12.0,11.0,11.0,11.0,11.0,12.0
fp1,1.0,2.0,2.0,2.0,2.0,1.0
fn1,6.0,5.0,5.0,6.0,7.0,6.0
tp1,2.0,3.0,3.0,2.0,1.0,2.0
acc_test2,0.6666666666666666,0.6666666666666666,0.7142857142857143,0.7142857142857143,0.7619047619047619,0.6666666666666666
precision2,1.0,0.8,0.75,0.8333333333333334,1.0,1.0
recall2,0.3,0.4,0.6,0.5,0.5,0.3
f1score2,0.4615384615384615,0.5333333333333333,0.6666666666666665,0.625,0.6666666666666666,0.4615384615384615
roc2,0.65,0.6545454545454545,0.7090909090909091,0.7045454545454545,0.75,0.65
tn2,11.0,10.0,9.0,10.0,11.0,11.0
fp2,0.0,1.0,2.0,1.0,0.0,0.0
fn2,7.0,6.0,4.0,5.0,5.0,7.0
tp2,3.0,4.0,6.0,5.0,5.0,3.0
acc_test3,0.6190476190476191,0.7142857142857143,0.6190476190476191,0.6666666666666666,0.5714285714285714,0.6190476190476191
precision3,1.0,1.0,0.6666666666666666,1.0,0.0,1.0
recall3,0.1111111111111111,0.3333333333333333,0.2222222222222222,0.2222222222222222,0.0,0.1111111111111111
f1score3,0.19999999999999998,0.5,0.3333333333333333,0.3636363636363636,0.0,0.19999999999999998
roc3,0.5555555555555556,0.6666666666666666,0.5694444444444445,0.6111111111111112,0.5,0.5555555555555556
tn3,12.0,12.0,11.0,12.0,12.0,12.0
fp3,0.0,0.0,1.0,0.0,0.0,0.0
fn3,8.0,6.0,7.0,7.0,9.0,8.0
tp3,1.0,3.0,2.0,2.0,0.0,1.0
