parameter,value1,value2,value3,value4
boosting_type,dart,dart,dart,gbdt
class_weight,,,,
colsample_bytree,0.528987135942054,0.528987135942054,0.528987135942054,0.9332036588535947
importance_type,split,split,split,split
learning_rate,0.0028055967090060275,0.0028055967090060275,0.0028055967090060275,0.0011847240811834723
max_depth,21,21,21,18
min_child_samples,21,21,21,19
min_child_weight,0.001,0.001,0.001,6
min_split_gain,0.0,0.0,0.0,0.0
n_estimators,3536,4854,4854,4165
n_jobs,-1,-1,-1,-1
num_leaves,12,12,12,5
objective,binary,binary,binary,binary
random_state,,,,
reg_alpha,0.5,0.5,0.5,1.2000000000000002
reg_lambda,0.5,0.5,0.5,0.1
silent,warn,warn,warn,warn
subsample,0.9860608005968848,0.9860608005968848,0.9860608005968848,0.6843335166200109
subsample_for_bin,137513,137513,137513,794788
subsample_freq,0,0,0,0
metric,binary_logloss,binary_logloss,binary_logloss,binary_logloss
verbose,1,1,1,1
boost_from_average,True,True,True,False
force_col_wise,true,true,true,true
max_bin,745,745,745,473
scale_pos_weight,0.6,0.6,0.6,1.3000000000000003
cv,5,5,5,5
scoring,precision,precision,precision,precision
num_col,110,110,110,110
iterations,10,10,15,10
best_score,0.6276190476190477,0.6309523809523809,0.6309523809523809,0.5947619047619048
best_index,4.0,4.0,4.0,0.0
acc_train,0.9617486338797814,0.9617486338797814,0.9617486338797814,0.9398907103825137
acc_val,0.6956521739130435,0.6956521739130435,0.6956521739130435,0.6086956521739131
acc_test,0.7068965517241379,0.7241379310344828,0.7241379310344828,0.7068965517241379
precision,0.7727272727272727,0.8095238095238095,0.8095238095238095,0.6764705882352942
recall,0.5862068965517241,0.5862068965517241,0.5862068965517241,0.7931034482758621
f1score,0.6666666666666667,0.68,0.68,0.7301587301587301
roc,0.7068965517241379,0.7241379310344827,0.7241379310344827,0.706896551724138
tn,24.0,25.0,25.0,18.0
fp,5.0,4.0,4.0,11.0
fn,12.0,12.0,12.0,6.0
tp,17.0,17.0,17.0,23.0
acc_test1,0.5789473684210527,0.5789473684210527,0.5789473684210527,0.631578947368421
precision1,0.75,0.75,0.75,0.6666666666666666
recall1,0.3,0.3,0.3,0.6
f1score1,0.4285714285714285,0.4285714285714285,0.4285714285714285,0.631578947368421
roc1,0.5944444444444444,0.5944444444444444,0.5944444444444444,0.6333333333333334
tn1,8.0,8.0,8.0,6.0
fp1,1.0,1.0,1.0,3.0
fn1,7.0,7.0,7.0,4.0
tp1,3.0,3.0,3.0,6.0
acc_test2,0.7368421052631579,0.7368421052631579,0.7368421052631579,0.7368421052631579
precision2,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6153846153846154
recall2,0.75,0.75,0.75,1.0
f1score2,0.7058823529411765,0.7058823529411765,0.7058823529411765,0.761904761904762
roc2,0.7386363636363636,0.7386363636363636,0.7386363636363636,0.7727272727272727
tn2,8.0,8.0,8.0,6.0
fp2,3.0,3.0,3.0,5.0
fn2,2.0,2.0,2.0,0.0
tp2,6.0,6.0,6.0,8.0
acc_test3,0.8,0.85,0.85,0.75
precision3,0.8888888888888888,1.0,1.0,0.75
recall3,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.8181818181818182
f1score3,0.7999999999999999,0.8421052631578948,0.8421052631578948,0.7826086956521738
roc3,0.8080808080808081,0.8636363636363636,0.8636363636363636,0.7424242424242425
tn3,8.0,9.0,9.0,6.0
fp3,1.0,0.0,0.0,3.0
fn3,3.0,3.0,3.0,2.0
tp3,8.0,8.0,8.0,9.0
