parameter,value1,value2,value3,value4,value5,value6,value7,value8,value9
boosting_type,dart,dart,dart,gbdt,gbdt,dart,gbdt,gbdt,gbdt
class_weight,,,,,,,,,
colsample_bytree,0.528987135942054,0.528987135942054,0.528987135942054,0.9332036588535947,0.9332036588535947,0.528987135942054,0.9332036588535947,0.9332036588535947,0.9332036588535947
importance_type,split,split,split,split,split,split,split,split,split
learning_rate,0.0028055967090060275,0.0028055967090060275,0.0028055967090060275,0.0011847240811834723,0.0011847240811834723,0.0028055967090060275,0.0011847240811834723,0.0011847240811834723,0.0011847240811834723
max_depth,21,21,21,18,18,21,18,18,18
min_child_samples,21,21,21,19,19,21,19,19,19
min_child_weight,0.001,0.001,0.001,6,6,0.001,0.001,0.001,0.001
min_split_gain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n_estimators,3536,4854,4854,4165,4165,4854,6724,8020,6724
n_jobs,-1,-1,-1,-1,-1,-1,-1,-1,-1
num_leaves,12,12,12,5,5,12,12,12,12
objective,binary,binary,binary,binary,binary,binary,binary,binary,binary
random_state,,,,,,,,,
reg_alpha,0.5,0.5,0.5,1.2000000000000002,1.2000000000000002,0.7000000000000001,0.30000000000000004,0.30000000000000004,0.30000000000000004
reg_lambda,0.5,0.5,0.5,0.1,0.1,0.8,1.2000000000000002,1.2000000000000002,1.2000000000000002
silent,warn,warn,warn,warn,warn,warn,warn,warn,warn
subsample,0.9860608005968848,0.9860608005968848,0.9860608005968848,0.6843335166200109,0.6843335166200109,0.9860608005968848,0.6684947525293031,0.6684947525293031,0.6684947525293031
subsample_for_bin,137513,137513,137513,794788,794788,137513,714473,714473,851022
subsample_freq,0,0,0,0,0,0,0,0,0
metric,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss
verbose,1,1,1,1,1,1,1,1,1
boost_from_average,True,True,True,False,False,True,False,False,False
force_col_wise,true,true,true,true,true,true,true,true,true
max_bin,745,745,745,473,473,745,473,473,473
scale_pos_weight,0.6,0.6,0.6,1.3000000000000003,1.3000000000000003,0.6,0.2,0.2,0.2
cv,5,5,5,5,5,5,5,5,5
scoring,precision,precision,precision,precision,precision,precision,precision,precision,precision
num_col,110,110,110,110,110,110,110,110,110
iterations,10,10,15,10,10,10,10,10,10
