parameter,value1,value2
boosting_type,dart,dart
class_weight,,
colsample_bytree,0.528987135942054,0.528987135942054
importance_type,split,split
learning_rate,0.0028055967090060275,0.0028055967090060275
max_depth,21,21
min_child_samples,21,21
min_child_weight,0.001,0.001
min_split_gain,0.0,0.0
n_estimators,3536,4854
n_jobs,-1,-1
num_leaves,12,12
objective,binary,binary
random_state,,
reg_alpha,0.5,0.5
reg_lambda,0.5,0.5
silent,warn,warn
subsample,0.9860608005968848,0.9860608005968848
subsample_for_bin,137513,137513
subsample_freq,0,0
metric,binary_logloss,binary_logloss
verbose,1,1
boost_from_average,True,True
force_col_wise,true,true
max_bin,745,745
scale_pos_weight,0.6,0.6
cv,5,5
scoring,precision,precision
num_col,110,110
iterations,10,10
best_score,0.6276190476190477,0.6309523809523809
best_index,4.0,4.0
acc_train,0.9617486338797814,0.9617486338797814
acc_val,0.6956521739130435,0.6956521739130435
acc_test,0.7068965517241379,0.7241379310344828
precision,0.7727272727272727,0.8095238095238095
recall,0.5862068965517241,0.5862068965517241
f1score,0.6666666666666667,0.68
roc,0.7068965517241379,0.7241379310344827
tn,24.0,25.0
fp,5.0,4.0
fn,12.0,12.0
tp,17.0,17.0
acc_test1,0.5789473684210527,0.5789473684210527
precision1,0.75,0.75
recall1,0.3,0.3
f1score1,0.4285714285714285,0.4285714285714285
roc1,0.5944444444444444,0.5944444444444444
tn1,8.0,8.0
fp1,1.0,1.0
fn1,7.0,7.0
tp1,3.0,3.0
acc_test2,0.7368421052631579,0.7368421052631579
precision2,0.6666666666666666,0.6666666666666666
recall2,0.75,0.75
f1score2,0.7058823529411765,0.7058823529411765
roc2,0.7386363636363636,0.7386363636363636
tn2,8.0,8.0
fp2,3.0,3.0
fn2,2.0,2.0
tp2,6.0,6.0
acc_test3,0.8,0.85
precision3,0.8888888888888888,1.0
recall3,0.7272727272727273,0.7272727272727273
f1score3,0.7999999999999999,0.8421052631578948
roc3,0.8080808080808081,0.8636363636363636
tn3,8.0,9.0
fp3,1.0,0.0
fn3,3.0,3.0
tp3,8.0,8.0
