parameter,value1
boosting_type,gbdt
class_weight,
colsample_bytree,0.6
importance_type,split
learning_rate,0.0025
max_depth,-1
min_child_samples,20
min_child_weight,0.001
min_split_gain,0.0
n_estimators,1400
n_jobs,-1
num_leaves,5
objective,binary
random_state,42
reg_alpha,0.0
reg_lambda,0.0
silent,warn
subsample,0.3
subsample_for_bin,200000
subsample_freq,0
metric,binary_logloss
scale_pos_weight,1.0
cv,
scoring,precision
num_col,110
best_score,0.6474976004387769
best_index,702.0
acc_train,1.0
acc_val,0.5526315789473685
acc_test,0.7446808510638298
precision,0.7727272727272727
recall,0.7083333333333334
f1score,0.7391304347826088
roc,0.7454710144927537
tn,18.0
fp,5.0
fn,7.0
tp,17.0
acc_test1,0.7333333333333333
precision1,1.0
recall1,0.5
f1score1,0.6666666666666666
roc1,0.75
tn1,7.0
fp1,0.0
fn1,4.0
tp1,4.0
acc_test2,0.8
precision2,0.7142857142857143
recall2,0.8333333333333334
f1score2,0.7692307692307692
roc2,0.8055555555555556
tn2,7.0
fp2,2.0
fn2,1.0
tp2,5.0
acc_test3,0.7058823529411765
precision3,0.7272727272727273
recall3,0.8
f1score3,0.761904761904762
roc3,0.6857142857142857
tn3,4.0
fp3,3.0
fn3,2.0
tp3,8.0
