parameter,value1,value2,value3,value4,value5,value6,value7,value8,value9,value10,value11,value12,value13,value14,value15,value16,value17,value18,value19,value20,value21,value22,value23,value24,value25
boosting_type,gbdt,gbdt,gbdt,gbdt,gbdt,gbdt,gbdt,gbdt,gbdt,gbdt,gbdt,gbdt,gbdt,gbdt,gbdt,gbdt,gbdt,gbdt,gbdt,gbdt,gbdt,gbdt,gbdt,gbdt,gbdt
class_weight,,,,,,,,,,,,,,,,,,,,,,,,,
colsample_bytree,0.6,0.6,0.5,0.6,0.6,0.7,0.6,0.8,0.6,0.7,0.8,0.7,0.7,0.8,0.6,0.7,0.8,0.6,0.7,0.8,0.9,0.9,0.7,0.7,0.7
importance_type,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split
learning_rate,0.0025,0.003,0.001,0.003,0.003,0.003,0.0035,0.003,0.003,0.0035,0.0035,0.0025,0.003,0.003,0.0035,0.003,0.003,0.0035,0.0035,0.0035,0.003,0.003,0.0035,0.0035,0.0035
max_depth,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
min_child_samples,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
min_child_weight,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
min_split_gain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n_estimators,1400,1300,1300,1300,1300,1200,1100,1300,1200,1200,1200,1300,1200,1300,1200,1300,1400,1100,1300,1400,1400,1400,1200,1200,1200
n_jobs,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
num_leaves,5,5,4,5,5,4,5,5,5,5,4,4,5,4,4,5,4,5,6,5,4,5,5,5,5
objective,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary
random_state,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42
reg_alpha,0.0,0.0,0.0,0.0,0.0,0.2,0.4,0.4,0.4,1,2,1.5,1.1,1.1,1.2,0.9,0.9,0.0,1,0.5,0.5,0,1.0,1.0,1.0
reg_lambda,0.0,0.0,0.0,0.0,0.0,0.2,0.4,0.4,0.4,1,2,0.0,0.0,1.1,1.2,0.9,0.0,1,1,1.5,1.5,0,1.0,1.1,0.99
silent,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn
