parameter,value1,value2,value3,value4
cv,3,3,3,3
iterations,50,50,50,50
num_col,98,98,98,98
scoring,precision,precision,precision,precision
boost_from_average,False,False,False,True
boosting_type,gbdt,gbdt,gbdt,gbdt
class_weight,,,,
colsample_bytree,0.9332036588535947,0.9332036588535947,0.005,0.1677891427453575
force_col_wise,true,true,true,true
importance_type,split,split,split,split
learning_rate,0.0011847240811834723,0.0011847240811834723,0.00010907363083262608,0.0019162589666810593
max_bin,473,473,310,435
max_depth,18,18,45,23
metric,binary_logloss,binary_logloss,binary_logloss,binary_logloss
min_child_samples,19,19,19,40
min_child_weight,0.001,0.001,10,8
min_split_gain,0.0,0.0,0.0,0.0
n_estimators,6724,6724,1145,6177
n_jobs,-1,-1,-1,-1
num_leaves,12,12,12,13
objective,binary,binary,binary,binary
random_state,42,42,42,42
reg_alpha,0.5,0.5,0.0,1.4000000000000001
reg_lambda,1.8,1.8,1.2000000000000002,2.8000000000000003
scale_pos_weight,0.2,0.2,0.9,0.6
silent,warn,warn,warn,warn
subsample,0.6684947525293031,0.6684947525293031,0.8791518756451386,0.6487712293279236
subsample_for_bin,714473,714473,190899,949309
subsample_freq,0,0,0,0
verbose,1,1,0,0
best_score,0.6666666666666666,0.6666666666666666,0.7269841269841271,0.7007575757575758
best_index,0.0,0.0,18.0,5.0
acc_train,0.8556701030927835,0.8556701030927835,0.6752577319587629,0.8402061855670103
acc_val,0.46938775510204084,0.46938775510204084,0.5714285714285714,0.5714285714285714
acc_test,0.5081967213114754,0.5081967213114754,0.5409836065573771,0.5901639344262295
precision,0.5555555555555556,0.5555555555555556,0.7142857142857143,0.6875
recall,0.16129032258064516,0.16129032258064516,0.16129032258064516,0.3548387096774194
f1score,0.25,0.25,0.2631578947368421,0.4680851063829787
roc,0.513978494623656,0.513978494623656,0.5473118279569893,0.5940860215053764
tn,26.0,26.0,28.0,25.0
fp,4.0,4.0,2.0,5.0
fn,26.0,26.0,26.0,20.0
tp,5.0,5.0,5.0,11.0
acc_test1,0.65,0.65,0.65,0.7
precision1,0.5,0.5,0.5,0.6
recall1,0.2857142857142857,0.2857142857142857,0.14285714285714285,0.42857142857142855
f1score1,0.36363636363636365,0.36363636363636365,0.22222222222222224,0.5
roc1,0.5659340659340659,0.5659340659340659,0.532967032967033,0.6373626373626373
tn1,11.0,11.0,12.0,11.0
fp1,2.0,2.0,1.0,2.0
fn1,5.0,5.0,6.0,4.0
tp1,2.0,2.0,1.0,3.0
acc_test2,0.55,0.55,0.65,0.65
precision2,1.0,1.0,1.0,1.0
recall2,0.1,0.1,0.3,0.3
f1score2,0.18181818181818182,0.18181818181818182,0.4615384615384615,0.4615384615384615
roc2,0.55,0.55,0.65,0.65
tn2,10.0,10.0,10.0,10.0
fp2,0.0,0.0,0.0,0.0
fn2,9.0,9.0,7.0,7.0
tp2,1.0,1.0,3.0,3.0
acc_test3,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.42857142857142855
precision3,0.5,0.5,0.5,0.625
recall3,0.14285714285714285,0.14285714285714285,0.07142857142857142,0.35714285714285715
f1score3,0.22222222222222224,0.22222222222222224,0.125,0.45454545454545453
roc3,0.4285714285714286,0.4285714285714286,0.4642857142857143,0.4642857142857143
tn3,5.0,5.0,6.0,4.0
fp3,2.0,2.0,1.0,3.0
fn3,12.0,12.0,13.0,9.0
tp3,2.0,2.0,1.0,5.0
