parameter,iter_1,iter_2,iter_3,iter_4,iter_5,iter_6
cv,5,5,5,5,5,5
iterations,50,50,50,10,50,50
num_col,98,98,98,98,98,98
scoring,precision,precision,precision,precision,precision,accuracy
boost_from_average,True,False,True,True,True,True
boosting_type,dart,dart,gbdt,gbdt,dart,gbdt
class_weight,,,,,,
colsample_bytree,0.9253942246824043,1.0,0.7482333517983584,0.7482333517983584,0.5315394576443349,0.969108308478023
force_col_wise,true,true,true,true,true,true
importance_type,split,split,split,split,split,split
learning_rate,0.001535222825888796,0.00249600634819619,0.00012075930993151261,0.00012075930993151261,0.0001,0.0013536038264652945
max_bin,437,852,614,614,102,202
max_depth,0,50,1,1,38,3
metric,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss
min_child_samples,13,12,34,34,18,5
min_child_weight,0.001,0.7833216930334431,1.8378689476542982,1.8378689476542982,0.001,0.001
min_split_gain,0.0,0.0,0.0,0.0,0.0,0.0
n_estimators,2268,3617,3163,3163,4623,3290
n_jobs,-1,-1,-1,-1,-1,-1
num_leaves,11,13,15,15,10,18
objective,binary,binary,binary,binary,binary,binary
random_state,42,42,42,42,42,42
reg_alpha,1.0920376621139352,2.272795565098272,1.0979659592071613,1.0979659592071613,0.11407594569898939,0.0
reg_lambda,3.038883754534597,0.0,2.230181357072983,2.230181357072983,1.0924169773014583,0.486017401098409
scale_pos_weight,0.30275123674742016,0.7466851057869384,1.7282621752122682,1.7282621752122682,0.6130330498770726,0.2
silent,warn,warn,warn,warn,warn,warn
subsample,0.34411809527990306,0.7177256602049741,0.042829920284984946,0.042829920284984946,0.21158153938767163,0.537369310412484
subsample_for_bin,469018,374063,290449,290449,285429,500000
subsample_freq,0,0,0,0,0,0
verbose,0,0,0,0,0,0
best_score,0.6333333333333333,0.5965409753645048,0.5674242424242424,0.5674242424242424,0.6673076923076924,0.6070135746606335
best_index,32.0,48.0,7.0,7.0,45.0,42.0
acc_train,0.6342412451361867,0.980544747081712,0.5680933852140078,0.5680933852140078,0.7237354085603113,0.7665369649805448
acc_val,0.631578947368421,0.47368421052631576,0.631578947368421,0.631578947368421,0.5789473684210527,0.5789473684210527
acc_test,0.5555555555555556,0.4444444444444444,0.5555555555555556,0.5555555555555556,0.5,0.5
train_precision,1.0,1.0,0.0,0.0,0.9761904761904762,1.0
train_tn,146.0,146.0,146.0,146.0,145.0,146.0
train_fp,0.0,0.0,0.0,0.0,1.0,0.0
train_fn,94.0,5.0,111.0,111.0,70.0,60.0
train_tp,17.0,106.0,0.0,0.0,41.0,51.0
val_precision,0.0,0.0,0.0,0.0,0.0,0.0
val_tn,12.0,9.0,12.0,12.0,11.0,11.0
val_fp,0.0,3.0,0.0,0.0,1.0,1.0
val_fn,7.0,7.0,7.0,7.0,7.0,7.0
val_tp,0.0,0.0,0.0,0.0,0.0,0.0
test_precision,0.0,0.0,0.0,0.0,0.0,0.0
recall,0.0,0.0,0.0,0.0,0.0,0.0
f1score,0.0,0.0,0.0,0.0,0.0,0.0
roc,0.5,0.4,0.5,0.5,0.45,0.45
test_tn,10.0,8.0,10.0,10.0,9.0,9.0
test_fp,0.0,2.0,0.0,0.0,1.0,1.0
test_fn,8.0,8.0,8.0,8.0,8.0,8.0
test_tp,0.0,0.0,0.0,0.0,0.0,0.0
