,date,spsy,open,high,low,volume,spsy_cr
0,2021-12-27,652.7000122070312,646.5,652.7999877929688,645.4400024414062,144888000,nan%
1,2021-12-28,653.010009765625,652.7000122070312,657.3800048828125,651.7999877929688,149877600,0.05%
2,2021-12-29,652.5800170898438,653.010009765625,656.0700073242188,651.969970703125,139152700,-0.07%
3,2021-12-30,650.8900146484375,652.5800170898438,657.6699829101562,650.5,124875900,-0.26%
4,2021-12-31,650.0399780273438,650.9000244140625,652.9600219726562,648.9199829101562,131108500,-0.13%
5,2022-01-03,658.1300048828125,650.0399780273438,660.4600219726562,650.0399780273438,286999200,1.24%
6,2022-01-04,675.260009765625,658.0999755859375,677.4099731445312,658.0999755859375,348971900,2.60%
7,2022-01-05,666.8300170898438,675.260009765625,679.9500122070312,658.0999755859375,301425900,-1.25%
8,2022-01-06,677.1400146484375,666.8300170898438,677.3699951171875,666.8300170898438,299735200,1.55%
9,2022-01-07,684.9099731445312,677.1400146484375,686.4400024414062,676.1799926757812,311176500,1.15%
10,2022-01-10,682.8599853515625,684.9099731445312,689.52001953125,675.5900268554688,333077200,-0.30%
11,2022-01-11,688.5700073242188,682.8599853515625,688.8200073242188,678.8400268554688,258090100,0.84%
12,2022-01-12,688.8499755859375,688.5700073242188,692.8099975585938,685.8900146484375,279635400,0.04%
13,2022-01-13,686.030029296875,688.8499755859375,693.52001953125,684.0900268554688,278228700,-0.41%
14,2022-01-14,679.1199951171875,686.030029296875,686.030029296875,670.9199829101562,404712400,-1.01%
15,2022-01-18,663.530029296875,679.1199951171875,679.1199951171875,660.0399780273438,384564600,-2.30%
16,2022-01-19,652.5599975585938,663.530029296875,668.6900024414062,652.3400268554688,389015700,-1.65%
17,2022-01-20,648.47998046875,652.5599975585938,663.0800170898438,647.5399780273438,335116900,-0.63%
18,2022-01-21,635.3900146484375,648.47998046875,648.47998046875,632.8800048828125,420795000,-2.02%
19,2022-01-24,636.9099731445312,635.3900146484375,638.3200073242188,612.6500244140625,492520600,0.24%
20,2022-01-25,639.8900146484375,636.9099731445312,644.4400024414062,619.9500122070312,406129800,0.47%
21,2022-01-26,641.5900268554688,639.8900146484375,651.9500122070312,634.1699829101562,393147900,0.27%
22,2022-01-27,635.6799926757812,641.5900268554688,654.1300048828125,631.77001953125,351472000,-0.92%
23,2022-01-28,643.77001953125,635.6799926757812,643.8900146484375,625.2100219726562,325473800,1.27%
24,2022-01-31,649.52001953125,643.77001953125,649.8800048828125,635.8900146484375,350594400,0.89%
25,2022-02-01,658.8400268554688,649.52001953125,659.8699951171875,647.6900024414062,303970800,1.43%
26,2022-02-02,663.1799926757812,658.8400268554688,663.97998046875,654.1300048828125,268810400,0.66%
27,2022-02-03,655.530029296875,663.1799926757812,664.8699951171875,654.4600219726562,253257900,-1.15%
28,2022-02-04,666.3800048828125,655.530029296875,672.010009765625,654.4600219726562,304914300,1.66%
29,2022-02-07,668.5800170898438,666.3800048828125,672.6799926757812,663.77001953125,265853900,0.33%
30,2022-02-08,677.8300170898438,668.5800170898438,679.260009765625,668.5800170898438,312663900,1.38%
31,2022-02-09,681.8400268554688,677.8300170898438,686.3300170898438,677.8300170898438,233158200,0.59%
