,date,ixis,open,high,low,volume,ixis_cr
0,2021-12-27,11434.6904296875,11309.6201171875,11437.7197265625,11271.4296875,24400,nan%
1,2021-12-28,11435.16015625,11440.0,11481.7099609375,11425.9404296875,0,0.00%
2,2021-12-29,11437.150390625,11433.669921875,11453.75,11400.099609375,21500,0.02%
3,2021-12-30,11383.0,11440.3095703125,11491.1396484375,11379.1298828125,44900,-0.47%
4,2021-12-31,11416.400390625,11376.490234375,11464.6396484375,11371.26953125,18200,0.29%
5,2022-01-03,11420.66015625,11449.6904296875,11532.3603515625,11364.83984375,40700,0.04%
6,2022-01-04,11533.3701171875,11495.25,11574.2802734375,11495.25,70400,0.99%
7,2022-01-05,11350.490234375,11549.919921875,11561.91015625,11346.990234375,52200,-1.59%
8,2022-01-06,11420.7197265625,11426.830078125,11473.5595703125,11372.4501953125,29700,0.62%
9,2022-01-07,11463.009765625,11438.4501953125,11490.259765625,11403.2900390625,26500,0.37%
10,2022-01-10,11472.9404296875,11458.4599609375,11479.259765625,11335.73046875,36100,0.09%
11,2022-01-11,11540.7900390625,11497.9404296875,11548.2802734375,11394.0,23700,0.59%
12,2022-01-12,11481.1904296875,11574.7001953125,11606.740234375,11438.5400390625,21000,-0.52%
13,2022-01-13,11466.2802734375,11517.6298828125,11588.2099609375,11445.990234375,17000,-0.13%
14,2022-01-14,11437.8095703125,11380.41015625,11443.5,11297.6796875,29300,-0.25%
15,2022-01-18,11224.5595703125,11404.0,11404.73046875,11202.6201171875,28900,-1.86%
16,2022-01-19,11086.5595703125,11259.2900390625,11268.7998046875,11084.169921875,21100,-1.23%
17,2022-01-20,11063.080078125,11121.1201171875,11296.5498046875,11047.5,20000,-0.21%
18,2022-01-21,10922.5498046875,11008.509765625,11132.2900390625,10909.1201171875,29900,-1.27%
19,2022-01-24,11102.26953125,10801.0,11122.9599609375,10665.4296875,29100,1.65%
20,2022-01-25,10995.8798828125,10958.1103515625,11108.990234375,10750.8203125,26600,-0.96%
21,2022-01-26,10956.349609375,11079.26953125,11212.009765625,10858.0498046875,24500,-0.36%
22,2022-01-27,10814.5302734375,11067.400390625,11153.0302734375,10752.6201171875,22700,-1.29%
23,2022-01-28,11035.2998046875,10803.2001953125,11036.349609375,10709.5498046875,27500,2.04%
24,2022-01-31,11247.009765625,10961.900390625,11251.150390625,10960.4697265625,24400,1.92%
25,2022-02-01,11353.9697265625,11233.509765625,11363.009765625,11155.650390625,22500,0.95%
26,2022-02-02,11402.0302734375,11331.3095703125,11410.8896484375,11302.3203125,27700,0.42%
27,2022-02-03,11262.650390625,11359.23046875,11428.8603515625,11246.240234375,17900,-1.22%
28,2022-02-04,11382.1103515625,11240.83984375,11471.23046875,11234.419921875,18600,1.06%
29,2022-02-07,11379.4697265625,11402.5,11481.580078125,11364.2998046875,21300,-0.02%
30,2022-02-08,11440.8603515625,11327.5595703125,11453.2197265625,11220.669921875,30100,0.54%
31,2022-02-09,11484.25,11474.0703125,11552.919921875,11452.080078125,21200,0.38%
32,2022-02-10,11395.3095703125,11407.2001953125,11591.1298828125,11341.98046875,29300,-0.77%
33,2022-02-11,11189.5400390625,11397.33984375,11425.6396484375,11156.9404296875,22400,-1.81%
34,2022-02-14,11067.6201171875,11197.599609375,11230.9296875,10983.51953125,21200,-1.09%
35,2022-02-15,11293.490234375,11177.9697265625,11320.2001953125,11174.0302734375,19200,2.04%
36,2022-02-16,11409.76953125,11284.7197265625,11426.8701171875,11283.2197265625,18100,1.03%
37,2022-02-17,11142.6201171875,11278.76953125,11296.75,11123.5400390625,18700,-2.34%
38,2022-02-18,11175.1396484375,11115.8701171875,11238.98046875,11115.76953125,19800,0.29%
39,2022-02-22,11056.2900390625,11134.7197265625,11173.4296875,10991.8603515625,19300,-1.06%
40,2022-02-23,10837.4296875,11107.8798828125,11135.6103515625,10837.4296875,19600,-1.98%
41,2022-02-24,10874.400390625,10562.7998046875,10900.419921875,10534.8203125,27000,0.34%
42,2022-02-25,11204.76953125,10906.7998046875,11207.0302734375,10906.7998046875,25000,3.04%
43,2022-02-28,11101.0595703125,10995.509765625,11173.580078125,10995.509765625,23500,-0.93%
44,2022-03-01,10787.91015625,11032.8603515625,11052.7802734375,10744.4296875,26800,-2.82%
45,2022-03-02,11009.7998046875,10872.51953125,11053.1201171875,10872.51953125,36100,2.06%
46,2022-03-03,10964.0498046875,11065.400390625,11092.2900390625,10903.4501953125,23600,-0.42%
47,2022-03-04,10793.83984375,10819.849609375,10850.1904296875,10726.8798828125,20300,-1.55%
48,2022-03-07,10521.900390625,10711.900390625,10715.7900390625,10521.900390625,22200,-2.52%
49,2022-03-08,10516.7099609375,10577.599609375,10730.3701171875,10422.740234375,22400,-0.05%
50,2022-03-09,10781.6103515625,10727.5595703125,10874.759765625,10727.5595703125,20700,2.52%
51,2022-03-10,10729.7099609375,10625.3798828125,10747.1103515625,10612.6201171875,20000,-0.48%
52,2022-03-11,10649.9697265625,10814.1298828125,10866.169921875,10645.349609375,17100,-0.74%
