,date,cpi,cpi_anticipated,cpi_previous
0,2019-08-13,1.8%,1.7%,1.6%
1,2019-09-12,1.7%,1.8%,1.8%
2,2019-10-10,1.7%,1.8%,1.7%
3,2019-11-13,1.8%,1.7%,1.7%
4,2019-12-11,2.1%,2.0%,1.8%
5,2020-01-14,2.3%,2.3%,2.1%
6,2020-02-13,2.5%,2.4%,2.3%
7,2020-03-11,2.3%,2.2%,2.5%
8,2020-04-10,1.5%,1.6%,2.3%
9,2020-05-12,0.3%,0.4%,1.5%
10,2020-06-10,0.1%,0.2%,0.3%
11,2020-07-14,0.6%,0.6%,0.1%
12,2020-08-12,1.0%,0.8%,0.6%
13,2020-09-11,1.3%,1.2%,1.0%
14,2020-10-13,1.4%,1.4%,1.3%
15,2020-11-12,1.2%,1.3%,1.4%
16,2020-12-10,1.2%,1.1%,1.2%
17,2021-01-13,1.4%,1.3%,1.2%
18,2021-02-10,1.4%,1.5%,1.3%
19,2021-03-10,1.7%,1.7%,1.4%
20,2021-04-13,2.6%,2.5%,1.7%
21,2021-05-12,4.2%,3.6%,2.6%
22,2021-06-10,5.0%,4.7%,4.2%
23,2021-07-13,5.4%,4.9%,5.0%
24,2021-08-11,5.4%,5.3%,5.4%
25,2021-09-14,5.3%,5.3%,5.4%
26,2021-10-13,5.4%,5.3%,5.3%
27,2021-11-10,6.2%,5.8%,5.4%
28,2021-12-10,6.8%,6.8%,6.2%
29,2022-01-12,7.0%,7.0%,6.8%
30,2022-02-10,7.5%,7.3%,7.0%
31,2022-03-10,7.9%,7.9%,7.5%
32,2022-04-12,8.5%,8.4%,7.9%
33,2022-05-11,8.3%,8.1%,8.5%
34,2022-06-10,8.6%,8.3%,8.3%
35,2022-07-13,9.1%,8.8%,8.6%
36,2022-08-10,8.5%,8.7%,9.1%
37,2022-09-13,8.3%,8.1%,8.5%
38,2022-10-13,8.2%,8.1%,8.2%
39,2022-11-10,7.7%,8.0%,8.2%
40,2022-12-13,7.1%,7.3%,7.8%
41,2023-01-12,6.5%,6.5%,7.1%
42,2023-02-14,6.4%,6.2%,6.5%
43,2023-03-14,6.0%,6.0%,6.4%
44,2023-04-12,5.0%,5.2%,6.0%
45,2023-05-10,4.9%,5.0%,5.0%
46,2023-06-13,4.0%,4.1%,4.9%
47,2023-07-12,3.0%,3.1%,4.0%
48,2023-08-10,3.2%,3.3%,3.0%
49,2023-09-13,3.7%,3.6%,3.2%
50,2023-10-12,3.7%,3.6%,3.7%
51,2023-11-14,,3.3%,3.7%
