,date,splrci,open,high,low,volume,splrci_cr
0,2021-12-27,888.530029296875,880.3900146484375,888.8499755859375,879.5900268554688,125784700,nan%
1,2021-12-28,893.0700073242188,888.0599975585938,895.1900024414062,887.5,124644800,0.51%
2,2021-12-29,894.530029296875,892.3800048828125,896.2999877929688,890.8099975585938,116926900,0.16%
3,2021-12-30,891.030029296875,894.97998046875,899.219970703125,890.5599975585938,117410700,-0.39%
4,2021-12-31,894.9600219726562,889.780029296875,898.5,889.0,111647400,0.44%
5,2022-01-03,887.5900268554688,896.0999755859375,898.2999877929688,883.25,192847600,-0.82%
6,2022-01-04,905.6300048828125,893.2899780273438,907.1500244140625,893.1500244140625,195210500,2.03%
7,2022-01-05,896.9500122070312,906.6599731445312,912.4199829101562,893.1500244140625,206105700,-0.96%
8,2022-01-06,901.010009765625,900.3099975585938,904.219970703125,896.7100219726562,149979800,0.45%
9,2022-01-07,900.75,901.7999877929688,906.739990234375,900.6400146484375,201962000,-0.03%
10,2022-01-10,890.3900146484375,898.6799926757812,898.7999877929688,883.8099975585938,199231700,-1.15%
11,2022-01-11,896.030029296875,891.97998046875,897.0499877929688,882.3599853515625,164275800,0.63%
12,2022-01-12,898.6799926757812,899.2999877929688,903.4199829101562,896.280029296875,176667500,0.30%
13,2022-01-13,900.3300170898438,900.8499755859375,908.5599975585938,897.7899780273438,219260800,0.18%
14,2022-01-14,895.1799926757812,894.27001953125,895.97998046875,886.510009765625,207398600,-0.57%
15,2022-01-18,884.5399780273438,889.469970703125,889.469970703125,880.1199951171875,228143300,-1.19%
16,2022-01-19,874.7999877929688,885.8099975585938,888.1400146484375,874.4299926757812,200231400,-1.10%
17,2022-01-20,863.969970703125,875.9500122070312,885.6599731445312,862.760009765625,224398700,-1.24%
18,2022-01-21,855.6300048828125,863.8400268554688,870.3200073242188,852.9199829101562,285480700,-0.97%
19,2022-01-24,860.2000122070312,847.5399780273438,861.9500122070312,829.5800170898438,315138800,0.53%
20,2022-01-25,852.1699829101562,850.02001953125,859.3599853515625,832.2100219726562,260921200,-0.93%
21,2022-01-26,845.1400146484375,856.239990234375,866.5800170898438,836.6300048828125,267864500,-0.82%
22,2022-01-27,837.3099975585938,847.0399780273438,858.530029296875,832.2100219726562,236242100,-0.93%
23,2022-01-28,843.0399780273438,835.8499755859375,843.0399780273438,820.239990234375,257382000,0.68%
24,2022-01-31,852.3400268554688,839.1199951171875,852.6799926757812,836.1799926757812,244477500,1.10%
25,2022-02-01,864.4299926757812,858.739990234375,866.3400268554688,852.280029296875,225387400,1.42%
26,2022-02-02,870.2100219726562,863.8499755859375,871.4099731445312,859.1599731445312,220245600,0.67%
27,2022-02-03,855.6500244140625,866.0599975585938,867.5999755859375,854.6300048828125,212796800,-1.67%
28,2022-02-04,846.52001953125,852.9400024414062,867.5999755859375,839.760009765625,219727100,-1.07%
29,2022-02-07,847.1099853515625,848.4400024414062,853.6199951171875,844.4000244140625,227474300,0.07%
30,2022-02-08,855.6199951171875,849.4400024414062,857.22998046875,846.4299926757812,216177800,1.00%
31,2022-02-09,867.3200073242188,862.77001953125,868.4400024414062,862.77001953125,214454400,1.37%
32,2022-02-10,852.969970703125,860.260009765625,868.6599731445312,848.75,213549000,-1.65%
