parameter,iter_1
boost_from_average,"[True, False]"
boost_from_average,False
boosting_type,"['gbdt', 'dart']"
boosting_type,dart
class_weight,
colsample_bytree,"(0.5, 1.0, 'uniform')"
colsample_bytree,0.9855694830788471
cv,3
cv,3
force_col_wise,['true']
force_col_wise,true
importance_type,split
importance_type,['split']
iterations,50
iterations,50
learning_rate,"(0.0001, 0.004, 'log-uniform')"
learning_rate,0.0009862238905158332
max_bin,444
max_bin,"(100, 1000)"
max_depth,8
max_depth,"(0, 50)"
metric,['binary_logloss']
metric,binary_logloss
min_child_samples,23
min_child_samples,"(5, 40)"
min_child_weight,0.001
min_split_gain,0.0
n_estimators,"(700, 5000)"
n_estimators,4214
n_jobs,-1
num_col,98
num_col,98
num_leaves,"(3, 20)"
num_leaves,6
objective,['binary']
objective,binary
random_state,42
reg_alpha,"(0.0, 4.0, 'uniform')"
reg_alpha,0.07315514341321713
reg_lambda,"(0.0, 4.0, 'uniform')"
reg_lambda,0.5800024457912172
scale_pos_weight,"(0.2, 2.0, 'uniform')"
scale_pos_weight,0.2
scoring,precision
scoring,precision
silent,warn
subsample,"(0.005, 1.0, 'uniform')"
subsample,0.9521118433810458
subsample_for_bin,"(100000, 500000)"
subsample_for_bin,247645
subsample_freq,0
verbose,0
best_score,0.8888888888888888
best_index,20.0
acc_train,0.65
acc_val,0.52
acc_test,0.5555555555555556
precision,0.5
recall,0.17857142857142858
f1score,0.2631578947368421
roc,0.5178571428571429
tn,30.0
fp,5.0
fn,23.0
tp,5.0
acc_test1,0.6190476190476191
precision1,0.0
recall1,0.0
f1score1,0.0
roc1,0.4642857142857143
tn1,13.0
fp1,1.0
fn1,7.0
tp1,0.0
acc_test2,0.6190476190476191
precision2,0.5714285714285714
recall2,0.4444444444444444
f1score2,0.5
roc2,0.5972222222222222
tn2,9.0
fp2,3.0
fn2,5.0
tp2,4.0
acc_test3,0.42857142857142855
precision3,0.5
recall3,0.08333333333333333
f1score3,0.14285714285714285
roc3,0.48611111111111105
tn3,8.0
fp3,1.0
fn3,11.0
tp3,1.0
