parameter,iter_1,iter_2,iter_3,iter_4,iter_5,iter_6,iter_7,iter_8,iter_9
boost_from_average,"[True, False]","[True, False]","[True, False]","[True, False]","[True, False]","[True, False]","[True, False]","[True, False]","[True, False]"
boost_from_average,False,True,True,True,False,True,False,False,False
boosting_type,"['gbdt', 'dart']","['gbdt', 'dart']","['gbdt', 'dart']","['gbdt', 'dart']","['gbdt', 'dart']","['gbdt', 'dart']","['gbdt', 'dart']","['gbdt', 'dart']","['gbdt', 'dart']"
boosting_type,dart,gbdt,gbdt,gbdt,dart,gbdt,dart,gbdt,dart
class_weight,,,,,,,,,
colsample_bytree,"(0.5, 1.0, 'uniform')","(0.5, 1.0, 'uniform')","(0.5, 1.0, 'uniform')","(0.5, 1.0, 'uniform')","(0.5, 1.0, 'uniform')","(0.5, 1.0, 'uniform')","(0.5, 1.0, 'uniform')","(0.5, 1.0, 'uniform')","(0.5, 1.0, 'uniform')"
colsample_bytree,0.9855694830788471,0.8909378283654535,1.0,1.0,0.5,0.8387640393976279,0.8771507391681934,0.9828362252539287,1.0
cv,3,3,3,3,3,3,3,3,3
cv,3,3,3,3,3,3,3,3,3
force_col_wise,['true'],['true'],['true'],['true'],['true'],['true'],['true'],['true'],['true']
force_col_wise,true,true,true,true,true,true,true,true,true
importance_type,['split'],['split'],['split'],['split'],['split'],['split'],['split'],['split'],['split']
importance_type,split,split,split,split,split,split,split,split,split
iterations,50,50,50,50,50,50,50,50,50
iterations,50,50,50,50,50,50,50,50,50
learning_rate,0.0009862238905158332,0.0004761936950681064,0.0001,0.0001,0.0001,0.0004330415097365218,0.0018739392832362205,0.0001,0.0001
learning_rate,"(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')"
max_bin,444,606,100,100,152,100,222,229,818
max_bin,"(100, 1000)","(100, 1000)","(100, 1000)","(100, 1000)","(100, 1000)","(100, 1000)","(100, 1000)","(100, 1000)","(100, 1000)"
max_depth,8,23,8,0,50,30,27,0,0
max_depth,"(0, 50)","(0, 50)","(0, 50)","(0, 50)","(0, 50)","(0, 50)","(0, 50)","(0, 50)","(0, 50)"
metric,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss
metric,['binary_logloss'],['binary_logloss'],['binary_logloss'],['binary_logloss'],['binary_logloss'],['binary_logloss'],['binary_logloss'],['binary_logloss'],['binary_logloss']
min_child_samples,"(5, 40)","(5, 40)","(5, 40)","(5, 40)","(5, 40)","(5, 40)","(5, 40)","(5, 40)","(5, 40)"
min_child_samples,23,38,35,5,17,40,32,40,33
min_child_weight,,,,,,,"(0.001, 10.0)","(0.001, 10.0)","(0.001, 10.0)"
min_child_weight,0.001,0.001,0.001,0.001,0.001,0.001,5.783065530072681,0.001,0.001
min_split_gain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n_estimators,"(700, 5000)","(700, 5000)","(700, 7000)","(700, 7000)","(700, 7000)","(700, 10000)","(700, 10000)","(700, 10000)","(700, 10000)"
n_estimators,4214,4326,5464,7000,3434,2807,7839,700,700
n_jobs,-1,-1,-1,-1,-1,-1,-1,-1,-1
num_col,98,98,98,98,98,98,98,98,98
num_col,98,98,98,98,98,98,98,98,98
num_leaves,6,15,20,3,5,19,10,17,19
num_leaves,"(3, 20)","(3, 20)","(3, 20)","(3, 20)","(3, 20)","(3, 20)","(3, 20)","(3, 20)","(3, 20)"
objective,['binary'],['binary'],['binary'],['binary'],['binary'],['binary'],['binary'],['binary'],['binary']
objective,binary,binary,binary,binary,binary,binary,binary,binary,binary
random_state,42,42,42,42,42,42,42,42,42
reg_alpha,0.07315514341321713,1.7497308583499855,0.0,5.0,0.0,0.0,0.0,2.5299589771252093,0.0
reg_alpha,"(0.0, 4.0, 'uniform')","(0.0, 2.0, 'uniform')","(0.0, 2.0, 'uniform')","(0.0, 5.0, 'uniform')",,,,"(0.0, 4.0, 'uniform')","(0.0, 2.0, 'uniform')"
reg_lambda,"(0.0, 4.0, 'uniform')","(0.0, 2.0, 'uniform')","(0.0, 2.0, 'uniform')","(0.0, 5.0, 'uniform')",,,,"(0.0, 4.0, 'uniform')","(0.0, 2.0, 'uniform')"
reg_lambda,0.5800024457912172,0.056521786828788764,1.080678463610212,0.0,0.0,0.0,0.0,0.0,1.145441614087706
scale_pos_weight,"(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')"
scale_pos_weight,0.2,0.4473847351326784,0.43010590152932554,0.2,0.378662786345878,0.47262992507897483,0.29613743346101323,0.7316471309427628,0.7748400603998145
scoring,precision,precision,precision,precision,precision,precision,precision,precision,precision
scoring,precision,precision,precision,precision,precision,precision,precision,precision,precision
silent,warn,warn,warn,warn,warn,warn,warn,warn,warn
subsample,0.9521118433810458,0.005,1.0,1.0,1.0,0.49882581077676147,0.15722256289340544,1.0,0.005
subsample,"(0.005, 1.0, 'uniform')","(0.005, 1.0, 'uniform')","(0.005, 1.0, 'uniform')","(0.005, 1.0, 'uniform')","(0.005, 1.0, 'uniform')","(0.005, 1.0, 'uniform')","(0.005, 1.0, 'uniform')","(0.005, 1.0, 'uniform')","(0.005, 1.0, 'uniform')"
subsample_for_bin,247645,100000,421278,500000,50000,409074,207268,50000,50000
subsample_for_bin,"(100000, 500000)","(100000, 500000)","(50000, 500000)","(50000, 500000)","(50000, 500000)","(50000, 500000)","(50000, 500000)","(50000, 500000)","(50000, 500000)"
subsample_freq,0,0,0,0,0,0,0,0,0
verbose,0,0,0,0,0,0,0,0,0
best_score,0.8888888888888888,0.6985347985347984,0.724074074074074,0.7777777777777777,0.7243589743589745,0.7027116402116401,0.9333333333333332,0.6565354299908076,0.6608870967741934
best_index,20.0,39.0,20.0,11.0,43.0,45.0,34.0,35.0,16.0
acc_train,0.65,0.72,0.685,0.55,0.71,0.73,0.715,0.675,0.675
acc_val,0.52,0.42,0.46,0.52,0.46,0.44,0.44,0.38,0.38
acc_test,0.5555555555555556,0.5714285714285714,0.5555555555555556,0.5396825396825397,0.5555555555555556,0.5873015873015873,0.5873015873015873,0.49206349206349204,0.49206349206349204
precision,0.5,0.5333333333333333,0.5,0.4,0.5,0.5714285714285714,0.5833333333333334,0.4090909090909091,0.4090909090909091
recall,0.17857142857142858,0.2857142857142857,0.25,0.07142857142857142,0.14285714285714285,0.2857142857142857,0.25,0.32142857142857145,0.32142857142857145
f1score,0.2631578947368421,0.37209302325581395,0.3333333333333333,0.12121212121212122,0.22222222222222224,0.38095238095238093,0.35000000000000003,0.36000000000000004,0.36000000000000004
roc,0.5178571428571429,0.5428571428571428,0.525,0.4928571428571428,0.5142857142857142,0.557142857142857,0.5535714285714287,0.475,0.475
tn,30.0,28.0,28.0,32.0,31.0,29.0,30.0,22.0,22.0
fp,5.0,7.0,7.0,3.0,4.0,6.0,5.0,13.0,13.0
fn,23.0,20.0,21.0,26.0,24.0,20.0,21.0,19.0,19.0
tp,5.0,8.0,7.0,2.0,4.0,8.0,7.0,9.0,9.0
acc_test1,0.6190476190476191,0.5714285714285714,0.5714285714285714,0.7142857142857143,0.5714285714285714,0.5714285714285714,0.6190476190476191,0.47619047619047616,0.47619047619047616
precision1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666
recall1,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285
f1score1,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.15384615384615383,0.15384615384615383
