parameter,iter_1,iter_2,iter_3,iter_4
cv,3,3,3,3
iterations,50,50,50,50
num_col,98,98,98,98
scoring,precision,precision,precision,precision
boost_from_average,True,True,True,True
boosting_type,gbdt,gbdt,gbdt,dart
class_weight,,,,
colsample_bytree,0.535804058669302,0.5371593362003149,0.6064495985231267,0.799023538756064
force_col_wise,true,true,true,true
importance_type,split,split,split,split
learning_rate,0.0003806873119103494,0.00040475468953142345,0.00029853738314979296,0.00014220821962091613
max_bin,475,185,572,780
max_depth,20,46,26,44
metric,binary_logloss,binary_logloss,binary_logloss,binary_logloss
min_child_samples,25,20,23,19
min_child_weight,0.001,0.001,0.001,3.4166158252842624
min_split_gain,0.0,0.0,0.0,0.0
n_estimators,3049,4470,3566,4301
n_jobs,-1,-1,-1,-1
num_leaves,18,17,15,13
objective,binary,binary,binary,binary
random_state,42,42,42,42
reg_alpha,1.638382864216166,1.1775168099544526,1.3746589124682664,3.858802362848003
reg_lambda,3.6799157481218834,4.752002170444645,4.793254912695111,1.7844651545003276
scale_pos_weight,0.6598321086404656,0.5625194333643349,0.670788512919103,0.765357711438728
silent,warn,warn,warn,warn
subsample,0.08026908992499214,0.7361980017312812,0.5819222969657534,0.06314545840194703
subsample_for_bin,498838,241072,430461,390404
subsample_freq,0,0,0,0
verbose,0,0,0,0
best_score,0.7486772486772487,0.7515151515151515,0.7444444444444445,0.6094866796621182
best_index,46.0,49.0,23.0,3.0
acc_train,0.6945812807881774,0.6896551724137931,0.6798029556650246,0.6896551724137931
acc_val,0.47058823529411764,0.45098039215686275,0.47058823529411764,0.49019607843137253
acc_test,0.59375,0.515625,0.59375,0.671875
train_precision,1.0,1.0,1.0,0.8809523809523809
train_tn,108.0,108.0,108.0,103.0
train_fp,0.0,0.0,0.0,5.0
train_fn,62.0,63.0,65.0,58.0
train_tp,33.0,32.0,30.0,37.0
val_precision,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.42857142857142855
val_tn,21.0,22.0,21.0,19.0
val_fp,6.0,5.0,6.0,8.0
val_fn,21.0,23.0,21.0,18.0
val_tp,3.0,1.0,3.0,6.0
test_precision,0.8888888888888888,0.75,0.8888888888888888,0.875
recall,0.24242424242424243,0.09090909090909091,0.24242424242424243,0.42424242424242425
f1score,0.38095238095238093,0.16216216216216214,0.38095238095238093,0.5714285714285714
roc,0.6050830889540567,0.5293255131964809,0.6050830889540567,0.6798631476050832
test_tn,30.0,30.0,30.0,29.0
test_fp,1.0,1.0,1.0,2.0
test_fn,25.0,30.0,25.0,19.0
test_tp,8.0,3.0,8.0,14.0
acc_test1,0.38095238095238093,0.3333333333333333,0.38095238095238093,0.5714285714285714
precision1,1.0,0.0,1.0,1.0
recall1,0.07142857142857142,0.0,0.07142857142857142,0.35714285714285715
f1score1,0.13333333333333333,0.0,0.13333333333333333,0.5263157894736842
roc1,0.5357142857142857,0.5,0.5357142857142857,0.6785714285714286
tn1,7.0,7.0,7.0,7.0
fp1,0.0,0.0,0.0,0.0
fn1,13.0,14.0,13.0,9.0
tp1,1.0,0.0,1.0,5.0
acc_test2,0.8095238095238095,0.6666666666666666,0.8095238095238095,0.7619047619047619
precision2,0.8333333333333334,0.6666666666666666,0.8333333333333334,0.7142857142857143
recall2,0.625,0.25,0.625,0.625
f1score2,0.7142857142857143,0.36363636363636365,0.7142857142857143,0.6666666666666666
roc2,0.7740384615384616,0.5865384615384616,0.7740384615384616,0.7355769230769231
tn2,12.0,12.0,12.0,11.0
fp2,1.0,1.0,1.0,2.0
fn2,3.0,6.0,3.0,3.0
tp2,5.0,2.0,5.0,5.0
acc_test3,0.5909090909090909,0.5454545454545454,0.5909090909090909,0.6818181818181818
precision3,1.0,1.0,1.0,1.0
recall3,0.18181818181818182,0.09090909090909091,0.18181818181818182,0.36363636363636365
f1score3,0.3076923076923077,0.16666666666666669,0.3076923076923077,0.5333333333333333
roc3,0.5909090909090909,0.5454545454545454,0.5909090909090909,0.6818181818181819
tn3,11.0,11.0,11.0,11.0
fp3,0.0,0.0,0.0,0.0
fn3,9.0,10.0,9.0,7.0
tp3,2.0,1.0,2.0,4.0
