parameter,iter_1
boost_from_average,"[True, False]"
boost_from_average,True
boosting_type,"['gbdt', 'dart']"
boosting_type,gbdt
class_weight,
colsample_bytree,"(0.5, 1.0, 'uniform')"
colsample_bytree,0.535804058669302
cv,3
cv,3
force_col_wise,['true']
force_col_wise,true
importance_type,split
importance_type,['split']
iterations,50
iterations,50
learning_rate,"(0.0001, 0.004, 'log-uniform')"
learning_rate,0.0003806873119103494
max_bin,475
max_bin,"(100, 1000)"
max_depth,20
max_depth,"(0, 50)"
metric,['binary_logloss']
metric,binary_logloss
min_child_samples,25
min_child_samples,"(5, 40)"
min_child_weight,0.001
min_split_gain,0.0
n_estimators,"(700, 5000)"
n_estimators,3049
n_jobs,-1
num_col,98
num_col,98
num_leaves,"(3, 20)"
num_leaves,18
objective,['binary']
objective,binary
random_state,42
reg_alpha,"(0.0, 4.0, 'uniform')"
reg_alpha,1.638382864216166
reg_lambda,"(0.0, 4.0, 'uniform')"
reg_lambda,3.6799157481218834
scale_pos_weight,"(0.2, 2.0, 'uniform')"
scale_pos_weight,0.6598321086404656
scoring,precision
scoring,precision
silent,warn
subsample,"(0.005, 1.0, 'uniform')"
subsample,0.08026908992499214
subsample_for_bin,"(100000, 500000)"
subsample_for_bin,498838
subsample_freq,0
verbose,0
best_score,0.7486772486772487
best_index,46.0
acc_train,0.6945812807881774
acc_val,0.47058823529411764
acc_test,0.59375
train_precision,1.0
train_tn,108.0
train_fp,0.0
train_fn,62.0
train_tp,33.0
val_precision,0.3333333333333333
val_tn,21.0
val_fp,6.0
val_fn,21.0
val_tp,3.0
test_precision,0.8888888888888888
recall,0.24242424242424243
f1score,0.38095238095238093
roc,0.6050830889540567
test_tn,30.0
test_fp,1.0
test_fn,25.0
test_tp,8.0
acc_test1,0.38095238095238093
precision1,1.0
recall1,0.07142857142857142
f1score1,0.13333333333333333
roc1,0.5357142857142857
tn1,7.0
fp1,0.0
fn1,13.0
tp1,1.0
acc_test2,0.8095238095238095
precision2,0.8333333333333334
recall2,0.625
f1score2,0.7142857142857143
roc2,0.7740384615384616
tn2,12.0
fp2,1.0
fn2,3.0
tp2,5.0
acc_test3,0.5909090909090909
precision3,1.0
recall3,0.18181818181818182
f1score3,0.3076923076923077
roc3,0.5909090909090909
tn3,11.0
fp3,0.0
fn3,9.0
tp3,2.0
