parameter,iter_1,iter_2,iter_3,iter_4,iter_5,iter_6,iter_7,iter_8
boost_from_average,"[True, False]","[True, False]","[True, False]","[True, False]","[True, False]","[True, False]","[True, False]","[True, False]"
boost_from_average,True,True,True,True,True,True,True,True
boosting_type,"['gbdt', 'dart']","['gbdt', 'dart']","['gbdt', 'dart']","['gbdt', 'dart']","['gbdt', 'dart']","['gbdt', 'dart']","['gbdt', 'dart']","['gbdt', 'dart']"
boosting_type,gbdt,dart,gbdt,gbdt,gbdt,gbdt,gbdt,gbdt
class_weight,,,,,,,,
colsample_bytree,"(0.5, 1.0, 'uniform')","(0.5, 1.0, 'uniform')","(0.5, 1.0, 'uniform')","(0.5, 1.0, 'uniform')","(0.5, 1.0, 'uniform')","(0.5, 1.0, 'uniform')","(0.5, 1.0, 'uniform')","(0.5, 1.0, 'uniform')"
colsample_bytree,0.9637856363337614,0.5887995251750529,0.6045249154138594,0.5,0.7676166435099657,0.679511465960702,0.6210274135152525,0.7676166435099657
cv,3,5,3,3,3,3,3,3
cv,3,5,3,3,3,3,3,3
force_col_wise,['true'],['true'],['true'],['true'],['true'],['true'],['true'],['true']
force_col_wise,true,true,true,true,true,true,true,true
importance_type,['split'],['split'],['split'],['split'],['split'],['split'],['split'],['split']
importance_type,split,split,split,split,split,split,split,split
iterations,50,50,50,50,50,50,50,50
iterations,50,50,50,50,50,50,50,50
learning_rate,0.0003604742332663675,0.0001603100534891789,0.0009146616659108282,0.00034330222682048636,0.0003968450304807961,0.0008966376442750347,0.00013382747262411169,0.0003968450304807961
learning_rate,"(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')"
max_bin,139,347,807,607,761,684,637,761
max_bin,"(100, 1000)","(100, 1000)","(100, 1000)","(100, 1000)","(100, 1000)","(100, 1000)","(100, 1000)","(100, 1000)"
max_depth,32,25,14,7,4,21,39,4
max_depth,"(0, 50)","(0, 50)","(0, 50)","(0, 50)","(0, 50)","(0, 50)","(0, 50)","(0, 50)"
metric,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss
metric,['binary_logloss'],['binary_logloss'],['binary_logloss'],['binary_logloss'],['binary_logloss'],['binary_logloss'],['binary_logloss'],['binary_logloss']
min_child_samples,"(5, 40)","(5, 40)","(5, 40)","(5, 40)","(5, 40)","(5, 40)","(5, 40)","(5, 40)"
min_child_samples,17,5,10,7,25,27,25,25
min_child_weight,,,,,,"(0.001, 10.0)","(0.001, 5.0)",
min_child_weight,0.001,0.001,0.001,0.001,0.001,9.242889400115411,2.5226870097251877,0.001
min_split_gain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n_estimators,"(700, 5000)","(700, 5000)","(700, 5000)","(700, 5000)","(700, 3000)","(700, 3000)","(700, 3000)","(700, 3000)"
n_estimators,2013,1192,3984,3898,2254,2213,2026,2254
n_jobs,-1,-1,-1,-1,-1,-1,-1,-1
num_col,98,98,98,98,98,98,98,98
num_col,98,98,98,98,98,98,98,98
num_leaves,3,16,11,17,6,13,15,6
num_leaves,"(3, 20)","(3, 20)","(3, 20)","(3, 20)","(3, 20)","(3, 20)","(3, 20)","(3, 20)"
objective,['binary'],['binary'],['binary'],['binary'],['binary'],['binary'],['binary'],['binary']
objective,binary,binary,binary,binary,binary,binary,binary,binary
random_state,42,42,42,42,42,42,42,42
reg_alpha,0.6370110991086533,2.859401201997448,0.10454725179368152,2.0,1.2805492389937885,0.9370311284624093,2.0,1.2805492389937885
reg_alpha,"(0.0, 4.0, 'uniform')","(0.0, 4.0, 'uniform')","(0.0, 2.0, 'uniform')","(0.0, 2.0, 'uniform')","(0.0, 2.0, 'uniform')","(0.0, 2.0, 'uniform')","(0.0, 2.0, 'uniform')","(0.0, 2.0, 'uniform')"
reg_lambda,"(0.0, 4.0, 'uniform')","(0.0, 4.0, 'uniform')","(0.0, 2.0, 'uniform')","(0.0, 4.0, 'uniform')","(0.0, 4.0, 'uniform')","(0.0, 4.0, 'uniform')","(0.0, 4.0, 'uniform')","(0.0, 4.0, 'uniform')"
reg_lambda,0.611696947886447,1.674999460488161,0.6191835096158724,1.1161775613175065,3.7500473680539868,3.2608418976021243,0.0,3.7500473680539868
scale_pos_weight,"(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')"
scale_pos_weight,0.7892189066397652,1.074935189312341,0.2,0.635987900441237,0.6499216183261307,0.7892600062914028,1.2084675625846295,0.6499216183261307
scoring,precision,precision,precision,precision,precision,precision,precision,precision
scoring,precision,precision,precision,precision,precision,precision,precision,precision
silent,warn,warn,warn,warn,warn,warn,warn,warn
subsample,1.0,0.005,0.04994282180520375,0.9960815139298219,0.48563547339722196,0.3982415029612957,0.8839658771861146,0.48563547339722196
subsample,"(0.005, 1.0, 'uniform')","(0.005, 1.0, 'uniform')","(0.005, 1.0, 'uniform')","(0.005, 1.0, 'uniform')","(0.005, 1.0, 'uniform')","(0.005, 1.0, 'uniform')","(0.005, 1.0, 'uniform')","(0.005, 1.0, 'uniform')"
subsample_for_bin,100000,324685,176939,298059,482445,306651,500000,482445
