parameter,iter_2,iter_3,iter_4,iter_5,iter_6,iter_7,iter_8,iter_9,iter_10,iter_11,iter_12,iter_13
boost_from_average,"[True, False]","[True, False]","[True, False]","[True, False]","[True, False]","[True, False]","[True, False]","[True, False]","[True, False]","[True, False]","[True, False]","[True, False]"
boost_from_average,True,True,False,True,True,True,True,True,False,True,True,True
boosting_type,"['gbdt', 'dart']","['gbdt', 'dart']","['gbdt', 'dart']","['gbdt', 'dart']","['gbdt', 'dart']","['gbdt', 'dart']","['gbdt', 'dart']","['gbdt', 'dart']","['gbdt', 'dart']","['gbdt', 'dart']","['gbdt', 'dart']","['gbdt', 'dart']"
boosting_type,dart,gbdt,dart,dart,gbdt,gbdt,gbdt,gbdt,gbdt,dart,gbdt,gbdt
class_weight,,,,,,,,,,,,
colsample_bytree,"(0.5, 1.0, 'uniform')","(0.5, 1.0, 'uniform')","(0.5, 1.0, 'uniform')","(0.5, 1.0, 'uniform')","(0.5, 1.0, 'uniform')","(0.5, 1.0, 'uniform')","(0.5, 1.0, 'uniform')","(0.5, 1.0, 'uniform')","(0.5, 1.0, 'uniform')","(0.5, 1.0, 'uniform')","(0.5, 1.0, 'uniform')","(0.5, 1.0, 'uniform')"
colsample_bytree,1.0,0.9084985130016071,0.7126854371517959,1.0,0.5,0.8862467766949039,0.6022183799510108,0.5,0.9942173687294429,0.6581059603110138,0.779378035138762,0.5
cv,3,3,3,3,3,3,3,3,3,3,3,3
cv,3,3,3,3,3,3,3,3,3,3,3,3
force_col_wise,['true'],['true'],['true'],['true'],['true'],['true'],['true'],['true'],['true'],['true'],['true'],['true']
force_col_wise,true,true,true,true,true,true,true,true,true,true,true,true
importance_type,split,split,split,split,split,split,split,split,split,split,split,split
importance_type,['split'],['split'],['split'],['split'],['split'],['split'],['split'],['split'],['split'],['split'],['split'],['split']
iterations,50,50,50,50,50,50,50,50,50,50,50,50
iterations,50,50,50,50,50,50,50,50,50,50,50,50
learning_rate,"(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')"
learning_rate,0.0003293197565858948,0.004,0.004,0.004,0.00032493769766418355,0.0002549416125187092,0.0001,0.0001,0.0021453411615246034,0.0001,0.00017292185066779356,0.0001
max_bin,363,552,691,100,1000,420,820,660,161,766,681,660
max_bin,"(100, 1000)","(100, 1000)","(100, 1000)","(100, 1000)","(100, 1000)","(100, 1200)","(100, 1000)","(100, 1000)","(100, 1000)","(100, 1000)","(100, 1000)","(100, 1000)"
max_depth,38,11,47,50,0,50,33,17,20,0,25,17
max_depth,"(0, 50)","(0, 50)","(0, 50)","(0, 50)","(0, 50)","(0, 50)","(0, 50)","(0, 50)","(0, 50)","(0, 50)","(0, 50)","(0, 50)"
metric,['binary_logloss'],['binary_logloss'],['binary_logloss'],['binary_logloss'],['binary_logloss'],['binary_logloss'],['binary_logloss'],['binary_logloss'],['binary_logloss'],['binary_logloss'],['binary_logloss'],['binary_logloss']
metric,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss
min_child_samples,9,37,12,5,27,13,20,5,12,9,28,5
min_child_samples,"(5, 40)","(5, 40)","(5, 40)","(5, 40)","(5, 40)","(5, 40)","(5, 40)","(5, 40)","(5, 40)","(5, 40)","(5, 40)","(5, 40)"
min_child_weight,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
min_split_gain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n_estimators,"(700, 4000)","(700, 5000)","(700, 3500)","(700, 5000)","(700, 5000)","(700, 5000)","(700, 5000)","(700, 5000)","(700, 6000)","(700, 5000)","(700, 5000)","(700, 5000)"
n_estimators,3778,3429,2959,5000,890,770,2740,5000,2269,2770,2254,5000
n_jobs,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
num_col,98,98,98,98,98,98,98,98,98,98,98,98
num_col,98,98,98,98,98,98,98,98,98,98,98,98
num_leaves,"(3, 20)","(3, 20)","(3, 20)","(3, 20)","(3, 20)","(3, 20)","(3, 20)","(3, 20)","(3, 20)","(3, 20)","(3, 20)","(3, 20)"
num_leaves,18,16,13,3,7,15,10,16,16,3,3,16
objective,['binary'],['binary'],['binary'],['binary'],['binary'],['binary'],['binary'],['binary'],['binary'],['binary'],['binary'],['binary']
objective,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary
random_state,42,42,42,42,42,42,42,42,42,42,42,42
reg_alpha,"(0.0, 2.0, 'uniform')","(0.0, 2.0, 'uniform')","(0.0, 2.0, 'uniform')","(0.0, 3.0, 'uniform')","(0.0, 3.0, 'uniform')","(0.0, 3.0, 'uniform')","(0.0, 3.0, 'uniform')","(0.0, 2.0, 'uniform')","(0.0, 2.0, 'uniform')","(0.0, 2.0, 'uniform')","(0.0, 2.0, 'uniform')","(0.0, 2.0, 'uniform')"
reg_alpha,1.9535330473240575,0.8614330848188445,0.42730639845619195,0.0,1.9727625874334982,1.8680079524091564,0.32444024616446154,0.04420730986464071,1.4672668870964154,0.0,0.6237128198539541,0.04420730986464071
