parameter,iter_1,iter_2,iter_3,iter_4
cv,5,5,5,5
iterations,50,50,50,50
num_col,98,98,98,98
scoring,precision,precision,precision,precision
second_best_index,,,,
boost_from_average,False,False,True,False
boosting_type,dart,gbdt,dart,dart
class_weight,,,,
colsample_bytree,0.836262413574058,0.6405046835037205,0.5305823899948202,1.0
force_col_wise,true,true,true,true
importance_type,split,split,split,split
learning_rate,0.0005627941486323078,0.00038705234412071346,0.00019523735132534684,0.00030404982858306677
max_bin,1100,786,548,507
max_depth,26,36,35,4
metric,binary_logloss,binary_logloss,binary_logloss,binary_logloss
min_child_samples,20,8,40,12
min_child_weight,0.001,0.001,0.001,0.001
min_split_gain,0.0,0.0,0.0,0.0
n_estimators,1872,1985,1623,4280
n_jobs,-1,-1,-1,-1
num_leaves,3,19,12,7
objective,binary,binary,binary,binary
random_state,42,42,42,42
reg_alpha,2.0,0.0,0.2360902699117632,0.7863044447785316
reg_lambda,0.6715849520249062,1.3661791875057845,3.0,1.505152913228125
scale_pos_weight,0.954460248185431,0.2463837497416545,0.8571243163225659,0.3658028744267602
silent,warn,warn,warn,warn
subsample,0.9609586569204495,0.9567627448054841,1.0,0.4175832278800121
subsample_for_bin,500000,100000,100000,313554
subsample_freq,0,0,0,0
verbose,0,0,0,0
best_score,0.6109161490683229,0.6829059829059829,0.616965811965812,0.6880952380952381
best_index,40.0,36.0,41.0,48.0
acc_train,0.7170542635658915,0.7441860465116279,0.7170542635658915,0.7248062015503876
acc_val,0.5263157894736842,0.631578947368421,0.6842105263157895,0.6842105263157895
acc_test,0.5151515151515151,0.6060606060606061,0.6363636363636364,0.696969696969697
train_precision,0.6938775510204082,1.0,0.8064516129032258,0.9545454545454546
train_tn,117.0,147.0,135.0,145.0
train_fp,30.0,0.0,12.0,2.0
train_fn,43.0,66.0,61.0,69.0
train_tp,68.0,45.0,50.0,42.0
val_precision,0.4444444444444444,1.0,0.75,1.0
val_tn,6.0,11.0,10.0,11.0
val_fp,5.0,0.0,1.0,0.0
val_fn,4.0,7.0,5.0,6.0
val_tp,4.0,1.0,3.0,2.0
test_precision,0.47058823529411764,0.6666666666666666,0.7142857142857143,0.7777777777777778
recall,0.5333333333333333,0.26666666666666666,0.3333333333333333,0.4666666666666667
f1score,0.5,0.3809523809523809,0.4545454545454545,0.5833333333333334
roc,0.5166666666666666,0.5777777777777777,0.611111111111111,0.6777777777777778
test_tn,9.0,16.0,16.0,16.0
test_fp,9.0,2.0,2.0,2.0
test_fn,7.0,11.0,10.0,8.0
test_tp,8.0,4.0,5.0,7.0
