parameter,iter_1,iter_2,iter_3,iter_4,iter_5,iter_6
boost_from_average,"[True, False]","[True, False]","[True, False]","[True, False]","[True, False]","[True, False]"
boost_from_average,True,True,True,False,False,True
boosting_type,"['gbdt', 'dart']","['gbdt', 'dart']","['gbdt', 'dart']","['gbdt', 'dart']","['gbdt', 'dart']","['gbdt', 'dart']"
boosting_type,gbdt,gbdt,dart,dart,dart,gbdt
class_weight,,,,,,
colsample_bytree,"(0.5, 1.0, 'uniform')","(0.5, 1.0, 'uniform')","(0.5, 1.0, 'uniform')","(0.5, 1.0, 'uniform')","(0.5, 1.0, 'uniform')","(0.5, 1.0, 'uniform')"
colsample_bytree,0.7349702284126429,0.7349702284126429,0.7545135341164146,0.9277238978191903,0.5815523156913639,0.862701157526033
cv,5,5,5,5,5,5
cv,5,5,5,5,5,5
force_col_wise,['true'],['true'],['true'],['true'],['true'],['true']
force_col_wise,true,true,true,true,true,true
importance_type,split,split,split,split,split,split
importance_type,['split'],['split'],['split'],['split'],['split'],['split']
iterations,150,100,100,100,50,50
iterations,150,100,100,100,50,50
learning_rate,"(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')"
learning_rate,0.00039843690669377616,0.00039843690669377616,0.00011578452155403363,0.004,0.004,0.0006259720391491573
max_bin,924,924,592,507,987,322
max_bin,"(100, 1000)","(100, 1000)","(100, 1000)","(100, 1000)","(100, 1000)","(100, 1100)"
max_depth,4,4,25,33,18,32
max_depth,"(0, 50)","(0, 50)","(0, 50)","(0, 50)","(0, 50)","(0, 50)"
metric,['binary_logloss'],['binary_logloss'],['binary_logloss'],['binary_logloss'],['binary_logloss'],['binary_logloss']
metric,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss
min_child_samples,24,24,19,27,22,5
min_child_samples,"(5, 40)","(5, 40)","(5, 40)","(5, 40)","(5, 40)","(5, 40)"
min_child_weight,0.001,0.001,0.001,0.001,0.001,0.001
min_split_gain,0.0,0.0,0.0,0.0,0.0,0.0
n_estimators,"(700, 5000)","(700, 5000)","(700, 5000)","(700, 7000)","(700, 5000)","(700, 5000)"
n_estimators,4878,4878,5000,2377,3150,3205
n_jobs,-1,-1,-1,-1,-1,-1
num_col,98,98,98,98,98,98
num_col,98,98,98,98,98,98
num_leaves,"(3, 20)","(3, 20)","(3, 20)","(3, 20)","(3, 20)","(3, 20)"
num_leaves,4,4,6,16,20,16
objective,['binary'],['binary'],['binary'],['binary'],['binary'],['binary']
objective,binary,binary,binary,binary,binary,binary
random_state,42,42,42,42,42,42
reg_alpha,"(0.0, 4.0, 'uniform')","(0.0, 4.0, 'uniform')","(0.0, 2.0, 'uniform')","(0.0, 2.0, 'uniform')","(0.0, 2.0, 'uniform')","(0.0, 2.0, 'uniform')"
reg_alpha,1.2110011925004296,1.2110011925004296,0.5807022137895343,0.9818434481532261,0.8525845369407082,1.7941706641568567
reg_lambda,"(0.0, 4.0, 'uniform')","(0.0, 4.0, 'uniform')","(0.0, 2.0, 'uniform')","(0.0, 2.0, 'uniform')","(0.0, 2.0, 'uniform')","(0.0, 2.0, 'uniform')"
reg_lambda,1.3522160752737777,1.3522160752737777,2.0,0.5665497261475659,0.0,0.7188319781590282
scale_pos_weight,"(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')"
scale_pos_weight,0.4178473764289566,0.4178473764289566,0.3092825421136862,0.3567420693040336,0.27372891278639444,0.4130773674308865
scoring,precision,precision,precision,precision,precision,precision
scoring,precision,precision,precision,precision,precision,precision
silent,warn,warn,warn,warn,warn,warn
subsample,"(0.005, 1.0, 'uniform')","(0.005, 1.0, 'uniform')","(0.005, 1.0, 'uniform')","(0.005, 1.0, 'uniform')","(0.005, 1.0, 'uniform')","(0.005, 1.0, 'uniform')"
subsample,0.6418522132908829,0.6418522132908829,0.53892875513612,0.30681291642775793,0.389447716049102,0.7539435649509583
subsample_for_bin,"(100000, 500000)","(100000, 500000)","(100000, 500000)","(100000, 500000)","(100000, 500000)","(100000, 500000)"
subsample_for_bin,126549,126549,500000,496262,100000,263889
subsample_freq,0,0,0,0,0,0
verbose,0,0,0,0,0,0
best_score,0.7439393939393939,0.7439393939393939,0.7743589743589743,0.7597435897435898,0.77,0.7562637362637362
best_index,50.0,50.0,76.0,69.0,26.0,49.0
acc_train,0.7058823529411765,0.7058823529411765,0.6705882352941176,0.7725490196078432,0.8117647058823529,0.8745098039215686
acc_val,0.631578947368421,0.631578947368421,0.7368421052631579,0.6842105263157895,0.7368421052631579,0.7894736842105263
acc_test,0.38461538461538464,0.38461538461538464,0.3076923076923077,0.38461538461538464,0.46153846153846156,0.38461538461538464
train_precision,0.9696969696969697,0.9696969696969697,0.9583333333333334,0.98,1.0,1.0
train_tn,148.0,148.0,148.0,148.0,149.0,149.0
train_fp,1.0,1.0,1.0,1.0,0.0,0.0
train_fn,74.0,74.0,83.0,57.0,48.0,32.0
train_tp,32.0,32.0,23.0,49.0,58.0,74.0
val_precision,0.0,0.0,1.0,0.6666666666666666,0.75,1.0
val_tn,12.0,12.0,12.0,11.0,11.0,12.0
val_fp,0.0,0.0,0.0,1.0,1.0,0.0
val_fn,7.0,7.0,5.0,5.0,4.0,4.0
val_tp,0.0,0.0,2.0,2.0,3.0,3.0
test_precision,0.0,0.0,0.0,0.0,1.0,0.5
recall,0.0,0.0,0.0,0.0,0.125,0.125
f1score,0.0,0.0,0.0,0.0,0.2222222222222222,0.2
roc,0.5,0.5,0.4,0.5,0.5625,0.4625
test_tn,5.0,5.0,4.0,5.0,5.0,4.0
test_fp,0.0,0.0,1.0,0.0,0.0,1.0
test_fn,8.0,8.0,8.0,8.0,7.0,7.0
test_tp,0.0,0.0,0.0,0.0,1.0,1.0
