parameter,iter_1,iter_2,iter_3,iter_4,iter_5,iter_6,iter_8,iter_9,iter_10
cv,5,5,5,5,5,5,5.0,5,5
iterations,50,50,50,50,50,50,50.0,50,50
num_col,98,98,98,98,98,98,98.0,98,98
scoring,precision,precision,precision,precision,precision,accuracy,,average_precision,precision
boost_from_average,True,False,False,True,True,False,False,False,True
boosting_type,gbdt,gbdt,gbdt,dart,dart,dart,dart,dart,dart
class_weight,,,,,,,,,
colsample_bytree,0.6323245192268734,1.0,0.8704205948947827,0.7022890699844868,0.5896352137639849,0.9566992997561047,0.9566992997561047,0.5,0.5896352137639849
force_col_wise,true,true,true,true,true,true,true,true,true
importance_type,split,split,split,split,split,split,split,split,split
learning_rate,0.00022600302713191638,0.001481379627796651,0.0003249115998224528,0.0001,0.00033248460077134757,0.0003939268177899818,0.0003939268177899818,0.004,0.00033248460077134757
max_bin,847,567,1057,122,747,342,342,389,747
max_depth,16,26,21,27,43,12,12,42,43
metric,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss
min_child_samples,11,25,9,5,14,16,16,16,14
min_child_weight,0.001,7.551679008715475,4.230350053830866,4.310553866485777,4.255191105138207,5.0,5.0,3.2584046820774595,4.255191105138207
min_split_gain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n_estimators,3575,700,3939,4059,700,2246,2246,3652,700
n_jobs,-1,-1,-1,-1,-1,-1,-1,-1,-1
num_leaves,19,6,11,17,11,7,7,6,11
objective,binary,binary,binary,binary,binary,binary,binary,binary,binary
random_state,42,42,42,42,42,42,42,42,42
reg_alpha,0.5615424519083856,1.2983215933152816,1.158051457190275,2.0,1.3068441895771519,2.0,2.0,0.7453452152079831,1.3068441895771519
reg_lambda,0.07932970858354786,0.7439686988375486,0.9936906807996423,2.0,0.6664125260807112,1.2044290524644918,1.2044290524644918,2.0,0.6664125260807112
scale_pos_weight,0.6567478954861542,0.5110361772931635,0.40898938276352603,0.6728901546296335,1.8820160155543817,0.6793682828103369,0.6793682828103369,0.2,1.8820160155543817
silent,warn,warn,warn,warn,warn,warn,warn,warn,warn
subsample,0.37466700895724414,0.5779185658786848,0.6905807392179293,0.5052591939489344,0.06685252288106489,0.10038853965471779,0.10038853965471779,0.24104708084292262,0.06685252288106489
subsample_for_bin,363782,195209,134369,500000,627130,514939,514939,329791,627130
subsample_freq,0,0,0,0,0,0,0,0,0
verbose,0,0,0,0,0,0,0,0,0
best_score,0.7387012987012987,0.7384126984126984,0.8099999999999999,0.7271794871794872,0.7367965367965368,0.6715824915824916,0.6715824915824916,0.6471929378959359,0.7367965367965368
best_index,21.0,30.0,35.0,31.0,49.0,33.0,33.0,30.0,49.0
acc_train,0.8978102189781022,0.7007299270072993,0.7372262773722628,0.7481751824817519,0.7956204379562044,0.7554744525547445,0.7554744525547445,0.6496350364963503,0.7956204379562044
acc_test,0.38461538461538464,0.38461538461538464,0.38461538461538464,0.38461538461538464,0.46153846153846156,0.38461538461538464,0.38461538461538464,0.38461538461538464,0.46153846153846156
train_precision,1.0,0.8780487804878049,0.9555555555555556,0.94,0.9523809523809523,0.8833333333333333,0.8833333333333333,1.0,0.9523809523809523
train_tn,161.0,156.0,159.0,158.0,158.0,154.0,154.0,161.0,158.0
train_fp,0.0,5.0,2.0,3.0,3.0,7.0,7.0,0.0,3.0
train_fn,28.0,77.0,70.0,66.0,53.0,60.0,60.0,96.0,53.0
train_tp,85.0,36.0,43.0,47.0,60.0,53.0,53.0,17.0,60.0
test_precision,0.5,0.0,0.0,0.0,1.0,0.5,0.5,0.0,1.0
recall,0.125,0.0,0.0,0.0,0.125,0.125,0.125,0.0,0.125
f1score,0.2,0.0,0.0,0.0,0.2222222222222222,0.2,0.2,0.0,0.2222222222222222
roc,0.4625,0.5,0.5,0.5,0.5625,0.4625,0.4625,0.5,0.5625
test_tn,4.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0
test_fp,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
test_fn,7.0,8.0,8.0,8.0,7.0,7.0,7.0,8.0,7.0
test_tp,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0
