parameter,iter_1,iter_2,iter_3,iter_4,iter_5,iter_6,iter_7,iter_8,iter_9,iter_10,iter_11,iter_12,iter_13,iter_14
cv,5,5,5,5,5,5,5,5,5,5,5,5,5,5
iterations,50,50,50,70,50,50,50,50,50,50,50,50,50,50
num_col,98,98,98,98,98,98,98,98,98,98,98,98,98,98
scoring,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision
second_best_index,,,,,,,,,,,,,,
boost_from_average,False,True,True,True,True,False,True,False,True,True,True,False,True,True
boosting_type,gbdt,dart,dart,dart,dart,dart,dart,gbdt,dart,dart,dart,dart,dart,dart
class_weight,,,,,,,,,,,,,,
colsample_bytree,0.9421441807814064,1.0,0.5,0.5,0.9681582326531089,0.875835748708248,0.9325023986136003,0.5784929963054718,0.9368810030207829,0.7249150311678453,0.5196415100327527,1.0,0.8398658610701962,0.862009383629332
force_col_wise,true,true,true,true,true,true,true,true,true,true,true,true,true,true
importance_type,split,split,split,split,split,split,split,split,split,split,split,split,split,split
learning_rate,0.00030017391801709093,0.00019960766920301557,0.00027572295380328353,0.00027572295380328353,0.00010935679567090975,0.0012344774732836411,0.0004894568677486773,0.0005069913223836747,0.00022006373617592905,0.00012928177220964592,0.00012473006636106536,0.00017603090185094078,0.0004941754022900195,0.0001
max_bin,505,528,1100,1100,100,494,100,385,164,288,991,700,553,900
max_depth,13,24,39,39,37,44,0,50,49,12,41,28,13,37
metric,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss
min_child_samples,28,15,35,35,32,13,37,40,33,5,6,40,40,19
min_child_weight,4.187274187809599,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
min_split_gain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n_estimators,700,857,700,700,5000,4445,721,3128,1052,3289,3996,738,700,1208
n_jobs,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
num_leaves,4,16,10,10,11,10,17,7,13,10,9,4,3,11
objective,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary
random_state,42,42,42,42,42,42,42,42,42,42,42,42,42,42
reg_alpha,0.8776600602604191,0.691666195749048,1.3676881576272206,1.3676881576272206,0.8155252083383883,2.4846137061041236,3.0,2.8738044688062336,2.8336606599768093,1.3618106652148811,1.64324241257353,2.392605455056537,2.621973788928531,1.5663017656474727
reg_lambda,1.9139855259456717,1.9032048894649707,0.0,0.0,2.4704677773910566,0.9943359298623234,0.0,0.47258023552024314,2.2694328219832043,2.3755446073698376,0.8306487539293275,1.0,1.0,1.9586329219826544
scale_pos_weight,0.6305215258657115,1.149361597772789,2.0,2.0,0.5771258489438945,0.3983883189633568,2.0,0.6642624208159984,1.6158587368806485,0.5267755122886633,0.6923305546372682,1.202475227656804,1.0692445731572011,1.4527833629971019
silent,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn
subsample,0.46147035637612066,0.7124818208282837,0.8457783608951888,0.8457783608951888,0.441345136705205,0.6296021924222862,1.0,1.0,0.05446643598587965,0.08176638875892481,0.4196084957204914,1.0,0.1882509574208654,0.4633973317820208
subsample_for_bin,100000,411620,248222,248222,382892,488529,136252,254435,135426,261228,372034,411896,500000,338603
subsample_freq,0,0,0,0,0,0,0,0,0,0,0,0,0,0
verbose,0,0,0,0,0,0,0,0,0,0,0,0,0,0
best_score,0.6531996434937611,0.6544125465178097,0.655229476405947,0.655229476405947,0.7046425796425796,0.6583333333333333,0.6571047008547009,0.6082142857142858,0.6372777549248136,0.6501282051282051,0.65,0.6517008318478906,0.6695951107715813,0.6447619047619046
best_index,23.0,17.0,45.0,45.0,48.0,34.0,33.0,20.0,24.0,47.0,38.0,33.0,30.0,34.0
acc_train,0.7131782945736435,0.7131782945736435,0.748062015503876,0.748062015503876,0.6744186046511628,0.748062015503876,0.7441860465116279,0.748062015503876,0.7170542635658915,0.7325581395348837,0.8023255813953488,0.7170542635658915,0.7209302325581395,0.7015503875968992
acc_val,0.6842105263157895,0.5789473684210527,0.6842105263157895,0.6842105263157895,0.5789473684210527,0.631578947368421,0.47368421052631576,0.631578947368421,0.5263157894736842,0.631578947368421,0.6842105263157895,0.5263157894736842,0.7368421052631579,0.47368421052631576
acc_test,0.6363636363636364,0.6060606060606061,0.6666666666666666,0.6666666666666666,0.5151515151515151,0.6363636363636364,0.6060606060606061,0.5454545454545454,0.5151515151515151,0.696969696969697,0.5757575757575758,0.5151515151515151,0.48484848484848486,0.5151515151515151
train_precision,0.7605633802816901,0.8775510204081632,0.8194444444444444,0.8194444444444444,0.8461538461538461,1.0,0.6691729323308271,0.8026315789473685,0.6938775510204082,0.9565217391304348,0.9545454545454546,0.6938775510204082,0.7096774193548387,0.9047619047619048
train_tn,130.0,141.0,134.0,134.0,141.0,147.0,103.0,132.0,117.0,145.0,144.0,117.0,120.0,143.0
train_fp,17.0,6.0,13.0,13.0,6.0,0.0,44.0,15.0,30.0,2.0,3.0,30.0,27.0,4.0
train_fn,57.0,68.0,52.0,52.0,78.0,65.0,22.0,50.0,43.0,67.0,48.0,43.0,45.0,73.0
train_tp,54.0,43.0,59.0,59.0,33.0,46.0,89.0,61.0,68.0,44.0,63.0,68.0,66.0,38.0
val_precision,0.75,0.5,0.75,0.75,0.0,0.6666666666666666,0.4,0.6,0.4444444444444444,0.6666666666666666,0.75,0.4444444444444444,0.8,0.0
val_tn,10.0,9.0,10.0,10.0,11.0,10.0,5.0,9.0,6.0,10.0,10.0,6.0,10.0,9.0
val_fp,1.0,2.0,1.0,1.0,0.0,1.0,6.0,2.0,5.0,1.0,1.0,5.0,1.0,2.0
val_fn,5.0,6.0,5.0,5.0,8.0,6.0,4.0,5.0,4.0,6.0,5.0,4.0,4.0,8.0
val_tp,3.0,2.0,3.0,3.0,0.0,2.0,4.0,3.0,4.0,2.0,3.0,4.0,4.0,0.0
test_precision,0.6666666666666666,0.625,0.7,0.7,0.0,1.0,0.55,0.5,0.47058823529411764,0.7777777777777778,0.5714285714285714,0.47058823529411764,0.4375,0.3333333333333333
recall,0.4,0.3333333333333333,0.4666666666666667,0.4666666666666667,0.0,0.2,0.7333333333333333,0.2,0.5333333333333333,0.4666666666666667,0.26666666666666666,0.5333333333333333,0.4666666666666667,0.06666666666666667
f1score,0.5,0.43478260869565216,0.56,0.56,0.0,0.33333333333333337,0.6285714285714286,0.28571428571428575,0.5,0.5833333333333334,0.36363636363636365,0.5,0.45161290322580644,0.1111111111111111
roc,0.6166666666666667,0.5833333333333334,0.65,0.65,0.4722222222222222,0.6,0.6166666666666667,0.5166666666666667,0.5166666666666666,0.6777777777777778,0.55,0.5166666666666666,0.4833333333333334,0.47777777777777775
test_tn,15.0,15.0,15.0,15.0,17.0,18.0,9.0,15.0,9.0,16.0,15.0,9.0,9.0,16.0
test_fp,3.0,3.0,3.0,3.0,1.0,0.0,9.0,3.0,9.0,2.0,3.0,9.0,9.0,2.0
test_fn,9.0,10.0,8.0,8.0,15.0,12.0,4.0,12.0,7.0,8.0,11.0,7.0,8.0,14.0
test_tp,6.0,5.0,7.0,7.0,0.0,3.0,11.0,3.0,8.0,7.0,4.0,8.0,7.0,1.0
