parameter,value1,value2,value3,value4,value5,value6,value7,value8,value9,value11,value12,value13
boosting_type,gbdt,gbdt,gbdt,gbdt,gbdt,gbdt,gbdt,gbdt,gbdt,gbdt,gbdt,gbdt
class_weight,,,,,,,,,,,,
colsample_bytree,0.9435703782153755,0.872293668820899,0.1677891427453575,0.49898437007873314,0.1470372236722359,0.1677891427453575,0.1677891427453575,0.7425763306461872,0.3622278172617969,1.0,0.08509317929145775,0.1677891427453575
importance_type,split,split,split,split,split,split,split,split,split,split,split,split
learning_rate,0.00026216307026628627,0.00040783886902393755,0.0019162589666810593,0.0003304939642148201,0.0039166874131501455,0.0019162589666810593,0.0019162589666810593,0.000845385863843898,0.000890045629333899,0.004,0.0006699476287357649,0.0019162589666810593
max_depth,0,0,23,29,45,23,23,16,32,0,7,23
min_child_samples,30,26,32,19,36,32,32,36,31,40,35,32
min_child_weight,0,2,6,0.001,6,6,6,8,6,10,10,6
min_split_gain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n_estimators,2657,2465,2054,2600,2509,2054,2643,3186,3750,4000,1725,2643
n_jobs,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
num_leaves,8,8,10,7,9,10,10,3,11,15,13,10
objective,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary
random_state,,,,,,,,,,,,
reg_alpha,0.0,0.4,0.9,1.3,1.7000000000000002,1.9000000000000001,1.9000000000000001,2.8000000000000003,1.3,0.0,2.2,1.9000000000000001
reg_lambda,0.9,0.7000000000000001,1.8,0.1,1.9000000000000001,3.8000000000000003,3.8000000000000003,1.8,1.8,3.9000000000000004,0.8,3.8000000000000003
silent,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn
subsample,0.7852174811807537,0.7473968543326747,0.6487712293279236,0.5597576125719046,0.7897433105970024,0.6487712293279236,0.6487712293279236,0.17081643471481592,0.330729836811081,0.005,0.9677096680407479,0.6487712293279236
subsample_for_bin,500000,481885,477471,439614,490512,477471,477471,345897,258087,500000,406580,477471
subsample_freq,0,0,0,0,0,0,0,0,0,0,0,0
metric,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss
verbose,1,1,1,1,1,1,1,1,1,1,1,1
boost_from_average,True,True,True,True,False,True,True,False,True,True,False,True
force_col_wise,true,true,true,true,true,true,true,true,true,true,true,true
max_bin,190,290,435,146,389,435,435,347,635,100,149,435
scale_pos_weight,0.7500000000000002,0.8500000000000002,0.6000000000000002,0.6000000000000002,0.3500000000000001,0.6000000000000002,0.6000000000000002,1.5000000000000004,1.6000000000000005,1.9500000000000006,0.7000000000000002,0.6000000000000002
cv,10,10,5,5,5,5,5,5,3,5,5,5
scoring,precision,precision,precision,precision,precision,precision,precision,f1,f1,f1,precision,precision
num_col,110,110,110,110,110,110,110,110,110,110,110,110
iterations,15,10,10,10,20,10,10,10,10,30,30,30
best_score,0.8814285714285715,0.861547619047619,0.8119047619047619,0.7533333333333333,0.888888888888889,0.8019480519480519,0.7790909090909091,0.6230548311278534,0.6492465640006624,0.6625247915258058,0.8,0.7917460317460318
best_index,10.0,8.0,5.0,7.0,16.0,5.0,5.0,9.0,6.0,15.0,27.0,5.0
acc_train,0.75,0.8072916666666666,0.8229166666666666,0.7916666666666666,0.7291666666666666,0.796875,0.8125,0.8125,0.9010416666666666,0.9583333333333334,0.7291666666666666,0.796875
acc_val,0.5625,0.5208333333333334,0.5208333333333334,0.5625,0.6041666666666666,0.5416666666666666,0.5208333333333334,0.5625,0.4791666666666667,0.4583333333333333,0.5625,0.5416666666666666
acc_test,0.5833333333333334,0.5833333333333334,0.6333333333333333,0.6,0.5833333333333334,0.6333333333333333,0.6333333333333333,0.5666666666666667,0.5,0.55,0.6833333333333333,0.6166666666666667
precision,0.5714285714285714,0.5555555555555556,0.75,0.75,0.6666666666666666,0.75,0.75,0.5,0.42857142857142855,0.48148148148148145,0.8888888888888888,0.7142857142857143
recall,0.15384615384615385,0.19230769230769232,0.23076923076923078,0.11538461538461539,0.07692307692307693,0.23076923076923078,0.23076923076923078,0.5,0.46153846153846156,0.5,0.3076923076923077,0.19230769230769232
f1score,0.24242424242424246,0.28571428571428575,0.3529411764705882,0.19999999999999998,0.13793103448275862,0.3529411764705882,0.3529411764705882,0.5,0.4444444444444445,0.49056603773584906,0.4571428571428572,0.30303030303030304
roc,0.5328054298642533,0.5373303167420814,0.5859728506787331,0.5429864253393665,0.5237556561085972,0.5859728506787331,0.5859728506787331,0.5588235294117647,0.49547511312217196,0.5441176470588235,0.6391402714932126,0.5667420814479638
tn,31.0,30.0,32.0,33.0,33.0,32.0,32.0,21.0,18.0,20.0,33.0,32.0
fp,3.0,4.0,2.0,1.0,1.0,2.0,2.0,13.0,16.0,14.0,1.0,2.0
fn,22.0,21.0,20.0,23.0,24.0,20.0,20.0,13.0,14.0,13.0,18.0,21.0
tp,4.0,5.0,6.0,3.0,2.0,6.0,6.0,13.0,12.0,13.0,8.0,5.0
acc_test1,0.6,0.6,0.65,0.55,0.55,0.6,0.65,0.7,0.65,0.6,0.65,0.55
precision1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,0.6666666666666666,0.625,1.0,1.0
recall1,0.2,0.2,0.3,0.1,0.1,0.2,0.3,0.6,0.6,0.5,0.3,0.1
f1score1,0.33333333333333337,0.33333333333333337,0.4615384615384615,0.18181818181818182,0.18181818181818182,0.33333333333333337,0.4615384615384615,0.6666666666666665,0.631578947368421,0.5555555555555556,0.4615384615384615,0.18181818181818182
roc1,0.6,0.6,0.65,0.55,0.55,0.6,0.65,0.7000000000000002,0.6499999999999999,0.5999999999999999,0.65,0.55
tn1,10.0,10.0,10.0,10.0,10.0,10.0,10.0,8.0,7.0,7.0,10.0,10.0
fp1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,3.0,0.0,0.0
fn1,8.0,8.0,7.0,9.0,9.0,8.0,7.0,4.0,4.0,5.0,7.0,9.0
tp1,2.0,2.0,3.0,1.0,1.0,2.0,3.0,6.0,6.0,5.0,3.0,1.0
acc_test2,0.6,0.65,0.65,0.6,0.55,0.65,0.65,0.6,0.45,0.7,0.7,0.65
precision2,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.5555555555555556,0.4,0.6363636363636364,1.0,1.0
recall2,0.1111111111111111,0.2222222222222222,0.2222222222222222,0.1111111111111111,0.0,0.2222222222222222,0.2222222222222222,0.5555555555555556,0.4444444444444444,0.7777777777777778,0.3333333333333333,0.2222222222222222
f1score2,0.19999999999999998,0.3636363636363636,0.3636363636363636,0.19999999999999998,0.0,0.3636363636363636,0.3636363636363636,0.5555555555555556,0.4210526315789474,0.7000000000000001,0.5,0.3636363636363636
