parameter,value1
boosting_type,gbdt
class_weight,
colsample_bytree,0.9435703782153755
importance_type,split
learning_rate,0.00026216307026628627
max_depth,0
min_child_samples,30
min_child_weight,0
min_split_gain,0.0
n_estimators,2657
n_jobs,-1
num_leaves,8
objective,binary
random_state,
reg_alpha,0.0
reg_lambda,0.9
silent,warn
subsample,0.7852174811807537
subsample_for_bin,500000
subsample_freq,0
metric,binary_logloss
verbose,1
boost_from_average,True
force_col_wise,true
max_bin,190
scale_pos_weight,0.7500000000000002
cv,10
scoring,precision
num_col,110
iterations,15
best_score,0.8814285714285715
best_index,10.0
acc_train,0.75
acc_val,0.5625
acc_test,0.5833333333333334
precision,0.5714285714285714
recall,0.15384615384615385
f1score,0.24242424242424246
roc,0.5328054298642533
tn,31.0
fp,3.0
fn,22.0
tp,4.0
acc_test1,0.6
precision1,1.0
recall1,0.2
f1score1,0.33333333333333337
roc1,0.6
tn1,10.0
fp1,0.0
fn1,8.0
tp1,2.0
acc_test2,0.6
precision2,1.0
recall2,0.1111111111111111
f1score2,0.19999999999999998
roc2,0.5555555555555556
tn2,11.0
fp2,0.0
fn2,8.0
tp2,1.0
acc_test3,0.55
precision3,0.25
recall3,0.14285714285714285
f1score3,0.18181818181818182
roc3,0.456043956043956
tn3,10.0
fp3,3.0
fn3,6.0
tp3,1.0
