parameter,value1,value2
boosting_type,gbdt,gbdt
class_weight,,
colsample_bytree,0.9332036588535947,0.9332036588535947
importance_type,split,split
learning_rate,0.0011847240811834723,0.0011847240811834723
max_depth,18,18
min_child_samples,16,19
min_child_weight,0.001,0.001
min_split_gain,0.0,0.0
n_estimators,2190,3486
n_jobs,-1,-1
num_leaves,10,10
objective,binary,binary
random_state,,
reg_alpha,0.30000000000000004,0.30000000000000004
reg_lambda,1.2000000000000002,1.2000000000000002
silent,warn,warn
subsample,0.6684947525293031,0.6684947525293031
subsample_for_bin,373099,714473
subsample_freq,0,0
metric,binary_logloss,binary_logloss
verbose,1,1
boost_from_average,False,False
force_col_wise,true,true
max_bin,473,473
scale_pos_weight,0.30000000000000004,0.30000000000000004
cv,5,5
scoring,precision,precision
num_col,110,110
iterations,10,15
best_score,0.7499999999999999,0.6709090909090909
best_index,0.0,0.0
acc_train,0.7307692307692307,0.8021978021978022
acc_val,0.5869565217391305,0.5652173913043478
acc_test,0.5689655172413793,0.603448275862069
precision,0.4444444444444444,0.5714285714285714
recall,0.16666666666666666,0.16666666666666666
f1score,0.24242424242424243,0.25806451612903225
roc,0.5098039215686274,0.5392156862745098
tn,29.0,31.0
fp,5.0,3.0
fn,20.0,20.0
tp,4.0,4.0
acc_test1,0.47368421052631576,0.5789473684210527
precision1,0.25,0.5
recall1,0.125,0.125
f1score1,0.16666666666666666,0.2
roc1,0.42613636363636365,0.5170454545454546
tn1,8.0,10.0
fp1,3.0,1.0
fn1,7.0,7.0
tp1,1.0,1.0
acc_test2,0.631578947368421,0.5789473684210527
precision2,0.5,0.3333333333333333
recall2,0.2857142857142857,0.14285714285714285
f1score2,0.36363636363636365,0.2
roc2,0.5595238095238095,0.4880952380952381
tn2,10.0,10.0
fp2,2.0,2.0
fn2,5.0,6.0
tp2,2.0,1.0
acc_test3,0.6,0.65
precision3,1.0,1.0
recall3,0.1111111111111111,0.2222222222222222
f1score3,0.19999999999999998,0.3636363636363636
roc3,0.5555555555555556,0.6111111111111112
tn3,11.0,11.0
fp3,0.0,0.0
fn3,8.0,7.0
tp3,1.0,2.0
