parameter,value1
boosting_type,gbdt
class_weight,
colsample_bytree,0.5
importance_type,split
learning_rate,0.001
max_depth,-1
min_child_samples,20
min_child_weight,0.001
min_split_gain,0.0
n_estimators,1100
n_jobs,-1
num_leaves,6
objective,binary
random_state,42
reg_alpha,0.0
reg_lambda,0.0
silent,warn
subsample,0.6
subsample_for_bin,200000
subsample_freq,0
metric,binary_logloss
scale_pos_weight,1.5
cv,
scoring,precision
num_col,110
best_score,0.6319047619047619
best_index,3.0
acc_train,0.8285714285714286
acc_val,0.5185185185185185
acc_test,0.5151515151515151
precision,0.4642857142857143
recall,0.9285714285714286
f1score,0.6190476190476191
roc,0.5695488721804511
tn,4.0
fp,15.0
fn,1.0
tp,13.0
acc_test1,0.45454545454545453
precision1,0.4
recall1,1.0
f1score1,0.5714285714285715
roc1,0.5714285714285714
tn1,1.0
fp1,6.0
fn1,0.0
tp1,4.0
acc_test2,0.5454545454545454
precision2,0.5
recall2,1.0
f1score2,0.6666666666666666
roc2,0.5833333333333333
tn2,1.0
fp2,5.0
fn2,0.0
tp2,5.0
acc_test3,0.5454545454545454
precision3,0.5
recall3,0.8
f1score3,0.6153846153846154
roc3,0.5666666666666667
tn3,2.0
fp3,4.0
fn3,1.0
tp3,4.0
