parameter,value1,value2,value3,value4,value5,value6,value7,value8,value9,value10,value11,value12,value13
boosting_type,gbdt,gbdt,gbdt,gbdt,gbdt,gbdt,gbdt,gbdt,gbdt,gbdt,gbdt,gbdt,gbdt
class_weight,,,,,,,,,,,,,
colsample_bytree,0.9332036588535947,0.9332036588535947,0.10933486275994007,0.10933486275994007,0.27324565502350984,0.1677891427453575,0.005,0.005,0.10933486275994007,0.10933486275994007,0.10933486275994007,0.10933486275994007,0.10933486275994007
importance_type,split,split,split,split,split,split,split,split,split,split,split,split,split
learning_rate,0.0011847240811834723,0.0011847240811834723,0.00020003937281998327,0.00020003937281998327,0.0022970729344489516,0.0019162589666810593,0.004,0.0022594827124222147,0.00020003937281998327,0.00020003937281998327,0.00020003937281998327,0.00020003937281998327,0.00020003937281998327
max_depth,18,18,8,8,22,23,23,11,8,8,8,8,8
min_child_samples,16,19,30,30,37,40,50,39,30,30,30,30,30
min_child_weight,0.001,0.001,10,15,9,7,0,7,8,9,9,9,9
min_split_gain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n_estimators,2190,3486,3725,3725,3303,3232,3236,3408,3725,3725,3725,3725,3725
n_jobs,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
num_leaves,10,10,8,8,10,10,8,12,8,8,8,8,8
objective,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary
random_state,,,,,,,,,,,,,
reg_alpha,0.30000000000000004,0.30000000000000004,1.5,1.5,1.3,1.4000000000000001,1.2000000000000002,1.4000000000000001,1.5,2.0,1.0,1.0,1.5
reg_lambda,1.2000000000000002,1.2000000000000002,2.2,2.2,4.3,4.7,4.9,4.9,2.2,2.6,2.2,2.2,1.7000000000000002
silent,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn
subsample,0.6684947525293031,0.6684947525293031,0.9969204043266121,0.9969204043266121,0.6365099050931485,0.6487712293279236,0.40476008050807105,0.7593976281664292,0.9969204043266121,0.9969204043266121,0.9969204043266121,0.9969204043266121,0.9969204043266121
subsample_for_bin,373099,714473,307068,307068,1000000,949309,1000000,930681,307068,353083,353083,307068,307068
subsample_freq,0,0,0,0,0,0,0,0,0,0,0,0,0
metric,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss
verbose,1,1,1,1,1,1,1,1,1,1,1,1,1
boost_from_average,False,False,False,False,True,True,True,True,False,False,False,False,False
force_col_wise,true,true,true,true,true,true,true,true,true,true,true,true,true
max_bin,473,473,508,508,450,435,230,395,508,508,508,508,508
scale_pos_weight,0.30000000000000004,0.30000000000000004,0.8000000000000003,0.8000000000000003,0.7000000000000002,0.6000000000000001,0.6000000000000001,0.7000000000000002,0.8000000000000003,0.8000000000000003,0.8000000000000003,0.8000000000000003,0.8000000000000003
cv,5,5,5,5,5,5,5,5,5,5,5,5,5
scoring,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision
num_col,110,110,110,110,110,110,110,110,110,110,110,110,110
iterations,10,15,15,15,15,15,15,15,15,15,15,15,15
best_score,0.7499999999999999,0.6709090909090909,0.6499145299145299,0.7096403596403597,0.635909090909091,0.63,0.7028571428571428,0.711111111111111,0.6457875457875458,0.6372161172161173,0.6529304029304029,0.6529304029304029,0.6402930402930403
best_index,0.0,0.0,2.0,2.0,11.0,5.0,12.0,14.0,2.0,2.0,2.0,2.0,2.0
acc_train,0.7307692307692307,0.8021978021978022,0.6593406593406593,0.6318681318681318,0.7362637362637363,0.7032967032967034,0.7197802197802198,0.7032967032967034,0.6813186813186813,0.6703296703296703,0.6758241758241759,0.6758241758241759,0.6758241758241759
acc_val,0.5869565217391305,0.5652173913043478,0.6739130434782609,0.6521739130434783,0.6304347826086957,0.6086956521739131,0.6521739130434783,0.5217391304347826,0.717391304347826,0.6739130434782609,0.6956521739130435,0.6956521739130435,0.6956521739130435
acc_test,0.5689655172413793,0.603448275862069,0.6896551724137931,0.6896551724137931,0.6206896551724138,0.6551724137931034,0.603448275862069,0.6896551724137931,0.6896551724137931,0.6724137931034483,0.6896551724137931,0.6896551724137931,0.7068965517241379
precision,0.4444444444444444,0.5714285714285714,0.6363636363636364,0.6666666666666666,0.5555555555555556,0.6666666666666666,0.5294117647058824,0.75,0.6363636363636364,0.6190476190476191,0.6363636363636364,0.6363636363636364,0.6521739130434783
recall,0.16666666666666666,0.16666666666666666,0.5833333333333334,0.5,0.4166666666666667,0.3333333333333333,0.375,0.375,0.5833333333333334,0.5416666666666666,0.5833333333333334,0.5833333333333334,0.625
f1score,0.24242424242424243,0.25806451612903225,0.6086956521739131,0.5714285714285715,0.4761904761904762,0.4444444444444444,0.4390243902439025,0.5,0.6086956521739131,0.5777777777777778,0.6086956521739131,0.6086956521739131,0.6382978723404256
