parameter,value1,value2,value3,value4
boosting_type,gbdt,gbdt,gbdt,gbdt
class_weight,,,,
colsample_bytree,0.9332036588535947,0.9332036588535947,0.10933486275994007,0.10933486275994007
importance_type,split,split,split,split
learning_rate,0.0011847240811834723,0.0011847240811834723,0.00020003937281998327,0.00020003937281998327
max_depth,18,18,8,8
min_child_samples,16,19,30,30
min_child_weight,0.001,0.001,10,15
min_split_gain,0.0,0.0,0.0,0.0
n_estimators,2190,3486,3725,3725
n_jobs,-1,-1,-1,-1
num_leaves,10,10,8,8
objective,binary,binary,binary,binary
random_state,,,,
reg_alpha,0.30000000000000004,0.30000000000000004,1.5,1.5
reg_lambda,1.2000000000000002,1.2000000000000002,2.2,2.2
silent,warn,warn,warn,warn
subsample,0.6684947525293031,0.6684947525293031,0.9969204043266121,0.9969204043266121
subsample_for_bin,373099,714473,307068,307068
subsample_freq,0,0,0,0
metric,binary_logloss,binary_logloss,binary_logloss,binary_logloss
verbose,1,1,1,1
boost_from_average,False,False,False,False
force_col_wise,true,true,true,true
max_bin,473,473,508,508
scale_pos_weight,0.30000000000000004,0.30000000000000004,0.8000000000000003,0.8000000000000003
cv,5,5,5,5
scoring,precision,precision,precision,precision
num_col,110,110,110,110
iterations,10,15,15,15
best_score,0.7499999999999999,0.6709090909090909,0.6499145299145299,0.7096403596403597
best_index,0.0,0.0,2.0,2.0
acc_train,0.7307692307692307,0.8021978021978022,0.6593406593406593,0.6318681318681318
acc_val,0.5869565217391305,0.5652173913043478,0.6739130434782609,0.6521739130434783
acc_test,0.5689655172413793,0.603448275862069,0.6896551724137931,0.6896551724137931
precision,0.4444444444444444,0.5714285714285714,0.6363636363636364,0.6666666666666666
recall,0.16666666666666666,0.16666666666666666,0.5833333333333334,0.5
f1score,0.24242424242424243,0.25806451612903225,0.6086956521739131,0.5714285714285715
roc,0.5098039215686274,0.5392156862745098,0.6740196078431373,0.6617647058823529
tn,29.0,31.0,26.0,28.0
fp,5.0,3.0,8.0,6.0
fn,20.0,20.0,10.0,12.0
tp,4.0,4.0,14.0,12.0
acc_test1,0.47368421052631576,0.5789473684210527,0.631578947368421,0.7894736842105263
precision1,0.25,0.5,0.5454545454545454,0.7
recall1,0.125,0.125,0.75,0.875
f1score1,0.16666666666666666,0.2,0.631578947368421,0.7777777777777777
roc1,0.42613636363636365,0.5170454545454546,0.6477272727272727,0.8011363636363636
tn1,8.0,10.0,6.0,8.0
fp1,3.0,1.0,5.0,3.0
fn1,7.0,7.0,2.0,1.0
tp1,1.0,1.0,6.0,7.0
acc_test2,0.631578947368421,0.5789473684210527,0.6842105263157895,0.631578947368421
precision2,0.5,0.3333333333333333,0.6,0.5
recall2,0.2857142857142857,0.14285714285714285,0.42857142857142855,0.2857142857142857
f1score2,0.36363636363636365,0.2,0.5,0.36363636363636365
roc2,0.5595238095238095,0.4880952380952381,0.6309523809523809,0.5595238095238095
tn2,10.0,10.0,10.0,10.0
fp2,2.0,2.0,2.0,2.0
fn2,5.0,6.0,4.0,5.0
tp2,2.0,1.0,3.0,2.0
acc_test3,0.6,0.65,0.75,0.65
precision3,1.0,1.0,0.8333333333333334,0.75
recall3,0.1111111111111111,0.2222222222222222,0.5555555555555556,0.3333333333333333
f1score3,0.19999999999999998,0.3636363636363636,0.6666666666666667,0.46153846153846156
roc3,0.5555555555555556,0.6111111111111112,0.7323232323232324,0.6212121212121211
tn3,11.0,11.0,10.0,10.0
fp3,0.0,0.0,1.0,1.0
fn3,8.0,7.0,4.0,6.0
tp3,1.0,2.0,5.0,3.0
