parameter,value1
boosting_type,gbdt
class_weight,
colsample_bytree,0.9332036588535947
importance_type,split
learning_rate,0.0011847240811834723
max_depth,18
min_child_samples,16
min_child_weight,0.001
min_split_gain,0.0
n_estimators,2190
n_jobs,-1
num_leaves,10
objective,binary
random_state,
reg_alpha,0.30000000000000004
reg_lambda,1.2000000000000002
silent,warn
subsample,0.6684947525293031
subsample_for_bin,373099
subsample_freq,0
metric,binary_logloss
verbose,1
boost_from_average,False
force_col_wise,true
max_bin,473
scale_pos_weight,0.30000000000000004
cv,5
scoring,precision
num_col,110
iterations,10
best_score,0.7499999999999999
best_index,0.0
acc_train,0.7307692307692307
acc_val,0.5869565217391305
acc_test,0.5689655172413793
precision,0.4444444444444444
recall,0.16666666666666666
f1score,0.24242424242424243
roc,0.5098039215686274
tn,29.0
fp,5.0
fn,20.0
tp,4.0
acc_test1,0.47368421052631576
precision1,0.25
recall1,0.125
f1score1,0.16666666666666666
roc1,0.42613636363636365
tn1,8.0
fp1,3.0
fn1,7.0
tp1,1.0
acc_test2,0.631578947368421
precision2,0.5
recall2,0.2857142857142857
f1score2,0.36363636363636365
roc2,0.5595238095238095
tn2,10.0
fp2,2.0
fn2,5.0
tp2,2.0
acc_test3,0.6
precision3,1.0
recall3,0.1111111111111111
f1score3,0.19999999999999998
roc3,0.5555555555555556
tn3,11.0
fp3,0.0
fn3,8.0
tp3,1.0
