parameter,value1
boosting_type,gbdt
class_weight,
colsample_bytree,0.5
importance_type,split
learning_rate,0.0015
max_depth,-1
min_child_samples,20
min_child_weight,0.001
min_split_gain,0.0
n_estimators,1100
n_jobs,-1
num_leaves,6
objective,binary
random_state,42
reg_alpha,0.0
reg_lambda,0.0
silent,warn
subsample,0.2
subsample_for_bin,200000
subsample_freq,0
metric,binary_logloss
scale_pos_weight,1.5
cv,
scoring,precision
num_col,110
best_score,0.5899197860962567
best_index,105.0
acc_train,0.9324324324324325
acc_val,0.5526315789473685
acc_test,0.5957446808510638
precision,0.6086956521739131
recall,0.5833333333333334
f1score,0.5957446808510638
roc,0.5960144927536233
tn,14.0
fp,9.0
fn,10.0
tp,14.0
acc_test1,0.6
precision1,0.6666666666666666
recall1,0.6666666666666666
f1score1,0.6666666666666666
roc1,0.5833333333333333
tn1,3.0
fp1,3.0
fn1,3.0
tp1,6.0
acc_test2,0.6
precision2,0.5
recall2,0.3333333333333333
f1score2,0.4
roc2,0.5555555555555556
tn2,7.0
fp2,2.0
fn2,4.0
tp2,2.0
acc_test3,0.5882352941176471
precision3,0.6
recall3,0.6666666666666666
f1score3,0.631578947368421
roc3,0.5833333333333333
tn3,4.0
fp3,4.0
fn3,3.0
tp3,6.0
