parameter,value1,value2,value3
boosting_type,gbdt,gbdt,gbdt
class_weight,,,
colsample_bytree,0.4,0.4,0.4
importance_type,split,split,split
learning_rate,0.002,0.0025,0.0017
max_depth,-1,-1,-1
min_child_samples,20,20,20
min_child_weight,0.001,0.001,0.001
min_split_gain,0.0,0.0,0.0
n_estimators,1300,1400,1300
n_jobs,-1,-1,-1
num_leaves,4,4,3
objective,binary,binary,binary
random_state,42,42,42
reg_alpha,0.0,0.5,0.5
reg_lambda,0.0,0.8,0.8
silent,warn,warn,warn
subsample,0.2,0.2,0.1
subsample_for_bin,200000,200000,200000
subsample_freq,0,0,0
metric,binary_logloss,binary_logloss,binary_logloss
scale_pos_weight,1.5,1.5,1.5
cv,,,
scoring,precision,precision,precision
num_col,110,110,80
best_score,0.4893939393939394,0.5005494505494505,0.49698301698301706
best_index,724.0,1809.0,177.0
acc_train,0.9024390243902439,0.8902439024390244,0.8658536585365854
acc_val,0.38095238095238093,0.42857142857142855,0.3333333333333333
acc_test,0.5,0.5,0.5384615384615384
precision,0.4375,0.4375,0.47368421052631576
recall,0.6363636363636364,0.6363636363636364,0.8181818181818182
f1score,0.5185185185185185,0.5185185185185185,0.6
roc,0.5181818181818182,0.5181818181818182,0.5757575757575758
tn,6.0,6.0,5.0
fp,9.0,9.0,10.0
fn,4.0,4.0,2.0
tp,7.0,7.0,9.0
acc_test1,0.375,0.375,0.375
precision1,0.25,0.25,0.3333333333333333
recall1,0.3333333333333333,0.3333333333333333,0.6666666666666666
f1score1,0.28571428571428575,0.28571428571428575,0.4444444444444444
roc1,0.36666666666666664,0.36666666666666664,0.43333333333333324
tn1,2.0,2.0,1.0
fp1,3.0,3.0,4.0
fn1,2.0,2.0,1.0
tp1,1.0,1.0,2.0
acc_test2,0.5,0.5,0.625
precision2,0.5,0.5,0.6
recall2,0.5,0.5,0.75
f1score2,0.5,0.5,0.6666666666666665
roc2,0.5,0.5,0.625
tn2,2.0,2.0,2.0
fp2,2.0,2.0,2.0
fn2,2.0,2.0,1.0
tp2,2.0,2.0,3.0
acc_test3,0.6,0.6,0.6
precision3,0.5,0.5,0.5
recall3,1.0,1.0,1.0
f1score3,0.6666666666666666,0.6666666666666666,0.6666666666666666
roc3,0.6666666666666667,0.6666666666666667,0.6666666666666667
tn3,2.0,2.0,2.0
fp3,4.0,4.0,4.0
fn3,0.0,0.0,0.0
tp3,4.0,4.0,4.0
