parameter,iter_1,iter_2,iter_3,iter_4,iter_5,iter_6,iter_7,iter_8,iter_9,iter_10,iter_11,iter_12,iter_13,iter_14,iter_15,iter_16,iter_17,iter_18,iter_19,iter_20,iter_21,iter_22,iter_23,iter_24,iter_25,iter_26,iter_27,iter_28
cv,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
iterations,50,50,40,30,30,2,50,25,25,25,50,40,30,40,20,50,25,25,25,50,30,35,40,45,47,46,30,2
num_col,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98
scoring,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision
boost_from_average,True,True,True,True,True,False,True,True,False,True,False,False,True,True,True,False,True,False,True,False,True,True,True,True,False,False,True,True
boosting_type,gbdt,gbdt,gbdt,gbdt,gbdt,gbdt,gbdt,gbdt,dart,gbdt,dart,dart,gbdt,dart,dart,gbdt,gbdt,gbdt,dart,gbdt,gbdt,gbdt,gbdt,gbdt,gbdt,gbdt,gbdt,dart
class_weight,,,,,,,,,,,,,,,,,,,,,,,,,,,,
colsample_bytree,0.6870952646221306,0.5148017170612811,0.5148017170612811,0.5148017170612811,0.6202963223083705,0.5238647627931986,0.5666988836617151,0.6202963223083705,0.7409089594157816,0.5109172973343936,0.6649982279496998,0.6649982279496998,0.7777491736017885,0.5585688396431161,0.796442948648945,0.5337448792886401,0.5109172973343936,0.5,0.8282932703141059,0.6337048832556182,0.5109172973343936,0.5109172973343936,0.5,0.5,0.6337048832556182,0.6337048832556182,0.6202963223083705,0.6045822088568821
force_col_wise,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
importance_type,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split
