parameter,value1,value2,value4,value5,value6,value7,value8,value9,value10,value11
boosting_type,goss,goss,gbdt,gbdt,gbdt,gbdt,gbdt,gbdt,gbdt,gbdt
class_weight,,,,,,,,,,
colsample_bytree,0.5015020365607495,0.3654327026021899,0.005,0.005,0.46738602872250634,0.4084012797990592,0.4365290408529912,0.872293668820899,0.872293668820899,0.49898437007873314
importance_type,split,split,split,split,split,split,split,split,split,split
learning_rate,0.0008935887340296632,0.0014458317106968825,0.0005,0.0005,0.0009768122241739468,0.0011186851058101123,0.0010693225568961615,0.0009896828112718643,0.0009896828112718643,0.0008935887340296632
max_depth,3,30,13,13,50,50,0,11,11,3
min_child_samples,11,23,5,5,29,5,5,18,18,6
min_child_weight,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
min_split_gain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n_estimators,1070,1314,1721,1721,500,500,1179,1986,1986,1464
n_jobs,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
num_leaves,9,7,11,11,4,13,15,5,5,13
objective,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary
random_state,,,,,,,,,,
reg_alpha,2.2,2.4000000000000004,0.0,0.0,3.8000000000000003,3.8000000000000003,2.2,1.6,1.6,2.2
reg_lambda,2.6,2.4000000000000004,0.2,0.2,0.6000000000000001,1.6,2.8000000000000003,0.4,0.4,2.6
silent,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn
subsample,0.08532107526802597,0.3525162353863268,0.01,0.01,0.01,0.20970625247315167,0.19009714898886862,0.1932757915911235,0.1932757915911235,0.08532107526802597
subsample_for_bin,209797,287406,450323,450323,500000,241938,146757,247054,247054,209797
subsample_freq,0,0,0,0,0,0,0,0,0,0
metric,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss
verbose,1,1,1,1,1,1,1,1,1,1
boost_from_average,True,True,True,True,True,True,True,True,True,True
force_col_wise,true,true,true,true,true,true,true,true,true,true
cv,5,5,5,5,5,5,5,7,7,5
scoring,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision
num_col,110,110,96,96,110,110,110,110,110,110
iterations,10,10,50,40,50,30,20,20,10,10
best_score,0.6973015873015873,0.6892063492063492,0.8666666666666666,0.8666666666666666,0.76,0.7247619047619047,0.6635811247575953,0.692517006802721,0.692517006802721,0.6605555555555556
best_index,7.0,6.0,31.0,31.0,32.0,23.0,14.0,8.0,8.0,7.0
acc_train,0.8333333333333334,0.8177083333333334,0.8333333333333334,0.8333333333333334,0.703125,0.8020833333333334,0.9322916666666666,0.8958333333333334,0.8958333333333334,0.8645833333333334
acc_val,0.6875,0.7083333333333334,0.5833333333333334,0.5833333333333334,0.6458333333333334,0.6875,0.6666666666666666,0.6458333333333334,0.6458333333333334,0.6875
acc_test,0.5833333333333334,0.6,0.45,0.45,0.4166666666666667,0.5166666666666667,0.5333333333333333,0.6,0.6,0.55
precision,0.7777777777777778,0.7619047619047619,1.0,1.0,0.5,0.75,0.6842105263157895,0.7391304347826086,0.7391304347826086,0.7
recall,0.4,0.45714285714285713,0.05714285714285714,0.05714285714285714,0.02857142857142857,0.2571428571428571,0.37142857142857144,0.4857142857142857,0.4857142857142857,0.4
f1score,0.5283018867924528,0.5714285714285714,0.1081081081081081,0.1081081081081081,0.05405405405405405,0.3829787234042553,0.4814814814814815,0.5862068965517241,0.5862068965517241,0.509090909090909
roc,0.62,0.6285714285714286,0.5285714285714286,0.5285714285714286,0.4942857142857142,0.5685714285714286,0.5657142857142857,0.6228571428571429,0.6228571428571429,0.58
tn,21.0,20.0,25.0,25.0,24.0,22.0,19.0,19.0,19.0,19.0
fp,4.0,5.0,0.0,0.0,1.0,3.0,6.0,6.0,6.0,6.0
fn,21.0,19.0,33.0,33.0,34.0,26.0,22.0,18.0,18.0,21.0
tp,14.0,16.0,2.0,2.0,1.0,9.0,13.0,17.0,17.0,14.0
acc_test1,0.65,0.7,0.45,0.45,0.4,0.6,0.65,0.6,0.6,0.6
precision1,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.8333333333333334,0.8333333333333334,0.8333333333333334
recall1,0.4166666666666667,0.5,0.08333333333333333,0.08333333333333333,0.0,0.3333333333333333,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.4166666666666667
f1score1,0.5882352941176471,0.6666666666666666,0.15384615384615385,0.15384615384615385,0.0,0.5,0.5882352941176471,0.5555555555555556,0.5555555555555556,0.5555555555555556
roc1,0.7083333333333334,0.75,0.5416666666666666,0.5416666666666666,0.5,0.6666666666666666,0.7083333333333334,0.6458333333333334,0.6458333333333334,0.6458333333333334
tn1,8.0,8.0,8.0,8.0,8.0,8.0,8.0,7.0,7.0,7.0
fp1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
fn1,7.0,6.0,11.0,11.0,12.0,8.0,7.0,7.0,7.0,7.0
tp1,5.0,6.0,1.0,1.0,0.0,4.0,5.0,5.0,5.0,5.0
acc_test2,0.65,0.65,0.55,0.55,0.55,0.55,0.6,0.6,0.6,0.6
precision2,0.7142857142857143,0.7142857142857143,1.0,1.0,1.0,0.6666666666666666,0.625,0.625,0.625,0.625
recall2,0.5,0.5,0.1,0.1,0.1,0.2,0.5,0.5,0.5,0.5
f1score2,0.588235294117647,0.588235294117647,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.30769230769230765,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556
