parameter,iter_1,iter_2,iter_3,iter_4,iter_5,iter_6,iter_7,iter_8,iter_9,iter_10,iter_11,iter_12,iter_13,iter_14,iter_15,iter_16
cv,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
iterations,30,30,30,30,30,30,30,30,30,30,50,10,5,50,30,30
num_col,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98
scoring,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision
second_best_index,,,,,,,,,,,,,,,,
boost_from_average,False,False,False,True,False,True,True,True,True,True,True,True,True,True,False,True
boosting_type,dart,gbdt,gbdt,dart,dart,dart,gbdt,dart,dart,dart,dart,dart,dart,dart,gbdt,dart
class_weight,,,,,,,,,,,,,,,,
colsample_bytree,0.4,0.717780323343744,0.5813052927669258,0.4,0.4,0.7588282465072769,0.850123757261252,0.9042149078274383,0.4,0.7588282465072769,0.7588282465072769,0.7588282465072769,0.7588282465072769,0.7588282465072769,1.0,0.7588282465072769
force_col_wise,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
importance_type,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split
learning_rate,0.001721057673187736,0.0016357500633672512,0.00011042091680506745,0.00017186650404620108,0.0005122601898729479,0.00014220821962091613,0.00021413482276706007,0.00012736724220768853,0.001197548538640678,0.00014220821962091613,0.00014220821962091613,0.00014220821962091613,0.00014220821962091613,0.00014220821962091613,0.0001,0.00014220821962091613
max_bin,1236,144,1022,1184,1053,1536,1655,609,526,1536,1536,1536,1536,1536,2000,1536
max_depth,23,5,60,5,5,53,5,50,60,53,53,53,53,53,60,53
metric,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss
min_child_samples,40,40,19,14,27,22,50,17,7,22,22,22,22,22,5,22
min_child_weight,12.79033425846979,16.587554284061106,10.755128145388312,10.0,10.0,16.955850973592277,5.0,10.0,5.0,16.955850973592277,16.955850973592277,16.955850973592277,16.955850973592277,16.955850973592277,5.0,16.955850973592277
min_split_gain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n_estimators,3332,3137,1910,15000,15000,16864,16250,15785,20000,16864,16864,16864,16864,16864,20000,16864
n_jobs,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
num_leaves,20,18,4,3,3,13,20,18,3,13,13,13,13,13,20,13
objective,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary
random_state,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42
reg_alpha,2.108646420936263,3.1648433237994205,1.0,5.0,5.0,5.823502953560004,6.0,9.82525835965501,5.338210028810632,5.823502953560004,5.823502953560004,5.823502953560004,5.823502953560004,5.823502953560004,1.0,6.305853248916004
reg_lambda,1.3059898254497069,0.6187828221482815,1.1765534458337519,1.1267376379520393,0.0,0.8922325772501638,0.0,0.9704781831225012,0.0,0.8922325772501638,0.8922325772501638,0.8922325772501638,0.8922325772501638,0.8922325772501638,0.0,0.8922325772501638
scale_pos_weight,0.6736558215029762,0.8064216546006817,0.5618869051270861,0.44179835320938887,0.44997773387327644,0.765357711438728,0.7230244084840034,0.8308063574528657,0.2,0.765357711438728,0.765357711438728,0.765357711438728,0.765357711438728,0.765357711438728,0.23958796778392213,0.765357711438728
silent,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn
