parameter,iter_1,iter_2,iter_3,iter_4,iter_5,iter_6,iter_7,iter_8,iter_9,iter_10,iter_11,iter_12,iter_13,iter_14,iter_15,iter_16,iter_17,iter_18,iter_19
cv,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
iterations,30,30,30,30,30,30,50,10,10,5,20,20,20,20,20,20,20,20,20
num_col,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98
scoring,precision,accuracy,f1,average_precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision
second_best_index,,,,,,,,,,,,,,,,,,,
boost_from_average,False,False,False,True,False,False,True,True,True,True,False,True,True,True,True,True,True,True,True
boosting_type,dart,dart,gbdt,gbdt,dart,gbdt,dart,dart,dart,dart,gbdt,gbdt,gbdt,gbdt,dart,gbdt,dart,gbdt,dart
class_weight,,,,,,,,,,,,,,,,,,,
colsample_bytree,0.4305688496664809,0.8890652832473429,0.4,0.922991157077929,0.9308981444117354,0.7439423838275792,0.9709846367142502,0.7588282465072769,0.7588282465072769,0.7588282465072769,0.7439423838275792,0.4,0.570075471440061,0.582046065930505,0.9987844221834716,0.4,0.7588282465072769,0.8186256794351319,0.7159721422766154
force_col_wise,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
importance_type,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split
learning_rate,0.00014835520401909591,0.0001243512719180894,0.0001,0.00021812144757174065,0.002676717477217254,0.0001,0.004,0.00014220821962091613,0.00014220821962091613,0.00014220821962091613,0.0001,0.0007441589715754038,0.0001,0.0001258430018789339,0.004,0.0001,0.00014220821962091613,0.0032972572934965873,0.001408402929729096
max_bin,933,1143,1500,100,100,1069,378,1158,1158,1158,1069,100,1055,294,1500,100,1536,1809,906
max_depth,16,60,19,25,34,60,5,53,53,53,60,5,60,24,5,5,53,58,41
metric,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss
min_child_samples,36,7,34,11,9,38,40,19,19,19,38,40,11,38,5,5,19,28,28
