parameter,value1,value2
boosting_type,gbdt,gbdt
class_weight,,
colsample_bytree,0.9904336223822104,0.49898437007873314
importance_type,split,split
learning_rate,0.00017770302621086651,0.0003304939642148201
max_depth,49,29
min_child_samples,18,19
min_child_weight,0.001,0.001
min_split_gain,0.0,0.0
n_estimators,2955,2565
n_jobs,-1,-1
num_leaves,7,7
objective,binary,binary
random_state,,
reg_alpha,0.4,1.3
reg_lambda,0.9,0.1
silent,warn,warn
subsample,0.5463501497345401,0.5597576125719046
subsample_for_bin,379771,439614
subsample_freq,0,0
metric,binary_logloss,binary_logloss
verbose,1,1
boost_from_average,True,True
force_col_wise,true,true
max_bin,256,146
scale_pos_weight,0.4000000000000001,0.7000000000000002
cv,5,5
scoring,precision,precision
num_col,110,110
iterations,20,10
best_score,0.759047619047619,0.7461111111111111
best_index,13.0,7.0
acc_train,0.6927083333333334,0.8072916666666666
acc_val,0.6041666666666666,0.6458333333333334
acc_test,0.48333333333333334,0.5166666666666667
precision,0.8333333333333334,0.8
recall,0.14285714285714285,0.22857142857142856
f1score,0.2439024390243902,0.3555555555555555
roc,0.5514285714285714,0.5742857142857143
tn,24.0,23.0
fp,1.0,2.0
fn,30.0,27.0
tp,5.0,8.0
acc_test1,0.5,0.55
precision1,1.0,1.0
recall1,0.16666666666666666,0.25
f1score1,0.2857142857142857,0.4
roc1,0.5833333333333334,0.625
tn1,8.0,8.0
fp1,0.0,0.0
fn1,10.0,9.0
tp1,2.0,3.0
acc_test2,0.55,0.6
precision2,0.6666666666666666,0.6666666666666666
recall2,0.2,0.4
f1score2,0.30769230769230765,0.5
roc2,0.55,0.6
tn2,9.0,8.0
fp2,1.0,2.0
fn2,8.0,6.0
tp2,2.0,4.0
acc_test3,0.4,0.4
precision3,1.0,1.0
recall3,0.07692307692307693,0.07692307692307693
f1score3,0.14285714285714288,0.14285714285714288
roc3,0.5384615384615384,0.5384615384615384
tn3,7.0,7.0
fp3,0.0,0.0
fn3,12.0,12.0
tp3,1.0,1.0
