parameter,value1,value2
boosting_type,dart,gbdt
class_weight,,
colsample_bytree,0.6000568421245674,0.1677891427453575
importance_type,split,split
learning_rate,0.0006885907876058295,0.0019162589666810593
max_depth,38,23
min_child_samples,37,32
min_child_weight,0.001,0.001
min_split_gain,0.0,0.0
n_estimators,1467,1894
n_jobs,-1,-1
num_leaves,7,10
objective,binary,binary
random_state,,
reg_alpha,1.8,0.0
reg_lambda,0.0,1.4000000000000001
silent,warn,warn
subsample,0.4488857071819565,0.2639494323813032
subsample_for_bin,225635,358803
subsample_freq,0,0
verbose,0,0
boost_from_average,True,True
force_col_wise,true,true
max_bin,138,249
metric,binary_logloss,binary_logloss
scale_pos_weight,0.9000000000000001,0.9000000000000001
cv,5,5
scoring,f1,f1
num_col,110,48
iterations,10,10
best_score,0.5353439153439153,0.616905615292712
best_index,3.0,5.0
acc_train,0.7604166666666666,0.9010416666666666
acc_val,0.6458333333333334,0.6458333333333334
acc_test,0.6,0.5833333333333334
precision,0.8666666666666667,0.7272727272727273
recall,0.37142857142857144,0.45714285714285713
f1score,0.52,0.5614035087719298
roc,0.6457142857142858,0.6085714285714285
tn,23.0,19.0
fp,2.0,6.0
fn,22.0,19.0
tp,13.0,16.0
acc_test1,0.6,0.7
precision1,1.0,1.0
recall1,0.3333333333333333,0.5
f1score1,0.5,0.6666666666666666
roc1,0.6666666666666666,0.75
tn1,8.0,8.0
fp1,0.0,0.0
fn1,8.0,6.0
tp1,4.0,6.0
acc_test2,0.75,0.55
precision2,0.8571428571428571,0.5555555555555556
recall2,0.6,0.5
f1score2,0.7058823529411764,0.5263157894736842
roc2,0.7500000000000001,0.5499999999999999
tn2,9.0,6.0
fp2,1.0,4.0
fn2,4.0,5.0
tp2,6.0,5.0
acc_test3,0.45,0.5
precision3,0.75,0.7142857142857143
recall3,0.23076923076923078,0.38461538461538464
f1score3,0.3529411764705882,0.5
roc3,0.543956043956044,0.5494505494505495
tn3,6.0,5.0
fp3,1.0,2.0
fn3,10.0,8.0
tp3,3.0,5.0
