parameter,iter_1
cv,5
iterations,50
num_col,98
scoring,precision
second_best_index,
boost_from_average,False
boosting_type,dart
class_weight,
colsample_bytree,0.5122805424400709
force_col_wise,true
importance_type,split
learning_rate,0.0022411557404654393
max_bin,100
max_depth,33
metric,binary_logloss
min_child_samples,39
min_child_weight,0.001
min_split_gain,0.0
n_estimators,3367
n_jobs,-1
num_leaves,16
objective,binary
random_state,42
reg_alpha,3.159524370164377
reg_lambda,0.943782861040011
scale_pos_weight,0.36359085921167406
silent,warn
subsample,0.5961143745094379
subsample_for_bin,441091
subsample_freq,0
verbose,0
best_score,0.7976190476190477
best_index,49.0
acc_train,0.6821705426356589
acc_val,0.47368421052631576
acc_test,0.6060606060606061
train_precision,0.9347826086956522
train_tn,133.0
train_fp,3.0
train_fn,79.0
train_tp,43.0
val_precision,1.0
val_tn,7.0
val_fp,0.0
val_fn,10.0
val_tp,2.0
test_precision,0.75
recall,0.2
f1score,0.31578947368421056
roc,0.5722222222222222
test_tn,17.0
test_fp,1.0
test_fn,12.0
test_tp,3.0
