parameter,iter_1,iter_2,iter_3,iter_4,iter_5,iter_6,iter_7,iter_8,iter_9,iter_10,iter_11,iter_12,iter_13,iter_14,iter_15,iter_16
cv,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
scoring,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision
num_col,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98
iterations,30,30,30,30,30,30,30,30,30,30,50,10,5,50,30,30
second_best_index,,,,,,,,,,,,,,,,
boosting_type,"['gbdt', 'dart']","['gbdt', 'dart']","['gbdt', 'dart']","['gbdt', 'dart']","['gbdt', 'dart']","['gbdt', 'dart']","['gbdt', 'dart']","['gbdt', 'dart']","['gbdt', 'dart']","['gbdt', 'dart']","['gbdt', 'dart']","['gbdt', 'dart']","['gbdt', 'dart']","['gbdt', 'dart']","['gbdt', 'dart']","['gbdt', 'dart']"
learning_rate,"(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')"
num_leaves,"(3, 20)","(3, 20)","(3, 20)","(3, 20)","(3, 20)","(3, 20)","(3, 20)","(3, 20)","(3, 20)","(3, 20)","(3, 20)","(3, 20)","(3, 20)","(3, 20)","(3, 20)","(3, 20)"
max_depth,"(5, 60)","(5, 60)","(10, 60)","(5, 60)","(5, 60)","(5, 60)","(5, 60)","(5, 60)","(5, 60)","(5, 60)","(5, 60)","(5, 60)","(5, 60)","(5, 60)","(5, 60)","(5, 60)"
min_child_samples,"(5, 40)","(5, 40)","(10, 40)","(10, 40)","(5, 50)","(5, 50)","(5, 50)","(5, 50)","(5, 50)","(5, 50)","(5, 50)","(5, 50)","(5, 50)","(5, 50)","(5, 50)","(5, 50)"
min_child_weight,"(10.0, 19.0)","(10.0, 40.0)","(10.0, 40.0)","(10.0, 40.0)","(10.0, 40.0)","(5.0, 40.0)","(5.0, 30.0)","(10.0, 40.0)","(5.0, 40.0)","(5.0, 40.0)","(5.0, 40.0)","(5.0, 40.0)","(5.0, 40.0)","(5.0, 40.0)","(5.0, 40.0)","(5.0, 40.0)"
max_bin,"(100, 1500)","(100, 1500)","(100, 1500)","(100, 1500)","(100, 1500)","(100, 2000)","(100, 2000)","(100, 2000)","(100, 2000)","(100, 2000)","(100, 2000)","(100, 2000)","(100, 2000)","(100, 2000)","(100, 2000)","(100, 2000)"
subsample,"(0.5, 1.0, 'uniform')","(0.5, 1.0, 'uniform')","(0.5, 1.0, 'uniform')","(0.5, 1.0, 'uniform')","(0.5, 1.0, 'uniform')","(0.5, 1.0, 'uniform')","(0.5, 1.0, 'uniform')","(0.5, 1.0, 'uniform')","(0.5, 1.0, 'uniform')","(0.5, 1.0, 'uniform')","(0.5, 1.0, 'uniform')","(0.5, 1.0, 'uniform')","(0.5, 1.0, 'uniform')","(0.5, 1.0, 'uniform')","(0.5, 1.0, 'uniform')","(0.5, 1.0, 'uniform')"
colsample_bytree,"(0.4, 1.0, 'uniform')","(0.4, 1.0, 'uniform')","(0.4, 1.0, 'uniform')","(0.4, 1.0, 'uniform')","(0.4, 1.0, 'uniform')","(0.4, 1.0, 'uniform')","(0.4, 1.0, 'uniform')","(0.4, 1.0, 'uniform')","(0.4, 1.0, 'uniform')","(0.4, 1.0, 'uniform')","(0.4, 1.0, 'uniform')","(0.4, 1.0, 'uniform')","(0.4, 1.0, 'uniform')","(0.4, 1.0, 'uniform')","(0.4, 1.0, 'uniform')","(0.4, 1.0, 'uniform')"
subsample_for_bin,"(50000, 500000)","(50000, 700000)","(50000, 700000)","(50000, 700000)","(50000, 700000)","(50000, 700000)","(50000, 700000)","(50000, 700000)","(50000, 700000)","(50000, 700000)","(50000, 700000)","(50000, 700000)","(50000, 700000)","(50000, 700000)","(50000, 700000)","(50000, 700000)"
scale_pos_weight,"(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')"
n_estimators,"(700, 10000)","(700, 15000)","(700, 15000)","(700, 15000)","(700, 15000)","(700, 20000)","(700, 20000)","(700, 20000)","(700, 20000)","(700, 20000)","(700, 20000)","(700, 20000)","(700, 20000)","(700, 20000)","(700, 20000)","(700, 20000)"
