parameter,value1
boosting_type,goss
class_weight,
colsample_bytree,0.17197110685216477
importance_type,split
learning_rate,0.00209837254257327
max_depth,19
min_child_samples,26
min_child_weight,0.001
min_split_gain,0.0
n_estimators,1350
n_jobs,-1
num_leaves,7
objective,binary
random_state,
reg_alpha,2.2
reg_lambda,0.0
silent,warn
subsample,0.5031916043798332
subsample_for_bin,487270
subsample_freq,0
metric,binary_logloss
verbose,1
boost_from_average,True
force_col_wise,true
cv,5
scoring,precision
num_col,110
iterations,10
best_score,0.7261904761904762
best_index,5.0
acc_train,0.7934782608695652
acc_val,0.6086956521739131
acc_test,0.603448275862069
precision,0.7391304347826086
recall,0.5
f1score,0.5964912280701754
roc,0.625
tn,18.0
fp,6.0
fn,17.0
tp,17.0
acc_test1,0.6842105263157895
precision1,0.8888888888888888
recall1,0.6153846153846154
f1score1,0.7272727272727274
roc1,0.7243589743589745
tn1,5.0
fp1,1.0
fn1,5.0
tp1,8.0
acc_test2,0.5263157894736842
precision2,0.6
recall2,0.3
f1score2,0.4
roc2,0.5388888888888889
tn2,7.0
fp2,2.0
fn2,7.0
tp2,3.0
acc_test3,0.6
precision3,0.6666666666666666
recall3,0.5454545454545454
f1score3,0.6
roc3,0.6060606060606062
tn3,6.0
fp3,3.0
fn3,5.0
tp3,6.0
