parameter,iter_1,iter_2,iter_3,iter_4,iter_5,iter_6,iter_7,iter_8
cv,5,5,5,5,5,5,5,5
iterations,10,10,10,10,10,10,100,100
num_col,98,98,98,98,98,98,98,98
scoring,precision,precision,precision,precision,precision,precision,precision,precision
second_best_index,,,,,,,,
boost_from_average,True,True,True,True,True,True,True,True
boosting_type,gbdt,gbdt,gbdt,gbdt,gbdt,gbdt,gbdt,gbdt
class_weight,,,,,,,,
colsample_bytree,0.6154137591528424,0.6154137591528424,0.6154137591528424,0.6154137591528424,0.6154137591528424,0.6154137591528424,0.8324964634925516,0.6924624821922484
force_col_wise,true,true,true,true,true,true,true,true
importance_type,split,split,split,split,split,split,split,split
learning_rate,0.0008966376442750347,0.0008966376442750347,0.0008966376442750347,0.0008966376442750347,0.0008966376442750347,0.0008966376442750347,0.0021387546263575067,0.0009350599902851064
max_bin,814,814,814,814,814,814,1200,1200
max_depth,28,28,-1,28,28,28,26,60
metric,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss
min_child_samples,27,27,27,27,27,27,40,5
min_child_weight,18.318532313335204,18.318532313335204,18.318532313335204,18.318532313335204,18.318532313335204,18.318532313335204,12.273515751964567,16.10216468803569
min_split_gain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n_estimators,6818,6818,6818,6818,6818,6818,8492,2685
n_jobs,-1,-1,-1,-1,-1,-1,-1,-1
num_leaves,13,13,13,13,13,13,8,4
objective,binary,binary,binary,binary,binary,binary,binary,binary
random_state,42,42,42,42,42,42,42,42
reg_alpha,4.3425778211560235,4.3425778211560235,4.3425778211560235,4.3425778211560235,5.405546692693614,4.874062256924819,3.0,4.556952120682544
reg_lambda,1.6304209488010621,1.6304209488010621,1.6304209488010621,3.2608418976021243,1.6304209488010621,1.6304209488010621,0.0,0.0
scale_pos_weight,0.7892600062914028,0.7892600062914028,0.7892600062914028,0.7892600062914028,0.7892600062914028,0.7892600062914028,0.4133083340332863,0.7084627004902617
silent,warn,warn,warn,warn,warn,warn,warn,warn
subsample,0.5766523136411126,0.6976087954579375,0.6976087954579375,0.6976087954579375,0.6976087954579375,0.6976087954579375,0.8850811131305427,1.0
subsample_for_bin,282482,282482,282482,282482,282482,282482,155295,474450
subsample_freq,0,0,0,0,0,0,0,0
verbose,0,0,0,0,0,0,0,0
best_score,0.7161835748792271,0.7161835748792271,0.7161835748792271,0.7092995169082126,0.7272173913043478,0.7089110165197121,0.8043290043290042,0.7491282554211616
best_index,6.0,6.0,6.0,6.0,6.0,6.0,42.0,28.0
acc_train,0.7674418604651163,0.7674418604651163,0.7674418604651163,0.7674418604651163,0.7674418604651163,0.7674418604651163,0.6976744186046512,0.7674418604651163
acc_val,0.47368421052631576,0.47368421052631576,0.47368421052631576,0.47368421052631576,0.47368421052631576,0.47368421052631576,0.5263157894736842,0.47368421052631576
acc_test,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.6857142857142857,0.7142857142857143,0.5714285714285714,0.6571428571428571
train_precision,0.7923076923076923,0.7923076923076923,0.7923076923076923,0.7923076923076923,0.7923076923076923,0.7923076923076923,0.8918918918918919,0.796875
train_tn,95.0,95.0,95.0,95.0,95.0,95.0,114.0,96.0
train_fp,27.0,27.0,27.0,27.0,27.0,27.0,8.0,26.0
train_fn,33.0,33.0,33.0,33.0,33.0,33.0,70.0,34.0
train_tp,103.0,103.0,103.0,103.0,103.0,103.0,66.0,102.0
val_precision,0.36363636363636365,0.36363636363636365,0.36363636363636365,0.36363636363636365,0.36363636363636365,0.36363636363636365,0.25,0.36363636363636365
val_tn,5.0,5.0,5.0,5.0,5.0,5.0,9.0,5.0
val_fp,7.0,7.0,7.0,7.0,7.0,7.0,3.0,7.0
val_fn,3.0,3.0,3.0,3.0,3.0,3.0,6.0,3.0
val_tp,4.0,4.0,4.0,4.0,4.0,4.0,1.0,4.0
test_precision,0.7222222222222222,0.7222222222222222,0.7222222222222222,0.7222222222222222,0.7058823529411765,0.7222222222222222,0.7142857142857143,0.6875
recall,0.7222222222222222,0.7222222222222222,0.7222222222222222,0.7222222222222222,0.6666666666666666,0.7222222222222222,0.2777777777777778,0.6111111111111112
f1score,0.7222222222222222,0.7222222222222222,0.7222222222222222,0.7222222222222222,0.6857142857142857,0.7222222222222222,0.4,0.6470588235294118
roc,0.7140522875816993,0.7140522875816993,0.7140522875816993,0.7140522875816993,0.6862745098039215,0.7140522875816993,0.5800653594771241,0.6584967320261438
test_tn,12.0,12.0,12.0,12.0,12.0,12.0,15.0,12.0
test_fp,5.0,5.0,5.0,5.0,5.0,5.0,2.0,5.0
test_fn,5.0,5.0,5.0,5.0,6.0,5.0,13.0,7.0
test_tp,13.0,13.0,13.0,13.0,12.0,13.0,5.0,11.0
